,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Ordinary Shares Number,257566776.0,254854914.0,251917414.0,247447280.0
Share Issued,257566776.0,254854914.0,251917414.0,247447280.0
Total Debt,1282358000.0,1314491000.0,605348000.0,1153751000.0
Tangible Book Value,-141611000.0,-497903000.0,-555434000.0,-199524000.0
Invested Capital,1654265000.0,1335022000.0,643713000.0,1464489000.0
Working Capital,708774000.0,305198000.0,-682505000.0,-374993000.0
Net Tangible Assets,-141611000.0,-497903000.0,-555434000.0,-199524000.0
Capital Lease Obligations,282765000.0,315072000.0,256549000.0,264568000.0
Common Stock Equity,654672000.0,335603000.0,294914000.0,575306000.0
Total Capitalization,1616765000.0,1335022000.0,294914000.0,575306000.0
Total Equity Gross Minority Interest,654672000.0,335603000.0,294914000.0,575306000.0
Stockholders Equity,654672000.0,335603000.0,294914000.0,575306000.0
Other Equity Interest,,53829000.0,104832000.0,76144000.0
Gains Losses Not Affecting Retained Earnings,34002000.0,2223820000.0,1516609000.0,1130918000.0
Other Equity Adjustments,34002000.0,2223820000.0,1516609000.0,1130918000.0
Retained Earnings,-2509964000.0,-2428575000.0,-1812707000.0,-1116392000.0
Additional Paid In Capital,3130631000.0,461044000.0,461016000.0,459892000.0
Capital Stock,3000.0,25485000.0,25164000.0,24744000.0
Common Stock,3000.0,25485000.0,25164000.0,24744000.0
Total Liabilities Net Minority Interest,3452107000.0,3025603000.0,2650430000.0,3318766000.0
Total Non Current Liabilities Net Minority Interest,1424517000.0,1431547000.0,340419000.0,299987000.0
Other Non Current Liabilities,31177000.0,812000.0,2604000.0,2173000.0
Employee Benefits,,8630000.0,7255000.0,6036000.0
Non Current Deferred Liabilities,193412000.0,143078000.0,111277000.0,58496000.0
Non Current Deferred Revenue,182743000.0,116621000.0,84652000.0,27192000.0
Non Current Deferred Taxes Liabilities,10669000.0,26457000.0,26625000.0,31304000.0
Long Term Debt And Capital Lease Obligation,1199928000.0,1273853000.0,214103000.0,229825000.0
Long Term Capital Lease Obligation,237835000.0,274434000.0,214103000.0,229825000.0
Long Term Debt,962093000.0,999419000.0,,
Long Term Provisions,,13804000.0,12435000.0,9493000.0
Current Liabilities,2027590000.0,1594056000.0,2310011000.0,3018779000.0
Other Current Liabilities,9905000.0,23288000.0,772127000.0,1284596000.0
Current Deferred Liabilities,1362736000.0,1066059000.0,812943000.0,573813000.0
Current Deferred Revenue,1362736000.0,1066059000.0,812943000.0,573813000.0
Current Deferred Taxes Liabilities,88748000.0,,,
Current Debt And Capital Lease Obligation,82430000.0,40638000.0,391245000.0,923926000.0
Current Capital Lease Obligation,44930000.0,40638000.0,42446000.0,34743000.0
Current Debt,37500000.0,,348799000.0,889183000.0
Other Current Borrowings,37500000.0,,,889183000.0
Current Notes Payable,,0.0,348799000.0,
Pensionand Other Post Retirement Benefit Plans Current,191801000.0,32796000.0,91894000.0,72627000.0
Current Provisions,,32796000.0,25148000.0,14291000.0
Payables And Accrued Expenses,582424000.0,431275000.0,308548000.0,222153000.0
Current Accrued Expenses,423131000.0,288286000.0,101940000.0,76358000.0
Payables,159293000.0,431275000.0,308548000.0,222153000.0
Other Payable,13414000.0,5598000.0,13313000.0,5941000.0
Total Tax Payable,88748000.0,26367000.0,42051000.0,19583000.0
Income Tax Payable,,,42051000.0,19583000.0
Accounts Payable,159293000.0,404908000.0,266497000.0,202570000.0
Total Assets,4106779000.0,3361206000.0,2945344000.0,3894072000.0
Total Non Current Assets,1370415000.0,1461952000.0,1317838000.0,1250286000.0
Other Non Current Assets,73052000.0,60740000.0,159795000.0,124774000.0
Non Current Prepaid Assets,,948000.0,4267000.0,4873000.0
Non Current Deferred Assets,9945000.0,42760000.0,36174000.0,35351000.0
Non Current Deferred Taxes Assets,9945000.0,42760000.0,36174000.0,35351000.0
Financial Assets,,30367000.0,,
Investments And Advances,225538000.0,159064000.0,122159000.0,103937000.0
Other Investments,225538000.0,159064000.0,,
Investmentin Financial Assets,,,122159000.0,103937000.0
Available For Sale Securities,,,122159000.0,103937000.0
Goodwill And Other Intangible Assets,796283000.0,833506000.0,850348000.0,774830000.0
Other Intangible Assets,69072000.0,100840000.0,124590000.0,129690000.0
Goodwill,727211000.0,732666000.0,725758000.0,645140000.0
Net PPE,265597000.0,365882000.0,271521000.0,315331000.0
Accumulated Depreciation,-105595000.0,-73734000.0,-81930000.0,-58117000.0
Gross PPE,265597000.0,365882000.0,271521000.0,315331000.0
Leases,123125000.0,119667000.0,106996000.0,103100000.0
Construction In Progress,,0.0,0.0,11261000.0
Other Properties,265597000.0,365882000.0,271521000.0,315331000.0
Machinery Furniture Equipment,54574000.0,43481000.0,30725000.0,31752000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2736364000.0,1899254000.0,1627506000.0,2643786000.0
Other Current Assets,146136000.0,4520000.0,3896000.0,569000.0
Hedging Assets Current,,13685000.0,127486000.0,327487000.0
Assets Held For Sale Current,0.0,60265000.0,43665000.0,
Current Deferred Assets,,8806000.0,,
Prepaid Assets,,58077000.0,48322000.0,46730000.0
Receivables,477678000.0,308668000.0,175805000.0,113528000.0
Other Receivables,,3746000.0,6149000.0,11305000.0
Taxes Receivable,,541000.0,2332000.0,1509000.0
Accrued Interest Receivable,,621000.0,1411000.0,3329000.0
Accounts Receivable,477678000.0,308127000.0,173473000.0,112019000.0
Allowance For Doubtful Accounts Receivable,,-4045000.0,-376000.0,-1156000.0
Gross Accounts Receivable,,312172000.0,173849000.0,113175000.0
Cash Cash Equivalents And Short Term Investments,2112550000.0,1458559000.0,1232228000.0,2156041000.0
Other Short Term Investments,10000000.0,73294000.0,313001000.0,676072000.0
Cash And Cash Equivalents,2102550000.0,1385265000.0,919227000.0,1479969000.0
Cash Equivalents,,564306000.0,180185000.0,655984000.0
Cash Financial,,820959000.0,739042000.0,823985000.0
