,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,22916449.0,1537468.0,1539878.0,1513215.0
Ordinary Shares Number,1233960078.0,1249213681.0,1241805706.0,856905400.0
Share Issued,1256876527.0,1250751149.0,1243345584.0,858418615.0
Net Debt,67453000000.0,67562000000.0,60740000000.0,9455000000.0
Total Debt,107858000000.0,106011000000.0,104219000000.0,26112000000.0
Tangible Book Value,-41884000000.0,-40425000000.0,-33899000000.0,-9721000000.0
Invested Capital,141616000000.0,143295000000.0,136469000000.0,39772000000.0
Working Capital,-5675000000.0,-2608000000.0,2182000000.0,-3201000000.0
Net Tangible Assets,-41884000000.0,-40425000000.0,-33899000000.0,-9721000000.0
Capital Lease Obligations,35898000000.0,31818000000.0,33094000000.0,15129000000.0
Common Stock Equity,69656000000.0,69102000000.0,65344000000.0,28789000000.0
Total Capitalization,136452000000.0,137672000000.0,131890000000.0,39747000000.0
Total Equity Gross Minority Interest,69656000000.0,69102000000.0,65344000000.0,28789000000.0
Stockholders Equity,69656000000.0,69102000000.0,65344000000.0,28789000000.0
Gains Losses Not Affecting Retained Earnings,-1046000000.0,-1365000000.0,-1581000000.0,-868000000.0
Other Equity Adjustments,-1046000000.0,-1365000000.0,-1581000000.0,-868000000.0
Treasury Stock,3016000000.0,13000000.0,11000000.0,8000000.0
Retained Earnings,-223000000.0,-2812000000.0,-5836000000.0,-8833000000.0
Additional Paid In Capital,73941000000.0,73292000000.0,72772000000.0,38498000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,141682000000.0,137461000000.0,134818000000.0,58132000000.0
Total Non Current Liabilities Net Minority Interest,116940000000.0,113962000000.0,113115000000.0,45626000000.0
Other Non Current Liabilities,8035000000.0,7903000000.0,8440000000.0,3190000000.0
Dueto Related Parties Non Current,,,,13986000000.0
Tradeand Other Payables Non Current,,,,0.0
Non Current Deferred Liabilities,10884000000.0,10216000000.0,9966000000.0,5607000000.0
Non Current Deferred Taxes Liabilities,10884000000.0,10216000000.0,9966000000.0,5607000000.0
Long Term Debt And Capital Lease Obligation,98021000000.0,95843000000.0,94709000000.0,22843000000.0
Long Term Capital Lease Obligation,31225000000.0,27273000000.0,28163000000.0,11885000000.0
Long Term Debt,66796000000.0,68570000000.0,66546000000.0,10958000000.0
Current Liabilities,24742000000.0,23499000000.0,21703000000.0,12506000000.0
Other Current Liabilities,1850000000.0,967000000.0,810000000.0,1673000000.0
Current Deferred Liabilities,780000000.0,856000000.0,1030000000.0,631000000.0
Current Deferred Revenue,780000000.0,856000000.0,1030000000.0,631000000.0
Current Debt And Capital Lease Obligation,9837000000.0,10168000000.0,9510000000.0,3269000000.0
Current Capital Lease Obligation,4673000000.0,4545000000.0,4931000000.0,3244000000.0
Current Debt,5164000000.0,5623000000.0,4579000000.0,25000000.0
Other Current Borrowings,5164000000.0,5623000000.0,4579000000.0,25000000.0
Pensionand Other Post Retirement Benefit Plans Current,,,1163000000.0,802000000.0
Payables And Accrued Expenses,12275000000.0,11508000000.0,10353000000.0,6933000000.0
Current Accrued Expenses,2717000000.0,2708000000.0,2685000000.0,1563000000.0
Interest Payable,731000000.0,710000000.0,771000000.0,227000000.0
Payables,9558000000.0,11508000000.0,10353000000.0,6933000000.0
Other Payable,688000000.0,368000000.0,407000000.0,179000000.0
Dueto Related Parties Current,,103000000.0,157000000.0,187000000.0
Total Tax Payable,1657000000.0,1830000000.0,1540000000.0,682000000.0
Accounts Payable,7213000000.0,11405000000.0,10196000000.0,6746000000.0
Total Assets,211338000000.0,206563000000.0,200162000000.0,86921000000.0
Total Non Current Assets,192271000000.0,185672000000.0,176277000000.0,77616000000.0
Other Non Current Assets,4127000000.0,3232000000.0,2779000000.0,1891000000.0
Non Current Accounts Receivable,2546000000.0,2829000000.0,2031000000.0,1583000000.0
Goodwill And Other Intangible Assets,111540000000.0,109527000000.0,99243000000.0,38510000000.0
Other Intangible Assets,99306000000.0,97339000000.0,88126000000.0,36580000000.0
Goodwill,12234000000.0,12188000000.0,11117000000.0,1930000000.0
Net PPE,74058000000.0,70084000000.0,72224000000.0,35632000000.0
Accumulated Depreciation,-53102000000.0,-49818000000.0,-42395000000.0,-33118000000.0
Gross PPE,74058000000.0,70084000000.0,72224000000.0,35632000000.0
Leases,2326000000.0,2160000000.0,1879000000.0,1345000000.0
Construction In Progress,4599000000.0,3703000000.0,4595000000.0,2973000000.0
Other Properties,74058000000.0,70084000000.0,72224000000.0,35632000000.0
Machinery Furniture Equipment,20342000000.0,18243000000.0,16412000000.0,12705000000.0
Buildings And Improvements,4659000000.0,4344000000.0,4006000000.0,2587000000.0
Land And Improvements,109000000.0,225000000.0,236000000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,19067000000.0,20891000000.0,23885000000.0,9305000000.0
Other Current Assets,2435000000.0,2005000000.0,2496000000.0,2305000000.0
Prepaid Assets,673000000.0,746000000.0,624000000.0,
Inventory,1884000000.0,2567000000.0,2527000000.0,964000000.0
Receivables,9568000000.0,8942000000.0,7853000000.0,4508000000.0
Receivables Adjustments Allowances,-667000000.0,,,
Other Receivables,5790000000.0,4748000000.0,3577000000.0,2600000000.0
Duefrom Related Parties Current,,27000000.0,22000000.0,20000000.0
Accounts Receivable,4445000000.0,4167000000.0,4254000000.0,1888000000.0
Allowance For Doubtful Accounts Receivable,-167000000.0,-146000000.0,-194000000.0,-61000000.0
Gross Accounts Receivable,4612000000.0,4313000000.0,4448000000.0,1949000000.0
Cash Cash Equivalents And Short Term Investments,4507000000.0,6631000000.0,10385000000.0,1528000000.0
Cash And Cash Equivalents,4507000000.0,6631000000.0,10385000000.0,1528000000.0
