,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,3164000000.0,3099000000.0,2880000000.0,2715931290.0
Share Issued,3164000000.0,3099000000.0,2880000000.0,2715931290.0
Net Debt,,,,7151000000.0
Total Debt,3099000000.0,6834000000.0,11739000000.0,13419000000.0
Tangible Book Value,44111000000.0,28472000000.0,21705000000.0,6081000000.0
Invested Capital,47803000000.0,37023000000.0,33964000000.0,20037000000.0
Working Capital,14208000000.0,7395000000.0,12469000000.0,1436000000.0
Net Tangible Assets,44111000000.0,28472000000.0,21705000000.0,6081000000.0
Capital Lease Obligations,3703000000.0,3531000000.0,3008000000.0,2896000000.0
Common Stock Equity,44704000000.0,30189000000.0,22225000000.0,6618000000.0
Total Capitalization,46301000000.0,35434000000.0,31832000000.0,18252000000.0
Total Equity Gross Minority Interest,45898000000.0,31583000000.0,23679000000.0,8110000000.0
Minority Interest,1194000000.0,1394000000.0,1454000000.0,1492000000.0
Stockholders Equity,44704000000.0,30189000000.0,22225000000.0,6618000000.0
Gains Losses Not Affecting Retained Earnings,-361000000.0,54000000.0,363000000.0,-36000000.0
Other Equity Adjustments,-361000000.0,54000000.0,363000000.0,-36000000.0
Retained Earnings,12885000000.0,331000000.0,-5399000000.0,-6083000000.0
Additional Paid In Capital,32177000000.0,29803000000.0,27260000000.0,12737000000.0
Capital Stock,3000000.0,1000000.0,1000000.0,0.0
Common Stock,3000000.0,1000000.0,1000000.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,36440000000.0,30548000000.0,28469000000.0,26199000000.0
Total Non Current Liabilities Net Minority Interest,9731000000.0,10843000000.0,14221000000.0,15532000000.0
Other Non Current Liabilities,5330000000.0,3546000000.0,3330000000.0,2691000000.0
Preferred Securities Outside Stock Equity,,568000000.0,604000000.0,643000000.0
Non Current Accrued Expenses,2480000000.0,1398000000.0,989000000.0,745000000.0
Non Current Deferred Liabilities,2804000000.0,2052000000.0,1284000000.0,1207000000.0
Non Current Deferred Revenue,2804000000.0,2052000000.0,1284000000.0,1207000000.0
Non Current Deferred Taxes Liabilities,82000000.0,24000000.0,151000000.0,
Long Term Debt And Capital Lease Obligation,1597000000.0,5245000000.0,9607000000.0,11634000000.0
Long Term Capital Lease Obligation,2732000000.0,2662000000.0,2348000000.0,2225000000.0
Long Term Debt,1597000000.0,5245000000.0,9607000000.0,11634000000.0
Long Term Provisions,51000000.0,133000000.0,500000000.0,545000000.0
Current Liabilities,26709000000.0,19705000000.0,14248000000.0,10667000000.0
Other Current Liabilities,354000000.0,294000000.0,241000000.0,317000000.0
Current Deferred Liabilities,2810000000.0,2372000000.0,2210000000.0,1889000000.0
Current Deferred Revenue,2810000000.0,2372000000.0,2210000000.0,1889000000.0
Current Debt And Capital Lease Obligation,1502000000.0,1589000000.0,2132000000.0,1785000000.0
Current Capital Lease Obligation,971000000.0,869000000.0,660000000.0,671000000.0
Current Debt,1502000000.0,1589000000.0,2132000000.0,1785000000.0
Other Current Borrowings,1016000000.0,1088000000.0,1758000000.0,1399000000.0
Current Provisions,270000000.0,265000000.0,417000000.0,272000000.0
Payables And Accrued Expenses,22397000000.0,15744000000.0,9906000000.0,6676000000.0
Current Accrued Expenses,7142000000.0,5719000000.0,3855000000.0,2905000000.0
Interest Payable,,16000000.0,77000000.0,86000000.0
