,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,490468000.0,483441000.0,473400000.0,454760000.0
Share Issued,490468000.0,483441000.0,473400000.0,454760000.0
Total Debt,260957000.0,284598000.0,292430000.0,189450000.0
Tangible Book Value,2115339000.0,1527306000.0,1013145000.0,612517000.0
Invested Capital,2115339000.0,1527306000.0,1013145000.0,612517000.0
Working Capital,1816294000.0,1288344000.0,835634000.0,518848000.0
Net Tangible Assets,2115339000.0,1527306000.0,1013145000.0,612517000.0
Capital Lease Obligations,260957000.0,284598000.0,292430000.0,189450000.0
Common Stock Equity,2115339000.0,1527306000.0,1013145000.0,612517000.0
Total Capitalization,2115339000.0,1527306000.0,1013145000.0,612517000.0
Total Equity Gross Minority Interest,2115339000.0,1527306000.0,1013145000.0,612517000.0
Stockholders Equity,2115339000.0,1527306000.0,1013145000.0,612517000.0
Retained Earnings,665514000.0,612129000.0,474367000.0,232438000.0
Additional Paid In Capital,1449825000.0,915177000.0,538778000.0,380079000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2265340000.0,2050034000.0,1740500000.0,1116244000.0
Total Non Current Liabilities Net Minority Interest,236017000.0,246729000.0,265817000.0,185871000.0
Other Non Current Liabilities,27490000.0,8280000.0,11255000.0,10998000.0
Long Term Debt And Capital Lease Obligation,208527000.0,238449000.0,254562000.0,174873000.0
Long Term Capital Lease Obligation,208527000.0,238449000.0,254562000.0,174873000.0
Current Liabilities,2029323000.0,1803305000.0,1474683000.0,930373000.0
Current Debt And Capital Lease Obligation,52430000.0,46149000.0,37868000.0,14577000.0
Current Capital Lease Obligation,52430000.0,46149000.0,37868000.0,14577000.0
Payables And Accrued Expenses,1976893000.0,1757156000.0,1436815000.0,915796000.0
Current Accrued Expenses,105474000.0,101472000.0,88335000.0,47178000.0
Payables,1871419000.0,1655684000.0,1348480000.0,868618000.0
Accounts Payable,1871419000.0,1655684000.0,1348480000.0,868618000.0
Total Assets,4380679000.0,3577340000.0,2753645000.0,1728761000.0
Total Non Current Assets,535062000.0,485691000.0,443328000.0,279540000.0
Other Non Current Assets,46879000.0,47500000.0,29154000.0,23129000.0
Non Current Deferred Assets,94028000.0,68244000.0,50168000.0,18950000.0
Non Current Deferred Taxes Assets,94028000.0,68244000.0,50168000.0,18950000.0
Goodwill And Other Intangible Assets,18544000.0,14334000.0,11505000.0,9082000.0
Other Intangible Assets,18544000.0,14334000.0,11505000.0,9082000.0
Net PPE,394155000.0,369947000.0,364006000.0,237461000.0
Accumulated Depreciation,-105894000.0,-68890000.0,-42480000.0,-27341000.0
Gross PPE,394155000.0,369947000.0,364006000.0,237461000.0
Leases,121700000.0,112014000.0,87803000.0,36523000.0
Construction In Progress,10904000.0,6810000.0,13862000.0,20034000.0
Other Properties,394155000.0,369947000.0,364006000.0,237461000.0
Machinery Furniture Equipment,147049000.0,85922000.0,56678000.0,34796000.0
Buildings And Improvements,,,248143000.0,173449000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3845617000.0,3091649000.0,2310317000.0,1449221000.0
Other Current Assets,51836000.0,112150000.0,102170000.0,27857000.0
Prepaid Assets,,112150000.0,102170000.0,27857000.0
Receivables,2347195000.0,2020720000.0,1584109000.0,1166376000.0
Accounts Receivable,2347195000.0,2020720000.0,1584109000.0,1166376000.0
Allowance For Doubtful Accounts Receivable,-10477000.0,-7374000.0,-7253000.0,
Gross Accounts Receivable,2357672000.0,2028094000.0,1591362000.0,
Cash Cash Equivalents And Short Term Investments,1446586000.0,958779000.0,624038000.0,254988000.0
Other Short Term Investments,416080000.0,204625000.0,186685000.0,124112000.0
Cash And Cash Equivalents,1030506000.0,754154000.0,437353000.0,130876000.0
Cash Equivalents,690789000.0,482096000.0,304981000.0,98753000.0
Cash Financial,339717000.0,272058000.0,132372000.0,32123000.0
