,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,257011628.0,254479046.0,259890000.0,258993000.0
Share Issued,257011628.0,254479046.0,259890000.0,258993000.0
Total Debt,471600000.0,556700000.0,581476000.0,577371000.0
Tangible Book Value,12221100000.0,8697800000.0,7284657000.0,4683086000.0
Invested Capital,13912700000.0,10100000000.0,8686815000.0,6085244000.0
Working Capital,10250700000.0,7141200000.0,6264916000.0,3404792000.0
Net Tangible Assets,12221100000.0,8697800000.0,7284657000.0,4683086000.0
Capital Lease Obligations,471600000.0,556700000.0,581476000.0,577371000.0
Common Stock Equity,13912700000.0,10100000000.0,8686815000.0,6085244000.0
Total Capitalization,13912700000.0,10100000000.0,8686815000.0,6085244000.0
Total Equity Gross Minority Interest,13912700000.0,10100000000.0,8686815000.0,6085244000.0
Stockholders Equity,13912700000.0,10100000000.0,8686815000.0,6085244000.0
Gains Losses Not Affecting Retained Earnings,800000.0,15900000.0,-68480000.0,-1973000.0
Other Equity Adjustments,800000.0,15900000.0,-68480000.0,-1973000.0
Retained Earnings,6522800000.0,3200800000.0,858669000.0,-1852978000.0
Additional Paid In Capital,7386500000.0,6880800000.0,7894027000.0,7937606000.0
Capital Stock,2600000.0,2500000.0,2599000.0,2589000.0
Common Stock,2600000.0,2500000.0,2599000.0,2589000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,4238200000.0,3332500000.0,3064993000.0,2233221000.0
Total Non Current Liabilities Net Minority Interest,1807600000.0,1458900000.0,1504883000.0,1028699000.0
Other Non Current Liabilities,1336000000.0,902200000.0,923407000.0,451328000.0
Tradeand Other Payables Non Current,452800000.0,,,
Non Current Deferred Liabilities,,,,88762000.0
Non Current Deferred Revenue,,,,88762000.0
Long Term Debt And Capital Lease Obligation,471600000.0,556700000.0,581476000.0,577371000.0
Long Term Capital Lease Obligation,471600000.0,556700000.0,581476000.0,577371000.0
Current Liabilities,2430600000.0,1873600000.0,1560110000.0,1204522000.0
Other Current Liabilities,62500000.0,49800000.0,83470000.0,37680000.0
Current Deferred Liabilities,159600000.0,171700000.0,191519000.0,62332000.0
Current Deferred Revenue,159600000.0,171700000.0,191519000.0,62332000.0
Current Debt And Capital Lease Obligation,89400000.0,46900000.0,42434000.0,30293000.0
Current Capital Lease Obligation,89400000.0,46900000.0,42434000.0,30293000.0
Payables And Accrued Expenses,2430600000.0,1873600000.0,1560110000.0,1204522000.0
Current Accrued Expenses,1788400000.0,1266900000.0,1135394000.0,946041000.0
Payables,642200000.0,606700000.0,424716000.0,258481000.0
Other Payable,215000000.0,200400000.0,165404000.0,98578000.0
Total Tax Payable,123300000.0,211300000.0,104173000.0,72293000.0
Accounts Payable,303900000.0,195000000.0,155139000.0,87610000.0
Total Assets,18150900000.0,13432500000.0,11751808000.0,8318465000.0
Total Non Current Assets,5469600000.0,4417700000.0,3926782000.0,3709151000.0
Other Non Current Assets,1422700000.0,986900000.0,683311000.0,371098000.0
Non Current Deferred Assets,1246900000.0,934500000.0,882779000.0,1190815000.0
Non Current Deferred Taxes Assets,1246900000.0,934500000.0,882779000.0,1190815000.0
Goodwill And Other Intangible Assets,1691600000.0,1402200000.0,1402158000.0,1402158000.0
Other Intangible Assets,603600000.0,400000000.0,400000000.0,400000000.0
Goodwill,1088000000.0,1402200000.0,1402158000.0,1402158000.0
Net PPE,1108400000.0,1094100000.0,958534000.0,745080000.0
Accumulated Depreciation,-1027300000.0,-896000000.0,-790580000.0,-692540000.0
Gross PPE,2483100000.0,2320400000.0,2074678000.0,1437620000.0
Leases,410900000.0,363500000.0,234585000.0,241178000.0
Other Properties,347400000.0,330300000.0,325564000.0,
Machinery Furniture Equipment,788600000.0,701000000.0,605310000.0,548439000.0
Buildings And Improvements,903100000.0,892500000.0,876091000.0,648003000.0
Land And Improvements,33100000.0,33100000.0,33128000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,12681300000.0,9014800000.0,7825026000.0,4609314000.0
Other Current Assets,74400000.0,187200000.0,308353000.0,213515000.0
Hedging Assets Current,47500000.0,,,
Prepaid Assets,431600000.0,358600000.0,308353000.0,213515000.0
Inventory,460600000.0,353100000.0,280777000.0,167502000.0
Finished Goods,161800000.0,86700000.0,73221000.0,34234000.0
Work In Process,260700000.0,224000000.0,161324000.0,107021000.0
Raw Materials,38100000.0,42400000.0,46232000.0,26247000.0
Receivables,1442200000.0,1136800000.0,885352000.0,633518000.0
Accounts Receivable,1442200000.0,1136800000.0,885352000.0,633518000.0
Cash Cash Equivalents And Short Term Investments,10778500000.0,7524900000.0,6658897000.0,3808294000.0
Other Short Term Investments,274500000.0,729900000.0,670710000.0,698972000.0
Cash And Cash Equivalents,10504000000.0,6795000000.0,5988187000.0,3109322000.0
