,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Treasury Shares Number,308839832.0,307874161.0,307139982.0,306910099.0
Ordinary Shares Number,863673786.0,864639457.0,865373636.0,865603519.0
Share Issued,1172513618.0,1172513618.0,1172513618.0,1172513618.0
Net Debt,8335000000.0,10316000000.0,7787000000.0,15225000000.0
Total Debt,33534000000.0,35477000000.0,33392000000.0,40140000000.0
Tangible Book Value,-21801000000.0,-3644000000.0,1465000000.0,-4885000000.0
Invested Capital,29084000000.0,41040000000.0,32802000000.0,36877000000.0
Working Capital,-9032000000.0,-5681000000.0,-6240000000.0,-8997000000.0
Net Tangible Assets,-21801000000.0,-3644000000.0,1465000000.0,-4885000000.0
Capital Lease Obligations,24471000000.0,23803000000.0,24412000000.0,24399000000.0
Common Stock Equity,20021000000.0,29366000000.0,23822000000.0,21136000000.0
Total Capitalization,28166000000.0,39981000000.0,31497000000.0,33339000000.0
Total Equity Gross Minority Interest,28490000000.0,30408000000.0,23822000000.0,21136000000.0
Minority Interest,8469000000.0,1042000000.0,402000000.0,498000000.0
Stockholders Equity,20021000000.0,29366000000.0,23822000000.0,21136000000.0
Gains Losses Not Affecting Retained Earnings,-2993000000.0,-2805000000.0,-2109000000.0,-3771000000.0
Other Equity Adjustments,-2993000000.0,-2805000000.0,-2109000000.0,-3771000000.0
Treasury Stock,20717000000.0,20683000000.0,20593000000.0,20575000000.0
Retained Earnings,33058000000.0,37801000000.0,35121000000.0,34210000000.0
Additional Paid In Capital,10661000000.0,10950000000.0,10988000000.0,10761000000.0
Capital Stock,12000000.0,12000000.0,12000000.0,12000000.0
Common Stock,12000000.0,12000000.0,12000000.0,12000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,68138000000.0,59716000000.0,57463000000.0,66038000000.0
Total Non Current Liabilities Net Minority Interest,43603000000.0,37133000000.0,35409000000.0,38968000000.0
Other Non Current Liabilities,5755000000.0,3559000000.0,3412000000.0,3294000000.0
Liabilities Heldfor Sale Non Current,,,0.0,
Preferred Securities Outside Stock Equity,,,319000000.0,
Non Current Accrued Expenses,6261000000.0,,,
Non Current Deferred Liabilities,1318000000.0,1442000000.0,1850000000.0,1498000000.0
Non Current Deferred Taxes Liabilities,1318000000.0,1442000000.0,1850000000.0,1498000000.0
Long Term Debt And Capital Lease Obligation,30269000000.0,32132000000.0,29828000000.0,34176000000.0
Long Term Capital Lease Obligation,22124000000.0,21517000000.0,22153000000.0,21973000000.0
Long Term Debt,8145000000.0,10615000000.0,7675000000.0,12203000000.0
Current Liabilities,24535000000.0,22583000000.0,22054000000.0,27070000000.0
Other Current Liabilities,,,-1000000.0,-1000000.0
Current Debt And Capital Lease Obligation,3265000000.0,3345000000.0,3564000000.0,5964000000.0
Current Capital Lease Obligation,2347000000.0,2286000000.0,2259000000.0,2426000000.0
Current Debt,918000000.0,1059000000.0,1305000000.0,3538000000.0
Other Current Borrowings,68000000.0,1059000000.0,1305000000.0,3538000000.0
Line Of Credit,,,0.0,1071000000.0
Commercial Paper,,,0.0,1517000000.0
Current Notes Payable,850000000.0,0.0,0.0,
Payables And Accrued Expenses,21270000000.0,19238000000.0,18490000000.0,21107000000.0
Current Accrued Expenses,8426000000.0,7899000000.0,7260000000.0,6539000000.0
Payables,12844000000.0,11339000000.0,11230000000.0,14568000000.0
Total Tax Payable,209000000.0,84000000.0,94000000.0,110000000.0
Income Tax Payable,209000000.0,84000000.0,94000000.0,110000000.0
Accounts Payable,12635000000.0,11255000000.0,11136000000.0,14458000000.0
Total Assets,96628000000.0,90124000000.0,81285000000.0,87174000000.0
Total Non Current Assets,81125000000.0,73222000000.0,65471000000.0,69101000000.0
Other Non Current Assets,2553000000.0,1729000000.0,1987000000.0,676000000.0
Investments And Advances,3497000000.0,5495000000.0,6987000000.0,7338000000.0
Long Term Equity Investment,3497000000.0,5495000000.0,6987000000.0,7338000000.0
Goodwill And Other Intangible Assets,41822000000.0,33010000000.0,22357000000.0,26021000000.0
Other Intangible Assets,13635000000.0,10730000000.0,9936000000.0,10753000000.0
Goodwill,28187000000.0,22280000000.0,12421000000.0,15268000000.0
Net PPE,33253000000.0,32988000000.0,34140000000.0,35066000000.0
Accumulated Depreciation,-12953000000.0,-12843000000.0,-13073000000.0,-12456000000.0
Gross PPE,46206000000.0,32988000000.0,34140000000.0,35066000000.0
Leases,1075000000.0,996000000.0,1016000000.0,1016000000.0
Construction In Progress,5221000000.0,4872000000.0,,
Other Properties,21667000000.0,32988000000.0,34140000000.0,35066000000.0
Machinery Furniture Equipment,9782000000.0,9375000000.0,13938000000.0,13505000000.0
Buildings And Improvements,6683000000.0,6996000000.0,7569000000.0,8023000000.0
Land And Improvements,1778000000.0,2333000000.0,2798000000.0,3253000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,15503000000.0,16902000000.0,15814000000.0,18073000000.0
Other Current Assets,1126000000.0,1060000000.0,799000000.0,974000000.0
Assets Held For Sale Current,,,0.0,
Inventory,8257000000.0,8353000000.0,8159000000.0,9451000000.0
Receivables,5381000000.0,5017000000.0,5663000000.0,7132000000.0
Accounts Receivable,5381000000.0,5017000000.0,5663000000.0,7132000000.0
Cash Cash Equivalents And Short Term Investments,739000000.0,2472000000.0,1193000000.0,516000000.0
Other Short Term Investments,11000000.0,1114000000.0,,
Cash And Cash Equivalents,728000000.0,1358000000.0,1193000000.0,516000000.0
