,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,230000000.0,230000000.0,231000000.0,190000000.0
Preferred Shares Number,13000000.0,13000000.0,13000000.0,13000000.0
Ordinary Shares Number,2430000000.0,505797568.0,486512378.0,525000000.0
Share Issued,2660000000.0,735797568.0,717512378.0,715000000.0
Net Debt,45268000000.0,10854000000.0,13313000000.0,13867000000.0
Total Debt,48999000000.0,14759000000.0,15404000000.0,15419000000.0
Tangible Book Value,-58977000000.0,-11462000000.0,-13685000000.0,-14955000000.0
Invested Capital,96094000000.0,26358000000.0,25868000000.0,25310000000.0
Working Capital,-1018000000.0,3805000000.0,3048000000.0,1978000000.0
Net Tangible Assets,-58977000000.0,-11462000000.0,-13685000000.0,-14955000000.0
Common Stock Equity,47095000000.0,11599000000.0,10464000000.0,9891000000.0
Total Capitalization,95729000000.0,26019000000.0,25533000000.0,24701000000.0
Total Equity Gross Minority Interest,48667000000.0,13396000000.0,12383000000.0,11966000000.0
Minority Interest,1572000000.0,1797000000.0,1919000000.0,2075000000.0
Stockholders Equity,47095000000.0,11599000000.0,10464000000.0,9891000000.0
Gains Losses Not Affecting Retained Earnings,-1523000000.0,-830000000.0,-651000000.0,-822000000.0
Other Equity Adjustments,-1523000000.0,-830000000.0,-651000000.0,-822000000.0
Treasury Stock,8244000000.0,8244000000.0,8244000000.0,7374000000.0
Retained Earnings,2205000000.0,9580000000.0,8543000000.0,7333000000.0
Additional Paid In Capital,54630000000.0,11086000000.0,10809000000.0,10747000000.0
Capital Stock,27000000.0,7000000.0,7000000.0,7000000.0
Common Stock,27000000.0,7000000.0,7000000.0,7000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,85334000000.0,21031000000.0,21704000000.0,21769000000.0
Total Non Current Liabilities Net Minority Interest,70317000000.0,17572000000.0,18622000000.0,18530000000.0
Other Non Current Liabilities,10669000000.0,1927000000.0,2019000000.0,2029000000.0
Preferred Securities Outside Stock Equity,,,383000000.0,442000000.0
Non Current Deferred Liabilities,11014000000.0,1225000000.0,1534000000.0,1691000000.0
Non Current Deferred Taxes Liabilities,11014000000.0,1225000000.0,1534000000.0,1691000000.0
Long Term Debt And Capital Lease Obligation,48634000000.0,14420000000.0,15069000000.0,14810000000.0
Long Term Debt,48634000000.0,14420000000.0,15069000000.0,14810000000.0
Current Liabilities,15017000000.0,3459000000.0,3082000000.0,3239000000.0
Current Deferred Liabilities,1694000000.0,478000000.0,557000000.0,489000000.0
Current Deferred Revenue,1694000000.0,478000000.0,557000000.0,489000000.0
Current Debt And Capital Lease Obligation,365000000.0,339000000.0,335000000.0,609000000.0
Current Debt,365000000.0,339000000.0,335000000.0,609000000.0
Other Current Borrowings,,339000000.0,335000000.0,
Payables And Accrued Expenses,12958000000.0,2642000000.0,2190000000.0,2141000000.0
Current Accrued Expenses,11504000000.0,2230000000.0,1793000000.0,1678000000.0
Payables,1454000000.0,412000000.0,397000000.0,463000000.0
Other Payable,,772000000.0,528000000.0,456000000.0
Accounts Payable,1454000000.0,412000000.0,397000000.0,463000000.0
Total Assets,134001000000.0,34427000000.0,34087000000.0,33735000000.0
Total Non Current Assets,120002000000.0,27163000000.0,27957000000.0,28518000000.0
Other Non Current Assets,8629000000.0,2223000000.0,2095000000.0,2153000000.0
Investments And Advances,,543000000.0,507000000.0,568000000.0
Long Term Equity Investment,,543000000.0,507000000.0,568000000.0
Goodwill And Other Intangible Assets,106072000000.0,23061000000.0,24149000000.0,24846000000.0
Other Intangible Assets,71634000000.0,10149000000.0,11079000000.0,11796000000.0
Goodwill,34438000000.0,12912000000.0,13070000000.0,13050000000.0
Net PPE,5301000000.0,1336000000.0,1206000000.0,951000000.0
Accumulated Depreciation,-2055000000.0,-1329000000.0,-1363000000.0,-1148000000.0
Gross PPE,7356000000.0,2665000000.0,2569000000.0,2099000000.0
Construction In Progress,568000000.0,141000000.0,,
Other Properties,,672000000.0,744000000.0,676000000.0
Machinery Furniture Equipment,3537000000.0,1371000000.0,1491000000.0,1125000000.0
Properties,3251000000.0,481000000.0,334000000.0,298000000.0
Current Assets,13999000000.0,7264000000.0,6130000000.0,5217000000.0
Other Current Assets,2657000000.0,245000000.0,532000000.0,579000000.0
Prepaid Assets,,668000000.0,970000000.0,453000000.0
Receivables,7611000000.0,2446000000.0,2537000000.0,2633000000.0
Other Receivables,1231000000.0,,,
Accounts Receivable,6380000000.0,2446000000.0,2537000000.0,2633000000.0
Allowance For Doubtful Accounts Receivable,,-54000000.0,,
Gross Accounts Receivable,,2500000000.0,,
Cash Cash Equivalents And Short Term Investments,3731000000.0,3905000000.0,2091000000.0,1552000000.0
Cash And Cash Equivalents,3731000000.0,3905000000.0,2091000000.0,1552000000.0
