,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Treasury Shares Number,,100000.0,100000.0,
Ordinary Shares Number,259000000.0,251000000.0,243000000.0,232000000.0
Share Issued,259000000.0,251100000.0,243100000.0,232000000.0
Net Debt,1089623000.0,305524000.0,410833000.0,531145000.0
Total Debt,3249076000.0,2102756000.0,2238065000.0,1569858000.0
Tangible Book Value,2440059000.0,1304036000.0,1209583000.0,358889000.0
Invested Capital,8561502000.0,6374879000.0,5072848000.0,3748837000.0
Working Capital,3480058000.0,146210000.0,519413000.0,125218000.0
Net Tangible Assets,2440059000.0,1304036000.0,1209583000.0,358889000.0
Capital Lease Obligations,273142000.0,262959000.0,443051000.0,307572000.0
Common Stock Equity,5585568000.0,4535082000.0,3277834000.0,2486551000.0
Total Capitalization,8561502000.0,5152436000.0,3969747000.0,3504518000.0
Total Equity Gross Minority Interest,5585568000.0,4535082000.0,3277834000.0,2486551000.0
Stockholders Equity,5585568000.0,4535082000.0,3277834000.0,2486551000.0
Gains Losses Not Affecting Retained Earnings,53051000.0,7709000.0,-54970000.0,23492000.0
Other Equity Adjustments,53051000.0,7709000.0,-54970000.0,23492000.0
Treasury Stock,185047000.0,12467000.0,12384000.0,
Retained Earnings,-3111334000.0,-2744585000.0,-2909990000.0,-2627359000.0
Additional Paid In Capital,8828639000.0,7284174000.0,6254936000.0,5090187000.0
Capital Stock,259000.0,251000.0,242000.0,231000.0
Common Stock,259000.0,251000.0,242000.0,231000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,7900670000.0,5963423000.0,5440577000.0,4329814000.0
Total Non Current Liabilities Net Minority Interest,3272504000.0,895568000.0,1157929000.0,1360410000.0
Other Non Current Liabilities,40231000.0,24225000.0,35854000.0,14993000.0
Non Current Deferred Liabilities,74540000.0,71533000.0,80111000.0,86025000.0
Non Current Deferred Revenue,74540000.0,71533000.0,80111000.0,86025000.0
Long Term Debt And Capital Lease Obligation,3157733000.0,799810000.0,1041964000.0,1259392000.0
Long Term Capital Lease Obligation,181799000.0,182456000.0,350051000.0,241425000.0
Long Term Debt,2975934000.0,617354000.0,691913000.0,1017967000.0
Current Liabilities,4628166000.0,5067855000.0,4282648000.0,2969404000.0
Current Deferred Liabilities,3559393000.0,3110947000.0,2556624000.0,2223178000.0
Current Deferred Revenue,3559393000.0,3110947000.0,2556624000.0,2223178000.0
Current Debt And Capital Lease Obligation,91343000.0,1302946000.0,1196101000.0,310466000.0
Current Capital Lease Obligation,91343000.0,80503000.0,93000000.0,66147000.0
Current Debt,,1222443000.0,1103101000.0,244319000.0
Other Current Borrowings,,1222443000.0,1103101000.0,244319000.0
Pensionand Other Post Retirement Benefit Plans Current,563548000.0,402885000.0,285061000.0,248154000.0
Payables And Accrued Expenses,413882000.0,251077000.0,244862000.0,187606000.0
Current Accrued Expenses,260131000.0,195590000.0,169266000.0,130050000.0
Payables,153751000.0,55487000.0,75596000.0,57556000.0
Accounts Payable,153751000.0,55487000.0,75596000.0,57556000.0
Total Assets,13486238000.0,10498505000.0,8718411000.0,6816365000.0
Total Non Current Assets,5378014000.0,5284440000.0,3916350000.0,3721743000.0
Other Non Current Assets,360985000.0,341252000.0,189757000.0,144605000.0
Non Current Prepaid Assets,29285000.0,32628000.0,26042000.0,11132000.0
Non Current Deferred Assets,420988000.0,341259000.0,271796000.0,222395000.0
Non Current Deferred Taxes Assets,12650000.0,11642000.0,9985000.0,6912000.0
Financial Assets,21757000.0,16618000.0,173000.0,9529000.0
Investments And Advances,263485000.0,256759000.0,134090000.0,75004000.0
Long Term Equity Investment,263485000.0,256759000.0,134090000.0,75004000.0
Goodwill And Other Intangible Assets,3145509000.0,3231046000.0,2068251000.0,2127662000.0
Other Intangible Assets,305465000.0,391002000.0,248626000.0,308401000.0
Goodwill,2840044000.0,2840044000.0,1819625000.0,1819261000.0
Net PPE,1450532000.0,1370883000.0,1386546000.0,1227081000.0
Accumulated Depreciation,-1179252000.0,-958275000.0,-749183000.0,-556653000.0
Gross PPE,1450532000.0,1370883000.0,1386546000.0,1227081000.0
Leases,202101000.0,158037000.0,204273000.0,189668000.0
Other Properties,1450532000.0,1370883000.0,1386546000.0,1227081000.0
Machinery Furniture Equipment,1377356000.0,1150864000.0,985649000.0,775399000.0
Buildings And Improvements,719966000.0,691896000.0,494599000.0,489028000.0
Land And Improvements,81083000.0,80553000.0,37065000.0,38737000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,8108224000.0,5214065000.0,4802061000.0,3094622000.0
Other Current Assets,225690000.0,174402000.0,111160000.0,172012000.0
Current Deferred Assets,191054000.0,152957000.0,122764000.0,100459000.0
Prepaid Assets,,174402000.0,111160000.0,172012000.0
Receivables,1570086000.0,1242545000.0,1032484000.0,877578000.0
Accounts Receivable,1570086000.0,1242545000.0,1032484000.0,877578000.0
Allowance For Doubtful Accounts Receivable,-8509000.0,-10790000.0,-14267000.0,-6762000.0
Gross Accounts Receivable,1578595000.0,1253335000.0,1046751000.0,884340000.0
Cash Cash Equivalents And Short Term Investments,6121394000.0,3644161000.0,3535653000.0,1944573000.0
Other Short Term Investments,4235083000.0,2109888000.0,2151472000.0,1213432000.0
Cash And Cash Equivalents,1886311000.0,1534273000.0,1384181000.0,731141000.0
