,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,293822850.0,299037805.0,293549223.0,278727861.0
Share Issued,293822850.0,299037805.0,293549223.0,278727861.0
Total Debt,73687000.0,85018000.0,90415000.0,64792000.0
Tangible Book Value,6083966000.0,5752411000.0,3836427000.0,833943000.0
Invested Capital,6206607000.0,5780018000.0,3860767000.0,833943000.0
Working Capital,4617768000.0,4604116000.0,3532899000.0,761692000.0
Net Tangible Assets,6083966000.0,5752411000.0,3836427000.0,833943000.0
Capital Lease Obligations,73687000.0,85018000.0,90415000.0,64792000.0
Common Stock Equity,6206607000.0,5780018000.0,3860767000.0,833943000.0
Total Capitalization,6206607000.0,5780018000.0,3860767000.0,833943000.0
Total Equity Gross Minority Interest,6206607000.0,5780018000.0,3860767000.0,833943000.0
Stockholders Equity,6206607000.0,5780018000.0,3860767000.0,833943000.0
Gains Losses Not Affecting Retained Earnings,-50385000.0,-17902000.0,839000.0,809000.0
Other Equity Adjustments,-50385000.0,-17902000.0,839000.0,809000.0
Retained Earnings,2151818000.0,2048107000.0,672468000.0,152000.0
Additional Paid In Capital,4104880000.0,3749514000.0,3187168000.0,832705000.0
Capital Stock,294000.0,299000.0,292000.0,277000.0
Common Stock,294000.0,299000.0,292000.0,277000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1921458000.0,1771300000.0,1437226000.0,455902000.0
Total Non Current Liabilities Net Minority Interest,182814000.0,191609000.0,177260000.0,122072000.0
Other Non Current Liabilities,67195000.0,68110000.0,61634000.0,36286000.0
Preferred Securities Outside Stock Equity,,,,0.0
Tradeand Other Payables Non Current,42321000.0,53916000.0,58133000.0,33957000.0
Non Current Deferred Liabilities,41932000.0,38481000.0,25211000.0,20994000.0
Non Current Deferred Revenue,41932000.0,38481000.0,25211000.0,20994000.0
Long Term Debt And Capital Lease Obligation,73687000.0,85018000.0,90415000.0,64792000.0
Long Term Capital Lease Obligation,73687000.0,85018000.0,90415000.0,64792000.0
Current Liabilities,1738644000.0,1579691000.0,1259966000.0,333830000.0
Other Current Liabilities,21692000.0,8412000.0,6933000.0,11523000.0
Current Deferred Liabilities,1266514000.0,1141435000.0,858284000.0,209542000.0
Current Deferred Revenue,1266514000.0,1141435000.0,858284000.0,209542000.0
Current Debt And Capital Lease Obligation,22790000.0,20697000.0,15601000.0,7675000.0
Current Capital Lease Obligation,22790000.0,20697000.0,15601000.0,7675000.0
Pensionand Other Post Retirement Benefit Plans Current,139105000.0,140491000.0,172814000.0,86019000.0
Payables And Accrued Expenses,472130000.0,438256000.0,401682000.0,124288000.0
Current Accrued Expenses,457716000.0,430415000.0,393018000.0,122692000.0
Payables,14414000.0,7841000.0,8664000.0,1596000.0
Total Tax Payable,80300000.0,90273000.0,27453000.0,
Income Tax Payable,46441000.0,56968000.0,,
Accounts Payable,14414000.0,7841000.0,8664000.0,1596000.0
Total Assets,8128065000.0,7551318000.0,5297993000.0,1289845000.0
Total Non Current Assets,1771653000.0,1367511000.0,505128000.0,194323000.0
Other Non Current Assets,177874000.0,106761000.0,75953000.0,22332000.0
Non Current Prepaid Assets,9695000.0,16120000.0,12386000.0,
Non Current Deferred Assets,738419000.0,547010000.0,157262000.0,46245000.0
Non Current Deferred Taxes Assets,558428000.0,382296000.0,,
Non Current Accounts Receivable,92031000.0,55643000.0,28008000.0,9011000.0
Investments And Advances,398992000.0,367814000.0,18668000.0,3000000.0
Other Investments,398992000.0,367814000.0,,
Investmentin Financial Assets,398992000.0,,5130000.0,
Held To Maturity Securities,14400000.0,,5130000.0,
Available For Sale Securities,384592000.0,,,
Long Term Equity Investment,,,13538000.0,3000000.0
Goodwill And Other Intangible Assets,122641000.0,27607000.0,24340000.0,
Other Intangible Assets,56659000.0,,10816000.0,
Goodwill,122641000.0,27607000.0,24340000.0,
Net PPE,333727000.0,318319000.0,247573000.0,125746000.0
Accumulated Depreciation,-159682000.0,-91605000.0,-51955000.0,-27256000.0
Gross PPE,333727000.0,318319000.0,247573000.0,125746000.0
Leases,25948000.0,25340000.0,23593000.0,18215000.0
Other Properties,333727000.0,318319000.0,247573000.0,125746000.0
Machinery Furniture Equipment,386555000.0,288619000.0,178286000.0,66179000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,6356412000.0,6183807000.0,4792865000.0,1095522000.0
Other Current Assets,163092000.0,145602000.0,5642000.0,4141000.0
Current Deferred Assets,223250000.0,199266000.0,136630000.0,44885000.0
Restricted Cash,13141000.0,10236000.0,50475000.0,48547000.0
Prepaid Assets,123493000.0,145602000.0,116819000.0,75008000.0
Receivables,557404000.0,419673000.0,294703000.0,120435000.0
Accounts Receivable,557404000.0,419673000.0,294703000.0,120435000.0
Allowance For Doubtful Accounts Receivable,-33206000.0,-24696000.0,-36844000.0,-7634000.0
Gross Accounts Receivable,590610000.0,444369000.0,331547000.0,128069000.0
Cash Cash Equivalents And Short Term Investments,5412666000.0,5419266000.0,4244713000.0,855194000.0
Other Short Term Investments,4325836000.0,4356446000.0,2004410000.0,572060000.0
Cash And Cash Equivalents,1086830000.0,1062820000.0,2240303000.0,283134000.0
