,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,99584000000.0,111443000000.0,92953000000.0,73365000000.0
Repurchase Of Capital Stock,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0
Repayment Of Debt,-11151000000.0,-9543000000.0,-8750000000.0,-13592000000.0
Issuance Of Debt,5228000000.0,9420000000.0,20393000000.0,16091000000.0
Issuance Of Capital Stock,,,1105000000.0,880000000.0
Capital Expenditure,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
Interest Paid Supplemental Data,3803000000.0,2865000000.0,2687000000.0,3002000000.0
Income Tax Paid Supplemental Data,18679000000.0,19573000000.0,25385000000.0,9501000000.0
End Cash Position,30737000000.0,24977000000.0,35929000000.0,39789000000.0
Beginning Cash Position,24977000000.0,35929000000.0,39789000000.0,50224000000.0
Changes In Cash,5760000000.0,-10952000000.0,-3860000000.0,-10435000000.0
Financing Cash Flow,-108488000000.0,-110749000000.0,-93353000000.0,-86820000000.0
Cash Flow From Continuing Financing Activities,-108488000000.0,-110749000000.0,-93353000000.0,-86820000000.0
Net Other Financing Charges,-6012000000.0,-6383000000.0,-6685000000.0,-3760000000.0
Cash Dividends Paid,-15025000000.0,-14841000000.0,-14467000000.0,-14081000000.0
Common Stock Dividend Paid,-15025000000.0,-14841000000.0,-14467000000.0,-14081000000.0
Net Common Stock Issuance,-77550000000.0,-89402000000.0,-84866000000.0,-71478000000.0
Common Stock Payments,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0
Common Stock Issuance,,,1105000000.0,880000000.0
Net Issuance Payments Of Debt,-9901000000.0,-123000000.0,12665000000.0,2499000000.0
Net Short Term Debt Issuance,-3978000000.0,3955000000.0,1022000000.0,-963000000.0
Short Term Debt Payments,,,,-963000000.0
Short Term Debt Issuance,,3955000000.0,,
Net Long Term Debt Issuance,-5923000000.0,-4078000000.0,11643000000.0,3462000000.0
Long Term Debt Payments,-11151000000.0,-9543000000.0,-8750000000.0,-12629000000.0
Long Term Debt Issuance,5228000000.0,5465000000.0,20393000000.0,16091000000.0
Investing Cash Flow,3705000000.0,-22354000000.0,-14545000000.0,-4289000000.0
Cash Flow From Continuing Investing Activities,3705000000.0,-22354000000.0,-14545000000.0,-4289000000.0
Net Other Investing Changes,-1337000000.0,-1780000000.0,-352000000.0,-791000000.0
Net Investment Purchase And Sale,16001000000.0,-9560000000.0,-3075000000.0,5335000000.0
Sale Of Investment,45514000000.0,67363000000.0,106483000000.0,120483000000.0
Purchase Of Investment,-29513000000.0,-76923000000.0,-109558000000.0,-115148000000.0
Net Business Purchase And Sale,,-306000000.0,-33000000.0,-1524000000.0
Purchase Of Business,,-306000000.0,-33000000.0,-1524000000.0
Net PPE Purchase And Sale,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
Purchase Of PPE,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
Operating Cash Flow,110543000000.0,122151000000.0,104038000000.0,80674000000.0
Cash Flow From Continuing Operating Activities,110543000000.0,122151000000.0,104038000000.0,80674000000.0
Change In Working Capital,-6577000000.0,1200000000.0,-4911000000.0,5690000000.0
Change In Other Working Capital,,478000000.0,1676000000.0,2081000000.0
Change In Other Current Liabilities,3031000000.0,5632000000.0,5799000000.0,8916000000.0
Change In Other Current Assets,-5684000000.0,-6499000000.0,-8042000000.0,-9588000000.0
Change In Payables And Accrued Expense,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
Change In Payable,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
Change In Account Payable,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
Change In Inventory,-1618000000.0,1484000000.0,-2642000000.0,-127000000.0
Change In Receivables,-417000000.0,-9343000000.0,-14028000000.0,8470000000.0
Changes In Account Receivables,-1688000000.0,-1823000000.0,-10125000000.0,6917000000.0
Other Non Cash Items,-2227000000.0,111000000.0,-147000000.0,-97000000.0
Stock Based Compensation,10833000000.0,9038000000.0,7906000000.0,6829000000.0
Deferred Tax,,895000000.0,-4774000000.0,-215000000.0
Deferred Income Tax,,895000000.0,-4774000000.0,-215000000.0
Depreciation Amortization Depletion,11519000000.0,11104000000.0,11284000000.0,11056000000.0
Depreciation And Amortization,11519000000.0,11104000000.0,11284000000.0,11056000000.0
Net Income From Continuing Operations,96995000000.0,99803000000.0,94680000000.0,57411000000.0
