,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3405000000.0,2164372000.0,-667103000.0,97275000.0
Repurchase Of Capital Stock,-1500000000.0,,,
Repayment Of Debt,0.0,-2207883000.0,-5000000.0,0.0
Issuance Of Debt,0.0,1979166000.0,1928880000.0,0.0
Issuance Of Capital Stock,0.0,0.0,3650870000.0,0.0
Capital Expenditure,-25000000.0,-25322000.0,-37371000.0,-125452000.0
Interest Paid Supplemental Data,8000000.0,49892000.0,129798000.0,5178000.0
Income Tax Paid Supplemental Data,68000000.0,17291000.0,15103000.0,28192000.0
End Cash Position,12103000000.0,9727289000.0,7668252000.0,5143443000.0
Beginning Cash Position,9727000000.0,7668252000.0,5143443000.0,4438576000.0
Effect Of Exchange Rate Changes,-337000000.0,-209861000.0,134137000.0,-25284000.0
Changes In Cash,2713000000.0,2268898000.0,2390672000.0,730151000.0
Financing Cash Flow,-689000000.0,1431159000.0,2940814000.0,854579000.0
Cash Flow From Continuing Financing Activities,-689000000.0,1431159000.0,2940814000.0,854579000.0
Net Other Financing Charges,723000000.0,1471683000.0,-2649010000.0,848706000.0
Proceeds From Stock Option Exercised,88000000.0,188193000.0,15074000.0,5873000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,-1500000000.0,0.0,3650870000.0,
Common Stock Payments,-1500000000.0,,,
Common Stock Issuance,0.0,0.0,3650870000.0,
Net Issuance Payments Of Debt,0.0,-228717000.0,1923880000.0,0.0
Net Long Term Debt Issuance,0.0,-228717000.0,1923880000.0,0.0
Long Term Debt Payments,0.0,-2207883000.0,-5000000.0,0.0
Long Term Debt Issuance,0.0,1979166000.0,1928880000.0,0.0
Investing Cash Flow,-28000000.0,-1351955000.0,79590000.0,-347155000.0
Cash Flow From Continuing Investing Activities,-28000000.0,-1351955000.0,79590000.0,-347155000.0
Net Other Investing Changes,-2000000.0,500000.0,-8600000.0,33665000.0
Net Investment Purchase And Sale,-1000000.0,-1327133000.0,125561000.0,144930000.0
Sale Of Investment,4071000000.0,3611055000.0,3158225000.0,1161085000.0
Purchase Of Investment,-4072000000.0,-4938188000.0,-3032664000.0,-1016155000.0
Net Business Purchase And Sale,,0.0,0.0,-400298000.0
Purchase Of Business,,0.0,0.0,-400298000.0
Net PPE Purchase And Sale,-25000000.0,-25322000.0,-37371000.0,-125452000.0
Purchase Of PPE,-25000000.0,-25322000.0,-37371000.0,-125452000.0
Operating Cash Flow,3430000000.0,2189694000.0,-629732000.0,222727000.0
Cash Flow From Continuing Operating Activities,3430000000.0,2189694000.0,-629732000.0,222727000.0
Change In Working Capital,319000000.0,637923000.0,-284610000.0,620382000.0
Change In Other Working Capital,280000000.0,495816000.0,-267009000.0,176254000.0
Change In Other Current Liabilities,-69000000.0,-33774000.0,60897000.0,-41923000.0
Change In Other Current Assets,41000000.0,25156000.0,-33280000.0,49126000.0
Change In Payables And Accrued Expense,293000000.0,205076000.0,-29355000.0,623370000.0
Change In Accrued Expense,273000000.0,165130000.0,43756000.0,547654000.0
Change In Payable,20000000.0,39946000.0,-73111000.0,75716000.0
Change In Account Payable,20000000.0,39946000.0,-73111000.0,75716000.0
Change In Prepaid Assets,-226000000.0,-54351000.0,-15863000.0,-186445000.0
Other Non Cash Items,8000000.0,27457000.0,58969000.0,3672000.0
Stock Based Compensation,930000000.0,898830000.0,3001948000.0,97547000.0
Asset Impairment Charge,140000000.0,142911000.0,225582000.0,104804000.0
Amortization Of Securities,,,,-2043000.0
Deferred Tax,-1000000.0,10935000.0,-19601000.0,-5627000.0
Deferred Income Tax,-1000000.0,10935000.0,-19601000.0,-5627000.0
Depreciation Amortization Depletion,81000000.0,138319000.0,125876000.0,114162000.0
Depreciation And Amortization,81000000.0,138319000.0,125876000.0,114162000.0
Operating Gains Losses,60000000.0,685353000.0,846820000.0,-35831000.0
Gain Loss On Investment Securities,-2000000.0,283734000.0,899996000.0,-38758000.0
Net Foreign Currency Exchange Gain Loss,62000000.0,24371000.0,-53176000.0,2927000.0
Net Income From Continuing Operations,1893000000.0,-352034000.0,-4584716000.0,-674339000.0
