,2022-11-30,2021-11-30,2020-11-30
Free Cash Flow,7396000000.0,6893000000.0,5308000000.0
Repurchase Of Capital Stock,-6550000000.0,-3950000000.0,-3050000000.0
Repayment Of Debt,0.0,0.0,-3150000000.0
Issuance Of Debt,0.0,0.0,3144000000.0
Issuance Of Capital Stock,278000000.0,291000000.0,270000000.0
Capital Expenditure,-442000000.0,-330000000.0,-419000000.0
Interest Paid Supplemental Data,103000000.0,100000000.0,88000000.0
Income Tax Paid Supplemental Data,778000000.0,843000000.0,469000000.0
End Cash Position,4236000000.0,3844000000.0,4478000000.0
Beginning Cash Position,3844000000.0,4478000000.0,2650000000.0
Effect Of Exchange Rate Changes,-51000000.0,-37000000.0,3000000.0
Changes In Cash,443000000.0,-597000000.0,1825000000.0
Financing Cash Flow,-6825000000.0,-4301000000.0,-3488000000.0
Cash Flow From Continuing Financing Activities,-6825000000.0,-4301000000.0,-3488000000.0
Net Other Financing Charges,-378000000.0,-432000000.0,-535000000.0
Net Common Stock Issuance,-6447000000.0,-3869000000.0,-2947000000.0
Common Stock Payments,-6550000000.0,-3950000000.0,-3050000000.0
Common Stock Issuance,278000000.0,291000000.0,270000000.0
Net Issuance Payments Of Debt,0.0,0.0,-6000000.0
Net Long Term Debt Issuance,0.0,0.0,-6000000.0
Long Term Debt Payments,0.0,0.0,-3150000000.0
Long Term Debt Issuance,0.0,0.0,3144000000.0
Investing Cash Flow,-570000000.0,-3519000000.0,-414000000.0
Cash Flow From Continuing Investing Activities,-570000000.0,-3519000000.0,-414000000.0
Net Investment Purchase And Sale,-2000000.0,-507000000.0,5000000.0
Sale Of Investment,953000000.0,1068000000.0,1091000000.0
Purchase Of Investment,-955000000.0,-1575000000.0,-221000000.0
Net Business Purchase And Sale,-126000000.0,-2682000000.0,0.0
Purchase Of Business,-126000000.0,-2682000000.0,0.0
Net PPE Purchase And Sale,-442000000.0,-330000000.0,-419000000.0
Purchase Of PPE,-442000000.0,-330000000.0,-419000000.0
Operating Cash Flow,7838000000.0,7223000000.0,5727000000.0
Cash Flow From Continuing Operating Activities,7838000000.0,7223000000.0,5727000000.0
Change In Working Capital,336000000.0,285000000.0,186000000.0
Change In Other Working Capital,336000000.0,285000000.0,186000000.0
Change In Payables And Accrued Expense,92000000.0,144000000.0,110000000.0
Change In Accrued Expense,7000000.0,162000000.0,86000000.0
Change In Payable,85000000.0,-18000000.0,24000000.0
Change In Account Payable,66000000.0,-20000000.0,96000000.0
Change In Tax Payable,19000000.0,2000000.0,-72000000.0
Change In Income Tax Payable,19000000.0,2000000.0,-72000000.0
Change In Prepaid Assets,-94000000.0,-475000000.0,-288000000.0
Change In Receivables,-198000000.0,-430000000.0,106000000.0
Changes In Account Receivables,-198000000.0,-430000000.0,106000000.0
Other Non Cash Items,421000000.0,263000000.0,-1374000000.0
Stock Based Compensation,1440000000.0,1069000000.0,909000000.0
Unrealized Gain Loss On Investment Securities,29000000.0,-4000000.0,-11000000.0
Deferred Tax,328000000.0,183000000.0,-1501000000.0
Deferred Income Tax,328000000.0,183000000.0,-1501000000.0
Depreciation Amortization Depletion,856000000.0,788000000.0,757000000.0
Depreciation And Amortization,856000000.0,788000000.0,757000000.0
Depreciation,856000000.0,788000000.0,757000000.0
Operating Gains Losses,83000000.0,73000000.0,87000000.0
Gain Loss On Sale Of PPE,83000000.0,73000000.0,87000000.0
Net Income From Continuing Operations,4756000000.0,4822000000.0,5260000000.0
