,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,3556171000.0,3776094000.0,2391393000.0,1842795000.0
Repurchase Of Capital Stock,-2963955000.0,-2577015000.0,-3105144000.0,-244487000.0
Repayment Of Debt,-4805588000.0,-919116000.0,-3991982000.0,-1100000000.0
Issuance Of Debt,5287124000.0,696130000.0,4339640000.0,745646000.0
Capital Expenditure,-1261463000.0,-699308000.0,-343676000.0,-165692000.0
End Cash Position,958061000.0,1470572000.0,1977964000.0,1055860000.0
Beginning Cash Position,1470572000.0,1977964000.0,1055860000.0,648322000.0
Effect Of Exchange Rate Changes,0.0,-34706000.0,3174000.0,182000.0
Changes In Cash,-512511000.0,-472686000.0,918930000.0,407356000.0
Financing Cash Flow,-4063760000.0,-4290720000.0,-3959664000.0,-1420608000.0
Cash Flow From Continuing Financing Activities,-4063760000.0,-4290720000.0,-3959664000.0,-1420608000.0
Net Other Financing Charges,-20843000.0,19946000.0,-155939000.0,-4015000.0
Proceeds From Stock Option Exercised,118608000.0,33887000.0,63105000.0,68403000.0
Cash Dividends Paid,-1679106000.0,-1544552000.0,-1109344000.0,-886155000.0
Common Stock Dividend Paid,-1679106000.0,-1544552000.0,-1109344000.0,-886155000.0
Net Preferred Stock Issuance,,,-500000000.0,
Preferred Stock Payments,,,-500000000.0,
Net Common Stock Issuance,-2963955000.0,-2577015000.0,-2605144000.0,-244487000.0
Common Stock Payments,-2963955000.0,-2577015000.0,-2605144000.0,-244487000.0
Net Issuance Payments Of Debt,481536000.0,-222986000.0,347658000.0,-354354000.0
Net Short Term Debt Issuance,547224000.0,,0.0,0.0
Short Term Debt Payments,-4739900000.0,,-400000000.0,-350000000.0
Short Term Debt Issuance,5287124000.0,,400000000.0,350000000.0
Net Long Term Debt Issuance,-65688000.0,-222986000.0,347658000.0,-354354000.0
Long Term Debt Payments,-65688000.0,-919116000.0,-3991982000.0,-1100000000.0
Long Term Debt Issuance,0.0,696130000.0,4339640000.0,745646000.0
Investing Cash Flow,-1266385000.0,-657368000.0,2143525000.0,-180523000.0
Cash Flow From Continuing Investing Activities,-1266385000.0,-657368000.0,2143525000.0,-180523000.0
Net Other Investing Changes,-4922000.0,41940000.0,-4238000.0,-635000.0
Net Investment Purchase And Sale,,,30125000.0,
Sale Of Investment,,,30125000.0,
Net Business Purchase And Sale,0.0,0.0,2425600000.0,-14196000.0
Sale Of Business,0.0,0.0,2450550000.0,
Purchase Of Business,,,-24950000.0,-14196000.0
Net PPE Purchase And Sale,-1261463000.0,-699308000.0,-307962000.0,-165692000.0
Sale Of PPE,,,35714000.0,
Purchase Of PPE,-1261463000.0,-699308000.0,-343676000.0,-165692000.0
Operating Cash Flow,4817634000.0,4475402000.0,2735069000.0,2008487000.0
Cash Flow From Continuing Operating Activities,4817634000.0,4475402000.0,2735069000.0,2008487000.0
Change In Working Capital,-645590000.0,-883665000.0,-86366000.0,-104185000.0
Change In Other Working Capital,,,-1000.0,
Change In Other Current Liabilities,50289000.0,-69927000.0,-49277000.0,-133198000.0
Change In Other Current Assets,-25819000.0,-14441000.0,,
Change In Payables And Accrued Expense,-763032000.0,79920000.0,201647000.0,132545000.0
Change In Payable,-763032000.0,79920000.0,201647000.0,132545000.0
Change In Account Payable,-499316000.0,171772000.0,208444000.0,103104000.0
Change In Tax Payable,-263716000.0,-91852000.0,-6797000.0,29441000.0
Change In Income Tax Payable,-263716000.0,-91852000.0,-6797000.0,29441000.0
Change In Prepaid Assets,4543000.0,-64584000.0,-59117000.0,-3666000.0
Change In Inventory,-242299000.0,-470725000.0,-65114000.0,1760000.0
Change In Receivables,330728000.0,-343908000.0,-114504000.0,-101626000.0
Changes In Account Receivables,330728000.0,-343908000.0,-114504000.0,-101626000.0
Other Non Cash Items,8665000.0,224322000.0,318097000.0,45418000.0
Stock Based Compensation,299823000.0,323487000.0,243611000.0,149518000.0
Asset Impairment Charge,0.0,91953000.0,,
Deferred Tax,-452946000.0,-326755000.0,-406922000.0,-113948000.0
Deferred Income Tax,-452946000.0,-326755000.0,-406922000.0,-113948000.0
Depreciation Amortization Depletion,2293103000.0,2297499000.0,1074634000.0,810923000.0
Depreciation And Amortization,2293103000.0,2297499000.0,1074634000.0,810923000.0
Amortization Cash Flow,1958399000.0,2014161000.0,843359000.0,577148000.0
Amortization Of Intangibles,1958399000.0,2014161000.0,843359000.0,577148000.0
Depreciation,334704000.0,283338000.0,231275000.0,233775000.0
Operating Gains Losses,,,201593000.0,
Gain Loss On Sale Of PPE,,,-13557000.0,
Net Income From Continuing Operations,3314579000.0,2748561000.0,1390422000.0,1220761000.0
