,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,3636000000.0,2546100000.0,2587400000.0,2409800000.0
Repurchase Of Capital Stock,-1121400000.0,-1969400000.0,-1372300000.0,-1006300000.0
Repayment Of Debt,-1000000.0,-900000.0,-1001800000.0,-2200000.0
Issuance Of Debt,0.0,128300000.0,1981500000.0,
Capital Expenditure,-571600000.0,-553400000.0,-505900000.0,-616400000.0
Interest Paid Supplemental Data,246500000.0,74800000.0,53100000.0,104800000.0
Income Tax Paid Supplemental Data,1080700000.0,856800000.0,973700000.0,677100000.0
End Cash Position,8771500000.0,22783000000.0,13143200000.0,7053600000.0
Beginning Cash Position,22783000000.0,13143200000.0,7053600000.0,6796200000.0
Effect Of Exchange Rate Changes,-21100000.0,-98700000.0,73800000.0,-34500000.0
Changes In Cash,-13990400000.0,9738500000.0,6015800000.0,291900000.0
Financing Cash Flow,-15680700000.0,13653400000.0,6437500000.0,-5890600000.0
Cash Flow From Continuing Financing Activities,-15680700000.0,13653400000.0,6437500000.0,-5890600000.0
Net Other Financing Charges,-12701600000.0,17057900000.0,8301500000.0,-3461600000.0
Proceeds From Stock Option Exercised,91600000.0,96500000.0,104100000.0,50000000.0
Cash Dividends Paid,-1903600000.0,-1659000000.0,-1575500000.0,-1470500000.0
Common Stock Dividend Paid,-1903600000.0,-1659000000.0,-1575500000.0,-1470500000.0
Net Common Stock Issuance,-1121400000.0,-1969400000.0,-1372300000.0,-1006300000.0
Common Stock Payments,-1121400000.0,-1969400000.0,-1372300000.0,-1006300000.0
Net Issuance Payments Of Debt,-45700000.0,127400000.0,979700000.0,-2200000.0
Net Short Term Debt Issuance,-44700000.0,128300000.0,,
Short Term Debt Issuance,,128300000.0,,
Net Long Term Debt Issuance,-1000000.0,-900000.0,979700000.0,-2200000.0
Long Term Debt Payments,-1000000.0,-900000.0,-1001800000.0,-2200000.0
Long Term Debt Issuance,0.0,0.0,1981500000.0,
Investing Cash Flow,-2517300000.0,-7014400000.0,-3515000000.0,3156300000.0
Cash Flow From Continuing Investing Activities,-2517300000.0,-7014400000.0,-3515000000.0,3156300000.0
Net Investment Purchase And Sale,-1913300000.0,-6483500000.0,-3027900000.0,3743300000.0
Sale Of Investment,4705500000.0,4249700000.0,6238400000.0,7648400000.0
Purchase Of Investment,-6618800000.0,-10733200000.0,-9266300000.0,-3905100000.0
Net Business Purchase And Sale,-32400000.0,-11700000.0,0.0,0.0
Purchase Of Business,-32400000.0,-11700000.0,0.0,0.0
Net Intangibles Purchase And Sale,-365300000.0,-379000000.0,-327300000.0,-443700000.0
Purchase Of Intangibles,-365300000.0,-379000000.0,-327300000.0,-443700000.0
Net PPE Purchase And Sale,0.0,34200000.0,18800000.0,29400000.0
Sale Of PPE,0.0,34200000.0,18800000.0,29400000.0
Capital Expenditure Reported,-206300000.0,-174400000.0,-178600000.0,-172700000.0
Operating Cash Flow,4207600000.0,3099500000.0,3093300000.0,3026200000.0
Cash Flow From Continuing Operating Activities,4207600000.0,3099500000.0,3093300000.0,3026200000.0
Change In Working Capital,-938700000.0,-1638300000.0,-937400000.0,-1120000000.0
Change In Other Working Capital,,,,-910400000.0
Change In Other Current Assets,-1357400000.0,-1258400000.0,-1029400000.0,-910400000.0
Change In Payables And Accrued Expense,289500000.0,106600000.0,431800000.0,-95800000.0
Change In Accrued Expense,301300000.0,123000000.0,394900000.0,-77500000.0
Change In Payable,-11800000.0,-16400000.0,36900000.0,-18300000.0
Change In Account Payable,-11800000.0,-16400000.0,36900000.0,-18300000.0
Change In Receivables,129200000.0,-486500000.0,-339800000.0,-113800000.0
Changes In Account Receivables,129200000.0,-486500000.0,-339800000.0,-113800000.0
Other Non Cash Items,1064300000.0,987900000.0,970500000.0,980400000.0
Stock Based Compensation,220400000.0,201700000.0,175300000.0,130800000.0
Asset Impairment Charge,,,19900000.0,29900000.0
Amortization Of Securities,23000000.0,101000000.0,69500000.0,50200000.0
Deferred Tax,-80100000.0,36600000.0,-251100000.0,26000000.0
Deferred Income Tax,-80100000.0,36600000.0,-251100000.0,26000000.0
Depreciation Amortization Depletion,549300000.0,515100000.0,510700000.0,480000000.0
Depreciation And Amortization,549300000.0,515100000.0,510700000.0,480000000.0
Operating Gains Losses,-42600000.0,-53400000.0,-62600000.0,-17600000.0
Pension And Employee Benefit Expense,-42600000.0,-53400000.0,-52800000.0,-11600000.0
Net Income From Continuing Operations,3412000000.0,2948900000.0,2598500000.0,2466500000.0
