,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,2025000000.0,1464800000.0,1341300000.0,1361900000.0
Repurchase Of Capital Stock,-1101000000.0,-1078500000.0,-551700000.0,-442500000.0
Repayment Of Debt,-350000000.0,0.0,-450000000.0,-500000000.0
Issuance Of Debt,0.0,997000000.0,0.0,498900000.0
Issuance Of Capital Stock,124000000.0,113700000.0,114100000.0,93700000.0
Capital Expenditure,-46000000.0,-66500000.0,-95900000.0,-53200000.0
Interest Paid Supplemental Data,86000000.0,57500000.0,62700000.0,67800000.0
Income Tax Paid Supplemental Data,241000000.0,165200000.0,92800000.0,60300000.0
End Cash Position,1947000000.0,1528400000.0,1772200000.0,1774700000.0
Beginning Cash Position,1528000000.0,1772200000.0,1774700000.0,886000000.0
Effect Of Exchange Rate Changes,-22000000.0,-11900000.0,11000000.0,-2300000.0
Changes In Cash,441000000.0,-231900000.0,-13500000.0,891000000.0
Financing Cash Flow,-1487000000.0,-168600000.0,-1046800000.0,-466800000.0
Cash Flow From Continuing Financing Activities,-1487000000.0,-168600000.0,-1046800000.0,-466800000.0
Net Other Financing Charges,-160000000.0,-200800000.0,-159200000.0,-116900000.0
Net Common Stock Issuance,-977000000.0,-964800000.0,-437600000.0,-348800000.0
Common Stock Payments,-1101000000.0,-1078500000.0,-551700000.0,-442500000.0
Common Stock Issuance,124000000.0,113700000.0,114100000.0,93700000.0
Net Issuance Payments Of Debt,-350000000.0,997000000.0,-450000000.0,-1100000.0
Net Long Term Debt Issuance,-350000000.0,997000000.0,-450000000.0,-1100000.0
Long Term Debt Payments,-350000000.0,0.0,-450000000.0,-500000000.0
Long Term Debt Issuance,0.0,997000000.0,0.0,498900000.0
Investing Cash Flow,-143000000.0,-1594600000.0,-403900000.0,-57300000.0
Cash Flow From Continuing Investing Activities,-143000000.0,-1594600000.0,-403900000.0,-57300000.0
Net Other Investing Changes,-54000000.0,-4500000.0,-57800000.0,-11600000.0
Net Investment Purchase And Sale,53000000.0,-273300000.0,-4000000.0,7500000.0
Sale Of Investment,450000000.0,37800000.0,17000000.0,27400000.0
Purchase Of Investment,-397000000.0,-311100000.0,-21000000.0,-19900000.0
Net Business Purchase And Sale,-96000000.0,-1250300000.0,-246200000.0,0.0
Purchase Of Business,-96000000.0,-1250300000.0,-246200000.0,0.0
Net Intangibles Purchase And Sale,-6000000.0,-10500000.0,-4800000.0,
Purchase Of Intangibles,-6000000.0,-10500000.0,-4800000.0,
Capital Expenditure Reported,-40000000.0,-56000000.0,-91100000.0,-53200000.0
Operating Cash Flow,2071000000.0,1531300000.0,1437200000.0,1415100000.0
Cash Flow From Continuing Operating Activities,2071000000.0,1531300000.0,1437200000.0,1415100000.0
Change In Working Capital,692000000.0,217300000.0,446600000.0,712000000.0
Change In Other Working Capital,798000000.0,419400000.0,344400000.0,916700000.0
Change In Payables And Accrued Expense,144000000.0,-2400000.0,146000000.0,-84700000.0
Change In Payable,144000000.0,-2400000.0,146000000.0,-84700000.0
Change In Account Payable,-5000000.0,9900000.0,129600000.0,-90800000.0
Change In Tax Payable,149000000.0,-12300000.0,16400000.0,6100000.0
Change In Income Tax Payable,149000000.0,-12300000.0,16400000.0,6100000.0
Change In Prepaid Assets,-3000000.0,-133500000.0,-56400000.0,58500000.0
Change In Receivables,-247000000.0,-66200000.0,12600000.0,-178500000.0
Changes In Account Receivables,-247000000.0,-66200000.0,12600000.0,-178500000.0
Other Non Cash Items,-8000000.0,17600000.0,38800000.0,-11400000.0
Stock Based Compensation,657000000.0,555400000.0,398400000.0,362400000.0
Asset Impairment Charge,34000000.0,103700000.0,,
Deferred Tax,-277000000.0,-7800000.0,-778600000.0,10300000.0
Deferred Income Tax,-277000000.0,-7800000.0,-778600000.0,10300000.0
Depreciation Amortization Depletion,150000000.0,148100000.0,123800000.0,127300000.0
Depreciation And Amortization,150000000.0,148100000.0,123800000.0,127300000.0
Depreciation,150000000.0,148100000.0,123800000.0,127300000.0
Net Income From Continuing Operations,823000000.0,497000000.0,1208200000.0,214500000.0
