,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-1484400000.0,-1924200000.0,-2483100000.0,-1873600000.0
Repayment Of Debt,-3641000000.0,-4311900000.0,-3157000000.0,-1291500000.0
Issuance Of Debt,7134000000.0,7879600000.0,7022600000.0,5464900000.0
Issuance Of Capital Stock,826500000.0,600500000.0,155000000.0,65300000.0
Capital Expenditure,-6772400000.0,-5764100000.0,-6316000000.0,-6143700000.0
End Cash Position,556500000.0,451400000.0,438300000.0,432600000.0
Beginning Cash Position,451400000.0,438300000.0,432600000.0,444100000.0
Changes In Cash,105100000.0,13100000.0,5700000.0,-11500000.0
Financing Cash Flow,2568900000.0,2607100000.0,2406700000.0,2862900000.0
Cash Flow From Continuing Financing Activities,2568900000.0,2607100000.0,2406700000.0,2862900000.0
Net Other Financing Charges,-105400000.0,-41600000.0,-189000000.0,-25800000.0
Cash Dividends Paid,-1645200000.0,-1519500000.0,-1424900000.0,-1350000000.0
Common Stock Dividend Paid,-1645200000.0,-1519500000.0,-1424900000.0,-1350000000.0
Net Common Stock Issuance,826500000.0,600500000.0,155000000.0,65300000.0
Common Stock Issuance,826500000.0,600500000.0,155000000.0,65300000.0
Net Issuance Payments Of Debt,3493000000.0,3567700000.0,3865600000.0,4173400000.0
Net Short Term Debt Issuance,1498200000.0,134700000.0,-359000000.0,928300000.0
Short Term Debt Payments,-986100000.0,-1258600000.0,-1755500000.0,0.0
Short Term Debt Issuance,2484300000.0,1393300000.0,1396500000.0,928300000.0
Net Long Term Debt Issuance,1994800000.0,3433000000.0,4224600000.0,3245100000.0
Long Term Debt Payments,-2654900000.0,-3053300000.0,-1401500000.0,-1291500000.0
Long Term Debt Issuance,4649700000.0,6486300000.0,5626100000.0,4536600000.0
Investing Cash Flow,-7751800000.0,-6433900000.0,-6233900000.0,-7144500000.0
Cash Flow From Continuing Investing Activities,-7751800000.0,-6433900000.0,-6233900000.0,-7144500000.0
Net Other Investing Changes,268300000.0,151100000.0,116600000.0,-600000.0
Net Investment Purchase And Sale,-40400000.0,-53700000.0,-34500000.0,-81800000.0
Sale Of Investment,2743800000.0,1901400000.0,1644300000.0,1494200000.0
Purchase Of Investment,-2784200000.0,-1955100000.0,-1678800000.0,-1576000000.0
Net Business Purchase And Sale,-1207300000.0,-767200000.0,,-918400000.0
Purchase Of Business,-1207300000.0,-767200000.0,,-918400000.0
Net PPE Purchase And Sale,-100700000.0,-104500000.0,-69700000.0,-92300000.0
Purchase Of PPE,-100700000.0,-104500000.0,-69700000.0,-92300000.0
Capital Expenditure Reported,-6671700000.0,-5659600000.0,-6246300000.0,-6051400000.0
Operating Cash Flow,5288000000.0,3839900000.0,3832900000.0,4270100000.0
Cash Flow From Continuing Operating Activities,5288000000.0,3839900000.0,3832900000.0,4270100000.0
Change In Working Capital,-237700000.0,236300000.0,-508600000.0,26000000.0
Change In Other Working Capital,,,-337900000.0,-213500000.0
Change In Other Current Liabilities,54300000.0,-212200000.0,-255500000.0,-189000000.0
Change In Other Current Assets,109000000.0,-151300000.0,34300000.0,70700000.0
Change In Payables And Accrued Expense,594600000.0,419300000.0,-15200000.0,144700000.0
Change In Payable,594600000.0,419300000.0,-15200000.0,144700000.0
Change In Account Payable,489200000.0,200600000.0,-35300000.0,5800000.0
Change In Tax Payable,105400000.0,218700000.0,20100000.0,138900000.0
Change In Income Tax Payable,105400000.0,218700000.0,20100000.0,138900000.0
Change In Inventory,-313900000.0,300200000.0,-142900000.0,-248200000.0
Change In Receivables,-681700000.0,-119700000.0,-129300000.0,247800000.0
Changes In Account Receivables,-681700000.0,-119700000.0,-129300000.0,247800000.0
Other Non Cash Items,-67300000.0,-452600000.0,-941000000.0,-495500000.0
Provisionand Write Offof Assets,-319200000.0,-1647900000.0,-31800000.0,68700000.0
Asset Impairment Charge,236800000.0,11600000.0,,156400000.0
Deferred Tax,-178400000.0,39600000.0,152800000.0,-91600000.0
Deferred Income Tax,-178400000.0,39600000.0,152800000.0,-91600000.0
Depreciation Amortization Depletion,3285700000.0,3046400000.0,2906800000.0,2740100000.0
Depreciation And Amortization,3285700000.0,3046400000.0,2906800000.0,2740100000.0
Depreciation,3285700000.0,3046400000.0,2906800000.0,2740100000.0
Operating Gains Losses,262500000.0,118400000.0,58000000.0,-53800000.0
Pension And Employee Benefit Expense,,6100000.0,-8500000.0,-24600000.0
Gain Loss On Investment Securities,15500000.0,112300000.0,66500000.0,-29200000.0
Gain Loss On Sale Of PPE,-116300000.0,,,
Gain Loss On Sale Of Business,363300000.0,,,
Net Income From Continuing Operations,2305600000.0,2488100000.0,2196700000.0,1919800000.0
