,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,8785000000.0,9261000000.0,10497000000.0,9150000000.0
Repurchase Of Capital Stock,-6360000000.0,-4975000000.0,-3486000000.0,-7702000000.0
Repayment Of Debt,0.0,-4150000000.0,-6450000000.0,-4514000000.0
Issuance Of Debt,6919000000.0,4945000000.0,8914000000.0,0.0
Capital Expenditure,-936000000.0,-880000000.0,-608000000.0,-618000000.0
End Cash Position,7629000000.0,7989000000.0,6266000000.0,6037000000.0
Beginning Cash Position,7989000000.0,6266000000.0,6037000000.0,6945000000.0
Changes In Cash,-360000000.0,1723000000.0,229000000.0,-908000000.0
Financing Cash Flow,-4037000000.0,-8271000000.0,-4867000000.0,-15767000000.0
Cash Flow From Continuing Financing Activities,-4037000000.0,-8271000000.0,-4867000000.0,-15767000000.0
Net Other Financing Charges,-400000000.0,-78000000.0,-90000000.0,-42000000.0
Cash Dividends Paid,-4196000000.0,-4013000000.0,-3755000000.0,-3509000000.0
Common Stock Dividend Paid,-4196000000.0,-4013000000.0,-3755000000.0,-3509000000.0
Net Common Stock Issuance,-6360000000.0,-4975000000.0,-3486000000.0,-7702000000.0
Common Stock Payments,-6360000000.0,-4975000000.0,-3486000000.0,-7702000000.0
Net Issuance Payments Of Debt,6919000000.0,795000000.0,2464000000.0,-4514000000.0
Net Long Term Debt Issuance,6919000000.0,795000000.0,2464000000.0,-4514000000.0
Long Term Debt Payments,0.0,-4150000000.0,-6450000000.0,-4514000000.0
Long Term Debt Issuance,6919000000.0,4945000000.0,8914000000.0,0.0
Investing Cash Flow,-6044000000.0,733000000.0,-5401000000.0,5709000000.0
Cash Flow From Continuing Investing Activities,-6044000000.0,733000000.0,-5401000000.0,5709000000.0
Net Other Investing Changes,-5108000000.0,-35000000.0,-75000000.0,-52000000.0
Net Investment Purchase And Sale,-1369000000.0,4334000000.0,-1499000000.0,19996000000.0
Sale Of Investment,1218000000.0,13234000000.0,6978000000.0,29390000000.0
Purchase Of Investment,-2587000000.0,-8900000000.0,-8477000000.0,-9394000000.0
Net Business Purchase And Sale,-3727000000.0,-2686000000.0,-3219000000.0,-13617000000.0
Sale Of Business,130000000.0,,,
Purchase Of Business,-3857000000.0,-2686000000.0,-3219000000.0,-13617000000.0
Net PPE Purchase And Sale,-936000000.0,-880000000.0,-608000000.0,-618000000.0
Purchase Of PPE,-936000000.0,-880000000.0,-608000000.0,-618000000.0
Capital Expenditure Reported,-936000000.0,,,
Operating Cash Flow,9721000000.0,9261000000.0,10497000000.0,9150000000.0
Cash Flow From Continuing Operating Activities,9721000000.0,9261000000.0,10497000000.0,9150000000.0
Change In Working Capital,-733000000.0,-1194000000.0,-216000000.0,-731000000.0
Change In Other Working Capital,,,630000000.0,260000000.0
Change In Other Current Liabilities,761000000.0,356000000.0,983000000.0,396000000.0
Change In Other Current Assets,258000000.0,-237000000.0,129000000.0,10000000.0
Change In Payables And Accrued Expense,-264000000.0,-719000000.0,-686000000.0,-567000000.0
Change In Payable,-264000000.0,-719000000.0,-686000000.0,-567000000.0
Change In Account Payable,154000000.0,-69000000.0,45000000.0,164000000.0
Change In Tax Payable,-418000000.0,-650000000.0,-731000000.0,-731000000.0
Change In Income Tax Payable,-418000000.0,-650000000.0,-731000000.0,-731000000.0
Change In Inventory,-742000000.0,-165000000.0,-215000000.0,-66000000.0
Change In Receivables,-746000000.0,-429000000.0,-427000000.0,-504000000.0
Changes In Account Receivables,-746000000.0,-429000000.0,-427000000.0,-504000000.0
Other Non Cash Items,-176000000.0,1276000000.0,-195000000.0,-186000000.0
Stock Based Compensation,401000000.0,341000000.0,330000000.0,308000000.0
Deferred Tax,-1198000000.0,-453000000.0,-287000000.0,-289000000.0
Deferred Income Tax,-1198000000.0,-453000000.0,-287000000.0,-289000000.0
Depreciation Amortization Depletion,3417000000.0,3398000000.0,3601000000.0,2206000000.0
Depreciation And Amortization,3417000000.0,3398000000.0,3601000000.0,2206000000.0
Depreciation,3417000000.0,3398000000.0,,
Operating Gains Losses,1458000000.0,,,
Earnings Losses From Equity Investments,891000000.0,,,
Gain Loss On Sale Of Business,567000000.0,,,
Net Income From Continuing Operations,6552000000.0,5893000000.0,7264000000.0,7842000000.0
