,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-16893000000.0,-14726000000.0,25924000000.0,21653000000.0
Repurchase Of Capital Stock,-6000000000.0,,,
Repayment Of Debt,-46753000000.0,-20668000000.0,-18425000000.0,-12339000000.0
Issuance Of Debt,62719000000.0,26959000000.0,17321000000.0,2273000000.0
Capital Expenditure,-63645000000.0,-61053000000.0,-40140000000.0,-16861000000.0
Interest Paid Supplemental Data,2142000000.0,1772000000.0,1630000000.0,1561000000.0
Income Tax Paid Supplemental Data,6035000000.0,3688000000.0,1713000000.0,881000000.0
End Cash Position,54253000000.0,36477000000.0,42377000000.0,36410000000.0
Beginning Cash Position,36477000000.0,42377000000.0,36410000000.0,32173000000.0
Effect Of Exchange Rate Changes,-1093000000.0,-364000000.0,618000000.0,70000000.0
Changes In Cash,18869000000.0,-5536000000.0,5349000000.0,4167000000.0
Financing Cash Flow,9718000000.0,6291000000.0,-1104000000.0,-10066000000.0
Cash Flow From Continuing Financing Activities,9718000000.0,6291000000.0,-1104000000.0,-10066000000.0
Net Other Financing Charges,-248000000.0,,,
Net Common Stock Issuance,-6000000000.0,,,
Common Stock Payments,-6000000000.0,,,
Net Issuance Payments Of Debt,15966000000.0,6291000000.0,-1104000000.0,-10066000000.0
Net Short Term Debt Issuance,3999000000.0,203000000.0,619000000.0,
Short Term Debt Payments,-37554000000.0,-7753000000.0,-6177000000.0,
Short Term Debt Issuance,41553000000.0,7956000000.0,6796000000.0,
Net Long Term Debt Issuance,11967000000.0,6088000000.0,-1723000000.0,-10066000000.0
Long Term Debt Payments,-9199000000.0,-12915000000.0,-12248000000.0,-12339000000.0
Long Term Debt Issuance,21166000000.0,19003000000.0,10525000000.0,2273000000.0
Investing Cash Flow,-37601000000.0,-58154000000.0,-59611000000.0,-24281000000.0
Cash Flow From Continuing Investing Activities,-37601000000.0,-58154000000.0,-59611000000.0,-24281000000.0
Net Investment Purchase And Sale,29036000000.0,-773000000.0,-22242000000.0,-9131000000.0
Sale Of Investment,31601000000.0,59384000000.0,50237000000.0,22681000000.0
Purchase Of Investment,-2565000000.0,-60157000000.0,-72479000000.0,-31812000000.0
Net Business Purchase And Sale,-8316000000.0,-1985000000.0,-2325000000.0,-2461000000.0
Purchase Of Business,-8316000000.0,-1985000000.0,-2325000000.0,-2461000000.0
Net PPE Purchase And Sale,-58321000000.0,-55396000000.0,-35044000000.0,-12689000000.0
Sale Of PPE,5324000000.0,5657000000.0,5096000000.0,4172000000.0
Purchase Of PPE,-63645000000.0,-61053000000.0,-40140000000.0,-16861000000.0
Operating Cash Flow,46752000000.0,46327000000.0,66064000000.0,38514000000.0
Cash Flow From Continuing Operating Activities,46752000000.0,46327000000.0,66064000000.0,38514000000.0
Change In Working Capital,-20886000000.0,-19611000000.0,13481000000.0,-2438000000.0
Change In Other Working Capital,2216000000.0,2314000000.0,1265000000.0,1711000000.0
Change In Payables And Accrued Expense,1387000000.0,5725000000.0,23234000000.0,6810000000.0
Change In Accrued Expense,-1558000000.0,2123000000.0,5754000000.0,-1383000000.0
Change In Payable,2945000000.0,3602000000.0,17480000000.0,8193000000.0
Change In Account Payable,2945000000.0,3602000000.0,17480000000.0,8193000000.0
Change In Inventory,-2592000000.0,-9487000000.0,-2849000000.0,-3278000000.0
Change In Receivables,-21897000000.0,-18163000000.0,-8169000000.0,-7681000000.0
Changes In Account Receivables,-21897000000.0,-18163000000.0,-8169000000.0,-7681000000.0
Other Non Cash Items,16966000000.0,-14169000000.0,-2653000000.0,-85000000.0
Stock Based Compensation,19621000000.0,12757000000.0,9208000000.0,6864000000.0
Deferred Tax,-8148000000.0,-310000000.0,-554000000.0,796000000.0
Deferred Income Tax,-8148000000.0,-310000000.0,-554000000.0,796000000.0
Depreciation Amortization Depletion,41921000000.0,34296000000.0,25251000000.0,21789000000.0
Depreciation And Amortization,41921000000.0,34296000000.0,25251000000.0,21789000000.0
Depreciation,41921000000.0,,,
Net Income From Continuing Operations,-2722000000.0,33364000000.0,21331000000.0,11588000000.0
