,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,606633000.0,526464000.0,511940000.0,454996000.0
Repurchase Of Capital Stock,-205571000.0,-134679000.0,-161029000.0,-59116000.0
Repayment Of Debt,0.0,-45000000.0,-75000000.0,
Issuance Of Debt,0.0,0.0,375000000.0,500000000.0
Capital Expenditure,-24370000.0,-23018000.0,-35370000.0,-44940000.0
Interest Paid Supplemental Data,20844000.0,11146000.0,11941000.0,787000.0
Income Tax Paid Supplemental Data,115339000.0,130426000.0,54174000.0,86770000.0
End Cash Position,614391000.0,667667000.0,912672000.0,872094000.0
Beginning Cash Position,667667000.0,912672000.0,872094000.0,777139000.0
Effect Of Exchange Rate Changes,-27403000.0,-11822000.0,10924000.0,-842000.0
Changes In Cash,-25873000.0,-233183000.0,29654000.0,95797000.0
Financing Cash Flow,-245508000.0,-245852000.0,96597000.0,429409000.0
Cash Flow From Continuing Financing Activities,-245508000.0,-245852000.0,96597000.0,429409000.0
Net Other Financing Charges,-65532000.0,-97550000.0,-71934000.0,-45568000.0
Proceeds From Stock Option Exercised,25595000.0,31377000.0,29560000.0,34093000.0
Net Common Stock Issuance,-205571000.0,-134679000.0,-161029000.0,-59116000.0
Common Stock Payments,-205571000.0,-134679000.0,-161029000.0,-59116000.0
Net Issuance Payments Of Debt,0.0,-45000000.0,300000000.0,500000000.0
Net Long Term Debt Issuance,0.0,-45000000.0,300000000.0,500000000.0
Long Term Debt Payments,0.0,-45000000.0,-75000000.0,
Long Term Debt Issuance,0.0,0.0,375000000.0,500000000.0
Investing Cash Flow,-411368000.0,-536813000.0,-614253000.0,-833548000.0
Cash Flow From Continuing Investing Activities,-411368000.0,-536813000.0,-614253000.0,-833548000.0
Net Other Investing Changes,-734000.0,-2990000.0,-6555000.0,-1412000.0
Net Business Purchase And Sale,-386264000.0,-510805000.0,-572328000.0,-787196000.0
Purchase Of Business,-386264000.0,-510805000.0,-572328000.0,-787196000.0
Capital Expenditure Reported,-24370000.0,-23018000.0,-35370000.0,-44940000.0
Operating Cash Flow,631003000.0,549482000.0,547310000.0,499936000.0
Cash Flow From Continuing Operating Activities,631003000.0,549482000.0,547310000.0,499936000.0
Change In Working Capital,-78305000.0,-154628000.0,-116124000.0,-137719000.0
Change In Other Working Capital,33003000.0,26547000.0,5448000.0,17245000.0
Change In Other Current Liabilities,-14817000.0,-42000.0,14802000.0,-7875000.0
Change In Other Current Assets,-3613000.0,-3217000.0,-14818000.0,-5622000.0
Change In Payables And Accrued Expense,-8151000.0,35417000.0,41075000.0,39118000.0
Change In Payable,-8151000.0,35417000.0,41075000.0,39118000.0
Change In Account Payable,-8250000.0,53846000.0,21362000.0,38543000.0
Change In Tax Payable,99000.0,-18429000.0,19713000.0,575000.0
Change In Income Tax Payable,99000.0,-18429000.0,19713000.0,575000.0
Change In Receivables,-84727000.0,-213333000.0,-162631000.0,-180585000.0
Changes In Account Receivables,-114986000.0,-149017000.0,-160319000.0,-154403000.0
Other Non Cash Items,27401000.0,24901000.0,2180000.0,2778000.0
Stock Based Compensation,168128000.0,166338000.0,145615000.0,116190000.0
Provisionand Write Offof Assets,6222000.0,1006000.0,6438000.0,2928000.0
Deferred Tax,-130716000.0,-34490000.0,-30932000.0,-14511000.0
Deferred Income Tax,-130716000.0,-34490000.0,-30932000.0,-14511000.0
Depreciation Amortization Depletion,114563000.0,106867000.0,106246000.0,78975000.0
Depreciation And Amortization,114563000.0,106867000.0,106246000.0,78975000.0
Amortization Cash Flow,,,,60516000.0
Amortization Of Intangibles,,,,60516000.0
Depreciation,,,106246000.0,18459000.0
Operating Gains Losses,,-15139000.0,,
Gain Loss On Investment Securities,,-15139000.0,,
Net Income From Continuing Operations,523710000.0,454627000.0,433887000.0,451295000.0
