,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7222500000.0,9905500000.0,3626800000.0,2463600000.0
Repurchase Of Capital Stock,-4639700000.0,-8560300000.0,-1207500000.0,-410000000.0
Repayment Of Debt,-571200000.0,-12000000.0,-3300000.0,-76900000.0
Issuance Of Debt,495600000.0,0.0,1486300000.0,
Issuance Of Capital Stock,81800000.0,48900000.0,37900000.0,27200000.0
Capital Expenditure,-2212400000.0,-940300000.0,-1000800000.0,-1191500000.0
Interest Paid Supplemental Data,82200000.0,83000000.0,64100000.0,59900000.0
Income Tax Paid Supplemental Data,1734600000.0,1235000000.0,650200000.0,678700000.0
End Cash Position,7268300000.0,6951800000.0,6049400000.0,3532300000.0
Beginning Cash Position,6951800000.0,6049400000.0,3532300000.0,3121100000.0
Effect Of Exchange Rate Changes,-3100000.0,20300000.0,-5300000.0,4600000.0
Changes In Cash,319600000.0,882100000.0,2522400000.0,406600000.0
Financing Cash Flow,-7193300000.0,-9891700000.0,-753000000.0,-1785400000.0
Cash Flow From Continuing Financing Activities,-7193300000.0,-9891700000.0,-753000000.0,-1785400000.0
Cash Dividends Paid,-2559800000.0,-1368300000.0,-1066400000.0,-1325700000.0
Common Stock Dividend Paid,-2559800000.0,,-1066400000.0,-1325700000.0
Net Common Stock Issuance,-4557900000.0,-8511400000.0,-1169600000.0,-382800000.0
Common Stock Payments,-4639700000.0,-8560300000.0,-1207500000.0,-410000000.0
Common Stock Issuance,81800000.0,48900000.0,37900000.0,27200000.0
Net Issuance Payments Of Debt,-75600000.0,-12000000.0,1483000000.0,-76900000.0
Net Long Term Debt Issuance,-75600000.0,-12000000.0,1483000000.0,-76900000.0
Long Term Debt Payments,-571200000.0,-12000000.0,-3300000.0,-76900000.0
Long Term Debt Issuance,495600000.0,0.0,1486300000.0,
Investing Cash Flow,-1922000000.0,-72000000.0,-1352200000.0,-1463100000.0
Cash Flow From Continuing Investing Activities,-1922000000.0,-72000000.0,-1352200000.0,-1463100000.0
Net Other Investing Changes,-240000000.0,-124400000.0,-12200000.0,900000.0
Net Investment Purchase And Sale,530400000.0,663700000.0,-116400000.0,-272500000.0
Sale Of Investment,864700000.0,1826400000.0,1359100000.0,1019000000.0
Purchase Of Investment,-334300000.0,-1162700000.0,-1475500000.0,-1291500000.0
Net Business Purchase And Sale,0.0,329000000.0,-222800000.0,
Sale Of Business,0.0,329000000.0,,
Purchase Of Business,0.0,0.0,-222800000.0,
Net Intangibles Purchase And Sale,-930600000.0,-39600000.0,-38800000.0,-424900000.0
Purchase Of Intangibles,-930600000.0,-39600000.0,-38800000.0,-424900000.0
Net PPE Purchase And Sale,-1281800000.0,-900700000.0,-962000000.0,-766600000.0
Purchase Of PPE,-1281800000.0,-900700000.0,-962000000.0,-766600000.0
Operating Cash Flow,9434900000.0,10845800000.0,4627600000.0,3655100000.0
Cash Flow From Continuing Operating Activities,9434900000.0,10845800000.0,4627600000.0,3655100000.0
Change In Working Capital,2538400000.0,4892400000.0,531600000.0,233700000.0
Change In Other Working Capital,6672500000.0,5744200000.0,1547200000.0,987400000.0
Change In Other Current Assets,-611400000.0,-222200000.0,-67900000.0,-141800000.0
Change In Payables And Accrued Expense,684000000.0,1066200000.0,440700000.0,143100000.0
Change In Accrued Expense,278700000.0,347600000.0,106400000.0,155200000.0
Change In Payable,405300000.0,718600000.0,334300000.0,-12100000.0
Change In Account Payable,405300000.0,718600000.0,334300000.0,-12100000.0
Change In Inventory,-2080900000.0,-483200000.0,-706700000.0,-404700000.0
Change In Receivables,-2125800000.0,-1212600000.0,-617900000.0,-350300000.0
Changes In Account Receivables,-2338000000.0,-1754900000.0,507500000.0,-255000000.0
Stock Based Compensation,66400000.0,117500000.0,53900000.0,74600000.0
Provisionand Write Offof Assets,278500000.0,180700000.0,192400000.0,221500000.0
Asset Impairment Charge,39300000.0,-15900000.0,2700000.0,4700000.0
Deferred Tax,-774700000.0,-419600000.0,-211300000.0,-348800000.0
Deferred Income Tax,-774700000.0,-419600000.0,-211300000.0,-348800000.0
Depreciation Amortization Depletion,875900000.0,471000000.0,490800000.0,828300000.0
Depreciation And Amortization,875900000.0,471000000.0,490800000.0,828300000.0
Operating Gains Losses,15300000.0,-263500000.0,13800000.0,60000000.0
Earnings Losses From Equity Investments,15300000.0,-49800000.0,11000000.0,56900000.0
Gain Loss On Sale Of PPE,,,2800000.0,3100000.0
Gain Loss On Sale Of Business,0.0,-213700000.0,,
Net Income From Continuing Operations,6395800000.0,5883200000.0,3553700000.0,2581100000.0
