,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,17633000000.0,16312000000.0,13321000000.0,11598000000.0
Repurchase Of Capital Stock,-7685000000.0,-8455000000.0,-1299000000.0,-765000000.0
Repayment Of Debt,-403000000.0,-2361000000.0,-11495000000.0,-20099000000.0
Issuance Of Debt,0.0,1935000000.0,9904000000.0,27802000000.0
Issuance Of Capital Stock,122000000.0,114000000.0,170000000.0,276000000.0
Capital Expenditure,-452000000.0,-424000000.0,-443000000.0,-463000000.0
Interest Paid Supplemental Data,1503000000.0,1386000000.0,1565000000.0,1408000000.0
Income Tax Paid Supplemental Data,1782000000.0,908000000.0,775000000.0,501000000.0
End Cash Position,14189000000.0,12416000000.0,12163000000.0,7618000000.0
Beginning Cash Position,12416000000.0,12163000000.0,7618000000.0,5055000000.0
Changes In Cash,1773000000.0,253000000.0,4545000000.0,2563000000.0
Financing Cash Flow,-15623000000.0,-15816000000.0,-8974000000.0,1611000000.0
Cash Flow From Continuing Financing Activities,-15623000000.0,-15816000000.0,-8974000000.0,1611000000.0
Net Other Financing Charges,-12000000.0,-17000000.0,-42000000.0,-69000000.0
Cash Dividends Paid,-7645000000.0,-7032000000.0,-6212000000.0,-5534000000.0
Common Stock Dividend Paid,,,,-5534000000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,-7563000000.0,-8341000000.0,-1129000000.0,-489000000.0
Common Stock Payments,-7685000000.0,-8455000000.0,-1299000000.0,-765000000.0
Common Stock Issuance,122000000.0,114000000.0,170000000.0,276000000.0
Net Issuance Payments Of Debt,-403000000.0,-426000000.0,-1591000000.0,7703000000.0
Net Long Term Debt Issuance,-403000000.0,-426000000.0,-1591000000.0,7703000000.0
Long Term Debt Payments,-403000000.0,-2361000000.0,-11495000000.0,-20099000000.0
Long Term Debt Issuance,0.0,1935000000.0,9904000000.0,27802000000.0
Investing Cash Flow,-689000000.0,-667000000.0,-245000000.0,-11109000000.0
Cash Flow From Continuing Investing Activities,-689000000.0,-667000000.0,-245000000.0,-11109000000.0
Net Other Investing Changes,-66000000.0,3000000.0,-12000000.0,-4000000.0
Net Investment Purchase And Sale,-118000000.0,0.0,169000000.0,0.0
Sale Of Investment,228000000.0,200000000.0,169000000.0,
Purchase Of Investment,-346000000.0,-200000000.0,,0.0
Net Business Purchase And Sale,-53000000.0,-246000000.0,37000000.0,-10654000000.0
Sale Of Business,,0.0,45000000.0,218000000.0
Purchase Of Business,-53000000.0,-246000000.0,-8000000.0,-10872000000.0
Net PPE Purchase And Sale,-452000000.0,-424000000.0,-439000000.0,-451000000.0
Sale Of PPE,,,4000000.0,12000000.0
Purchase Of PPE,-452000000.0,-424000000.0,-443000000.0,-463000000.0
Operating Cash Flow,18085000000.0,16736000000.0,13764000000.0,12061000000.0
Cash Flow From Continuing Operating Activities,18085000000.0,16736000000.0,13764000000.0,12061000000.0
Change In Working Capital,-1643000000.0,-1654000000.0,-127000000.0,1093000000.0
Change In Other Working Capital,-1692000000.0,-78000000.0,-286000000.0,146000000.0
Change In Payables And Accrued Expense,209000000.0,-79000000.0,243000000.0,-3000000.0
Change In Payable,209000000.0,-79000000.0,243000000.0,-3000000.0
Change In Account Payable,209000000.0,-79000000.0,243000000.0,-3000000.0
Change In Inventory,27000000.0,-627000000.0,-294000000.0,-31000000.0
Change In Receivables,-187000000.0,-870000000.0,210000000.0,981000000.0
Changes In Account Receivables,-187000000.0,-870000000.0,210000000.0,981000000.0
Other Non Cash Items,141000000.0,312000000.0,120000000.0,100000000.0
Stock Based Compensation,2171000000.0,1533000000.0,1704000000.0,1976000000.0
Asset Impairment Charge,,,,0.0
Deferred Tax,-501000000.0,-34000000.0,-809000000.0,-1142000000.0
Deferred Income Tax,-501000000.0,-34000000.0,-809000000.0,-1142000000.0
Depreciation Amortization Depletion,3835000000.0,4984000000.0,6041000000.0,6905000000.0
Depreciation And Amortization,3835000000.0,4984000000.0,6041000000.0,6905000000.0
Amortization Cash Flow,3333000000.0,4455000000.0,5502000000.0,6335000000.0
Amortization Of Intangibles,3333000000.0,4455000000.0,5502000000.0,6335000000.0
Depreciation,502000000.0,529000000.0,539000000.0,570000000.0
Operating Gains Losses,,100000000.0,99000000.0,169000000.0
Gain Loss On Investment Securities,,,-99000000.0,
Net Income From Continuing Operations,14082000000.0,11495000000.0,6736000000.0,2960000000.0
