,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7237000000.0,3763000000.0,2193000000.0,509000000.0
Repurchase Of Capital Stock,-920000000.0,,,
Repayment Of Debt,-1271000000.0,-4759000000.0,-1609000000.0,-2016000000.0
Issuance Of Debt,0.0,12929000000.0,2968000000.0,500000000.0
Issuance Of Capital Stock,29000000.0,29000000.0,30000000.0,3525000000.0
Capital Expenditure,-2571000000.0,-2200000000.0,-2606000000.0,-2460000000.0
End Cash Position,5983000000.0,6038000000.0,7546000000.0,5223000000.0
Beginning Cash Position,6038000000.0,7546000000.0,5223000000.0,4671000000.0
Effect Of Exchange Rate Changes,-80000000.0,-62000000.0,12000000.0,5000000.0
Changes In Cash,25000000.0,-1446000000.0,2311000000.0,547000000.0
Financing Cash Flow,-6823000000.0,3649000000.0,-2203000000.0,-1765000000.0
Net Other Financing Charges,-127000000.0,-178000000.0,-101000000.0,4000000.0
Cash Dividends Paid,-4364000000.0,-3856000000.0,-3572000000.0,-3592000000.0
Common Stock Dividend Paid,-4364000000.0,,-3572000000.0,-3592000000.0
Net Common Stock Issuance,-891000000.0,29000000.0,30000000.0,3525000000.0
Common Stock Payments,-920000000.0,,,
Common Stock Issuance,29000000.0,29000000.0,30000000.0,3525000000.0
Net Issuance Payments Of Debt,-1197000000.0,7894000000.0,1647000000.0,-1516000000.0
Net Short Term Debt Issuance,74000000.0,-276000000.0,288000000.0,-516000000.0
Short Term Debt Payments,,,,-516000000.0
Net Long Term Debt Issuance,-1271000000.0,8170000000.0,1359000000.0,-1000000000.0
Long Term Debt Payments,-1271000000.0,-4759000000.0,-1609000000.0,-1500000000.0
Long Term Debt Issuance,0.0,12929000000.0,2968000000.0,500000000.0
Investing Cash Flow,-2960000000.0,-11058000000.0,-285000000.0,-657000000.0
Net Other Investing Changes,,20000000.0,40000000.0,150000000.0
Interest Received Cfi,60000000.0,34000000.0,47000000.0,124000000.0
Net Investment Purchase And Sale,-117000000.0,-79000000.0,2007000000.0,199000000.0
Sale Of Investment,42000000.0,105000000.0,2126000000.0,212000000.0
Purchase Of Investment,-159000000.0,-184000000.0,-119000000.0,-13000000.0
Net Business Purchase And Sale,-1061000000.0,-9433000000.0,-830000000.0,-783000000.0
Sale Of Business,0.0,776000000.0,,
Purchase Of Business,-1061000000.0,-10209000000.0,-830000000.0,-783000000.0
Net Intangibles Purchase And Sale,-1033000000.0,-522000000.0,-694000000.0,595000000.0
Sale Of Intangibles,447000000.0,587000000.0,951000000.0,2076000000.0
Purchase Of Intangibles,-1480000000.0,-1109000000.0,-1645000000.0,-1481000000.0
Net PPE Purchase And Sale,-809000000.0,-1078000000.0,-855000000.0,-942000000.0
Sale Of PPE,282000000.0,13000000.0,106000000.0,37000000.0
Purchase Of PPE,-1091000000.0,-1091000000.0,-961000000.0,-979000000.0
Operating Cash Flow,9808000000.0,5963000000.0,4799000000.0,2969000000.0
Taxes Refund Paid,-1623000000.0,-1743000000.0,-1562000000.0,-1118000000.0
Interest Paid Cfo,-849000000.0,-721000000.0,-733000000.0,-774000000.0
Change In Working Capital,3757000000.0,2021000000.0,361000000.0,-346000000.0
Change In Payable,1165000000.0,1405000000.0,1721000000.0,868000000.0
Change In Inventory,3941000000.0,1577000000.0,-621000000.0,-316000000.0
Change In Receivables,-1349000000.0,-961000000.0,-739000000.0,-898000000.0
Other Non Cash Items,641000000.0,1366000000.0,671000000.0,1024000000.0
Depreciation And Amortization,5480000000.0,6530000000.0,3149000000.0,3762000000.0
Amortization Cash Flow,4156000000.0,,,
Depreciation,5480000000.0,6530000000.0,3149000000.0,3762000000.0
Gain Loss On Investment Securities,-14000000.0,4000000.0,,-7000000.0
Net Foreign Currency Exchange Gain Loss,16000000.0,20000000.0,,30000000.0
Gain Loss On Sale Of PPE,-104000000.0,-513000000.0,-1030000000.0,-1243000000.0
Gain Loss On Sale Of Business,0.0,-776000000.0,,
Net Income From Continuing Operations,2501000000.0,-265000000.0,3916000000.0,1548000000.0
