,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1384300000.0,3345000000.0,3678000000.0,6409100000.0
Repurchase Of Capital Stock,-750000000.0,-1800000000.0,-6679100000.0,-5868300000.0
Repayment Of Debt,-1002200000.0,-170000000.0,-1500000000.0,0.0
Issuance Of Debt,0.0,0.0,2967400000.0,
Capital Expenditure,-243200000.0,-294900000.0,-551800000.0,-669500000.0
Interest Paid Supplemental Data,262500000.0,,,
Income Tax Paid Supplemental Data,932900000.0,,,
End Cash Position,3419300000.0,2261400000.0,1331200000.0,2913700000.0
Beginning Cash Position,2261400000.0,1331200000.0,2913700000.0,1224600000.0
Effect Of Exchange Rate Changes,-55700000.0,-59800000.0,69000000.0,400000.0
Changes In Cash,1213600000.0,990000000.0,-1651500000.0,1688700000.0
Financing Cash Flow,-1747300000.0,-2086200000.0,-5272700000.0,-5860400000.0
Cash Flow From Continuing Financing Activities,-1747300000.0,-2086200000.0,-5272700000.0,-5860400000.0
Net Other Financing Charges,6800000.0,-115500000.0,-56400000.0,7900000.0
Proceeds From Stock Option Exercised,-1900000.0,-700000.0,-4600000.0,
Net Common Stock Issuance,-750000000.0,-1800000000.0,-6679100000.0,-5868300000.0
Common Stock Payments,-750000000.0,-1800000000.0,-6679100000.0,-5868300000.0
Net Issuance Payments Of Debt,-1002200000.0,-170000000.0,1467400000.0,0.0
Net Long Term Debt Issuance,-1002200000.0,-170000000.0,1467400000.0,0.0
Long Term Debt Payments,-1002200000.0,-170000000.0,-1500000000.0,0.0
Long Term Debt Issuance,0.0,0.0,2967400000.0,
Investing Cash Flow,1576600000.0,-563700000.0,-608600000.0,470500000.0
Cash Flow From Continuing Investing Activities,1576600000.0,-563700000.0,-608600000.0,470500000.0
Net Other Investing Changes,24400000.0,12900000.0,-26900000.0,27000000.0
Net Investment Purchase And Sale,222500000.0,-309800000.0,535600000.0,1233700000.0
Sale Of Investment,3671000000.0,3498900000.0,7374300000.0,6486300000.0
Purchase Of Investment,-3448500000.0,-3808700000.0,-6838700000.0,-5252600000.0
Net Business Purchase And Sale,990300000.0,28100000.0,-565500000.0,-120700000.0
Sale Of Business,990300000.0,28100000.0,0.0,923700000.0
Purchase Of Business,0.0,0.0,-565500000.0,-1044400000.0
Net Intangibles Purchase And Sale,-2900000.0,-36800000.0,-127000000.0,-155000000.0
Purchase Of Intangibles,-2900000.0,-36800000.0,-127000000.0,-155000000.0
Net PPE Purchase And Sale,342300000.0,-258100000.0,-424800000.0,-514500000.0
Sale Of PPE,582600000.0,,,
Purchase Of PPE,-240300000.0,-258100000.0,-424800000.0,-514500000.0
Operating Cash Flow,1384300000.0,3639900000.0,4229800000.0,7078600000.0
Cash Flow From Continuing Operating Activities,1384300000.0,3639900000.0,4229800000.0,7078600000.0
Change In Working Capital,-890300000.0,-145500000.0,-187200000.0,199300000.0
Change In Other Working Capital,-234300000.0,86300000.0,-204600000.0,16100000.0
Change In Other Current Liabilities,,,,-43300000.0
Change In Payables And Accrued Expense,-113400000.0,-95400000.0,154200000.0,240200000.0
Change In Accrued Expense,-113400000.0,-95400000.0,154200000.0,240200000.0
Change In Inventory,-320200000.0,-462400000.0,-316300000.0,-19200000.0
Change In Receivables,-222400000.0,326000000.0,179500000.0,5500000.0
Changes In Account Receivables,-203400000.0,324800000.0,2800000.0,68800000.0
Other Non Cash Items,335300000.0,337100000.0,119900000.0,5500000.0
Stock Based Compensation,254100000.0,238600000.0,198300000.0,182300000.0
Unrealized Gain Loss On Investment Securities,,,-681800000.0,
Provisionand Write Offof Assets,,167600000.0,,
Asset Impairment Charge,119600000.0,629300000.0,209700000.0,
Deferred Tax,-168600000.0,-426800000.0,149000000.0,67100000.0
Deferred Income Tax,-168600000.0,-426800000.0,149000000.0,67100000.0
Depreciation Amortization Depletion,518400000.0,487700000.0,457200000.0,680600000.0
Depreciation And Amortization,518400000.0,487700000.0,457200000.0,680600000.0
Amortization Cash Flow,246300000.0,,,
Amortization Of Intangibles,246300000.0,,,
Depreciation,272400000.0,,,
Operating Gains Losses,-1745800000.0,791900000.0,-95800000.0,55300000.0
Earnings Losses From Equity Investments,-2600000.0,-34900000.0,-3300000.0,
Gain Loss On Investment Securities,265900000.0,826800000.0,,
Gain Loss On Sale Of PPE,-503700000.0,,,
Gain Loss On Sale Of Business,-1505400000.0,0.0,-92500000.0,55300000.0
Net Income From Continuing Operations,2961600000.0,1727600000.0,4060500000.0,5888500000.0
