,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,6186000000.0,2516000000.0,-201000000.0,4497000000.0
Repurchase Of Capital Stock,-6621000000.0,-163000000.0,-1303000000.0,-8187000000.0
Repayment Of Debt,-1880000000.0,-3068000000.0,0.0,-425000000.0
Issuance Of Debt,3621000000.0,2015000000.0,4108000000.0,400000000.0
Capital Expenditure,-368000000.0,-304000000.0,-286000000.0,-368000000.0
Interest Paid Supplemental Data,380000000.0,318000000.0,278000000.0,221000000.0
Income Tax Paid Supplemental Data,600000000.0,735000000.0,319000000.0,1074000000.0
End Cash Position,12251000000.0,11152000000.0,10582000000.0,6332000000.0
Beginning Cash Position,11152000000.0,10582000000.0,6332000000.0,2645000000.0
Effect Of Exchange Rate Changes,-40000000.0,-13000000.0,0.0,-8000000.0
Changes In Cash,1139000000.0,583000000.0,4250000000.0,3695000000.0
Financing Cash Flow,-4897000000.0,-1239000000.0,1528000000.0,-8220000000.0
Cash Flow From Continuing Financing Activities,-4897000000.0,-1239000000.0,1528000000.0,-8220000000.0
Net Other Financing Charges,-17000000.0,-23000000.0,-1277000000.0,-8000000.0
Net Common Stock Issuance,-6621000000.0,-163000000.0,-1303000000.0,-8187000000.0
Common Stock Payments,-6621000000.0,-163000000.0,-1303000000.0,-8187000000.0
Net Issuance Payments Of Debt,1741000000.0,-1053000000.0,4108000000.0,-25000000.0
Net Short Term Debt Issuance,,0.0,0.0,-25000000.0
Short Term Debt Payments,,0.0,0.0,-425000000.0
Short Term Debt Issuance,,0.0,0.0,400000000.0
Net Long Term Debt Issuance,1741000000.0,-1053000000.0,4108000000.0,0.0
Long Term Debt Payments,-1880000000.0,-3068000000.0,0.0,0.0
Long Term Debt Issuance,3621000000.0,2015000000.0,4108000000.0,0.0
Investing Cash Flow,-518000000.0,-998000000.0,2637000000.0,7050000000.0
Cash Flow From Continuing Investing Activities,-518000000.0,-998000000.0,2637000000.0,7050000000.0
Net Other Investing Changes,-15000000.0,,,
Net Investment Purchase And Sale,-736000000.0,491000000.0,2923000000.0,7427000000.0
Sale Of Investment,32000000.0,508000000.0,2997000000.0,8099000000.0
Purchase Of Investment,-768000000.0,-17000000.0,-74000000.0,-672000000.0
Net Business Purchase And Sale,0.0,-1185000000.0,0.0,-9000000.0
Purchase Of Business,0.0,-1185000000.0,0.0,-9000000.0
Net PPE Purchase And Sale,233000000.0,-304000000.0,-286000000.0,-368000000.0
Sale Of PPE,601000000.0,,,
Purchase Of PPE,-368000000.0,-304000000.0,-286000000.0,-368000000.0
Operating Cash Flow,6554000000.0,2820000000.0,85000000.0,4865000000.0
Cash Flow From Continuing Operating Activities,6554000000.0,2820000000.0,85000000.0,4865000000.0
Change In Working Capital,1795000000.0,269000000.0,-1020000000.0,-539000000.0
Change In Other Working Capital,3240000000.0,1265000000.0,-2072000000.0,-433000000.0
Change In Payables And Accrued Expense,,,,480000000.0
Change In Prepaid Assets,-217000000.0,6000000.0,161000000.0,-263000000.0
Change In Receivables,-1228000000.0,-1002000000.0,891000000.0,-323000000.0
Changes In Account Receivables,-1228000000.0,-1002000000.0,891000000.0,-323000000.0
Other Non Cash Items,38000000.0,71000000.0,66000000.0,58000000.0
Stock Based Compensation,404000000.0,376000000.0,255000000.0,325000000.0
Unrealized Gain Loss On Investment Securities,,,,-745000000.0
Provisionand Write Offof Assets,232000000.0,109000000.0,319000000.0,138000000.0
Asset Impairment Charge,0.0,0.0,1162000000.0,
Deferred Tax,-257000000.0,-445000000.0,213000000.0,122000000.0
Deferred Income Tax,-257000000.0,-445000000.0,213000000.0,122000000.0
Depreciation Amortization Depletion,607000000.0,599000000.0,642000000.0,641000000.0
Depreciation And Amortization,607000000.0,599000000.0,642000000.0,641000000.0
Depreciation,607000000.0,599000000.0,642000000.0,641000000.0
Operating Gains Losses,677000000.0,676000000.0,-1611000000.0,
Gain Loss On Investment Securities,963000000.0,569000000.0,-1811000000.0,
Net Foreign Currency Exchange Gain Loss,-46000000.0,-135000000.0,200000000.0,
Gain Loss On Sale Of PPE,-240000000.0,,,
Net Income From Continuing Operations,3058000000.0,1165000000.0,59000000.0,4865000000.0
