,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1116000000.0,1833000000.0,517000000.0,1150000000.0
Repurchase Of Capital Stock,-828000000.0,-434000000.0,0.0,-250000000.0
Repayment Of Debt,-28000000.0,-1354000000.0,-246000000.0,-587000000.0
Issuance Of Debt,0.0,1250000000.0,1237000000.0,525000000.0
Capital Expenditure,-772000000.0,-541000000.0,-787000000.0,-976000000.0
Interest Paid Supplemental Data,291000000.0,305000000.0,,285000000.0
Income Tax Paid Supplemental Data,498000000.0,314000000.0,,438000000.0
End Cash Position,2488000000.0,3853000000.0,4132000000.0,3249000000.0
Beginning Cash Position,3853000000.0,4132000000.0,3249000000.0,3723000000.0
Effect Of Exchange Rate Changes,-97000000.0,-47000000.0,-28000000.0,-21000000.0
Changes In Cash,-1268000000.0,-232000000.0,911000000.0,-453000000.0
Financing Cash Flow,-1592000000.0,-2143000000.0,225000000.0,-1534000000.0
Cash Flow From Continuing Financing Activities,-1592000000.0,-2143000000.0,225000000.0,-1534000000.0
Net Other Financing Charges,7000000.0,-24000000.0,-22000000.0,48000000.0
Cash Dividends Paid,-743000000.0,-749000000.0,-744000000.0,-745000000.0
Common Stock Dividend Paid,-743000000.0,,-744000000.0,-745000000.0
Net Common Stock Issuance,-828000000.0,-434000000.0,0.0,-250000000.0
Common Stock Payments,-828000000.0,-434000000.0,0.0,-250000000.0
Net Issuance Payments Of Debt,-28000000.0,-936000000.0,991000000.0,-587000000.0
Net Short Term Debt Issuance,0.0,-832000000.0,737000000.0,-542000000.0
Short Term Debt Payments,0.0,-873000000.0,-204000000.0,
Short Term Debt Issuance,0.0,,737000000.0,
Net Long Term Debt Issuance,-28000000.0,-104000000.0,254000000.0,-587000000.0
Long Term Debt Payments,-28000000.0,-1354000000.0,-246000000.0,-587000000.0
Long Term Debt Issuance,0.0,1250000000.0,500000000.0,525000000.0
Investing Cash Flow,-1564000000.0,-463000000.0,-618000000.0,-1045000000.0
Cash Flow From Continuing Investing Activities,-1564000000.0,-463000000.0,-618000000.0,-1045000000.0
Net Other Investing Changes,53000000.0,78000000.0,169000000.0,-69000000.0
Net Business Purchase And Sale,-845000000.0,-109000000.0,161000000.0,-99000000.0
Sale Of Business,0.0,70000000.0,187000000.0,77000000.0
Purchase Of Business,-845000000.0,-179000000.0,-26000000.0,-176000000.0
Capital Expenditure Reported,-772000000.0,-541000000.0,-787000000.0,-976000000.0
Operating Cash Flow,1888000000.0,2374000000.0,1304000000.0,2126000000.0
Cash Flow From Continuing Operating Activities,1888000000.0,2374000000.0,1304000000.0,2126000000.0
Change In Working Capital,122000000.0,480000000.0,216000000.0,437000000.0
Change In Other Working Capital,122000000.0,480000000.0,216000000.0,437000000.0
Change In Other Current Liabilities,,-72000000.0,396000000.0,1147000000.0
Change In Other Current Assets,,,-69000000.0,-60000000.0
Change In Payables And Accrued Expense,605000000.0,246000000.0,-711000000.0,249000000.0
Change In Payable,605000000.0,246000000.0,-711000000.0,249000000.0
Change In Account Payable,605000000.0,246000000.0,-711000000.0,249000000.0
Change In Inventory,-885000000.0,170000000.0,-80000000.0,-200000000.0
Change In Receivables,-701000000.0,136000000.0,611000000.0,-643000000.0
Changes In Account Receivables,-625000000.0,-126000000.0,680000000.0,-583000000.0
Other Non Cash Items,352000000.0,134000000.0,227000000.0,437000000.0
Stock Based Compensation,207000000.0,,,
Unrealized Gain Loss On Investment Securities,,,-1417000000.0,0.0
Asset Impairment Charge,215000000.0,7000000.0,16209000000.0,
Deferred Tax,,133000000.0,160000000.0,51000000.0
Deferred Income Tax,,133000000.0,160000000.0,51000000.0
Depreciation Amortization Depletion,1061000000.0,1105000000.0,1317000000.0,1418000000.0
Depreciation And Amortization,1061000000.0,1105000000.0,1317000000.0,1418000000.0
Amortization Cash Flow,222000000.0,,,
Amortization Of Intangibles,222000000.0,,,
Depreciation,839000000.0,,,
Operating Gains Losses,716000000.0,845000000.0,353000000.0,138000000.0
Earnings Losses From Equity Investments,,,0.0,0.0
Gain Loss On Investment Securities,265000000.0,845000000.0,,
Gain Loss On Sale Of Business,451000000.0,0.0,353000000.0,138000000.0
Net Income From Continuing Operations,-578000000.0,-330000000.0,-15761000000.0,271000000.0
