,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1117679000.0,1034077000.0,810109000.0,654995000.0
Repurchase Of Capital Stock,-1161955000.0,-730279000.0,-490092000.0,-396728000.0
Repayment Of Debt,-485000000.0,0.0,-350000000.0,-250000000.0
Issuance Of Debt,885000000.0,0.0,350000000.0,150000000.0
Issuance Of Capital Stock,105331000.0,87772000.0,74803000.0,52842000.0
Capital Expenditure,-124215000.0,-66881000.0,-94813000.0,-74605000.0
Interest Paid Supplemental Data,21122000.0,15950000.0,19778000.0,17842000.0
Income Tax Paid Supplemental Data,233235000.0,146424000.0,105917000.0,41946000.0
End Cash Position,882325000.0,1088940000.0,928432000.0,705210000.0
Beginning Cash Position,1088940000.0,928432000.0,705210000.0,533298000.0
Effect Of Exchange Rate Changes,-52826000.0,-3704000.0,25747000.0,-8094000.0
Changes In Cash,-153789000.0,164212000.0,197475000.0,180006000.0
Financing Cash Flow,-657049000.0,-643792000.0,-415289000.0,-443886000.0
Cash Flow From Continuing Financing Activities,-657049000.0,-643792000.0,-415289000.0,-443886000.0
Net Other Financing Charges,-425000.0,-1285000.0,-110028000.0,-90580000.0
Net Common Stock Issuance,-1056624000.0,-642507000.0,-415289000.0,-343886000.0
Common Stock Payments,-1161955000.0,-730279000.0,-490092000.0,-396728000.0
Common Stock Issuance,105331000.0,87772000.0,74803000.0,52842000.0
Net Issuance Payments Of Debt,400000000.0,0.0,0.0,-100000000.0
Net Short Term Debt Issuance,100000000.0,0.0,0.0,-100000000.0
Short Term Debt Payments,-485000000.0,0.0,-350000000.0,-250000000.0
Short Term Debt Issuance,585000000.0,0.0,350000000.0,150000000.0
Net Long Term Debt Issuance,300000000.0,,0.0,0.0
Long Term Debt Payments,,,0.0,0.0
Long Term Debt Issuance,300000000.0,,,
Investing Cash Flow,-738634000.0,-292954000.0,-292158000.0,-105708000.0
Cash Flow From Continuing Investing Activities,-738634000.0,-292954000.0,-292158000.0,-105708000.0
Net Investment Purchase And Sale,-634000.0,128000.0,217000.0,-30765000.0
Sale Of Investment,366000.0,128000.0,217000.0,2952000.0
Purchase Of Investment,-1000000.0,0.0,0.0,-33717000.0
Net Business Purchase And Sale,-613785000.0,-226201000.0,-197562000.0,-338000.0
Purchase Of Business,-613785000.0,-226201000.0,-197562000.0,-338000.0
Net Intangibles Purchase And Sale,-1000000.0,-1583000.0,,
Purchase Of Intangibles,-1000000.0,-1583000.0,,
Net PPE Purchase And Sale,-123215000.0,-65298000.0,-94813000.0,-74605000.0
Purchase Of PPE,-123215000.0,-65298000.0,-94813000.0,-74605000.0
Operating Cash Flow,1241894000.0,1100958000.0,904922000.0,729600000.0
Cash Flow From Continuing Operating Activities,1241894000.0,1100958000.0,904922000.0,729600000.0
Change In Working Capital,87545000.0,105798000.0,-15417000.0,6310000.0
Change In Other Working Capital,131462000.0,100731000.0,110173000.0,27498000.0
Change In Other Current Liabilities,43542000.0,16199000.0,10408000.0,1681000.0
Change In Other Current Assets,-933000.0,-7133000.0,-71606000.0,-8011000.0
Change In Payables And Accrued Expense,113945000.0,67356000.0,18394000.0,33915000.0
Change In Prepaid Assets,-38927000.0,-34342000.0,-31167000.0,-11031000.0
Change In Inventory,-23073000.0,-39027000.0,-25685000.0,-33024000.0
Change In Receivables,-138471000.0,2014000.0,-25934000.0,-4718000.0
Other Non Cash Items,1505000.0,1646000.0,1826000.0,1429000.0
Stock Based Compensation,270439000.0,210090000.0,197268000.0,181547000.0
Provisionand Write Offof Assets,204000.0,525000.0,1628000.0,632000.0
Deferred Tax,-107606000.0,-43178000.0,-26117000.0,-576738000.0
Deferred Income Tax,-107606000.0,-43178000.0,-26117000.0,-576738000.0
Depreciation Amortization Depletion,135430000.0,130702000.0,150136000.0,123351000.0
Depreciation And Amortization,135430000.0,130702000.0,150136000.0,123351000.0
Depreciation,135430000.0,130702000.0,150136000.0,123351000.0
Operating Gains Losses,5425000.0,-580000.0,4954000.0,4090000.0
Gain Loss On Investment Securities,5425000.0,-580000.0,4954000.0,4090000.0
Net Income From Continuing Operations,848952000.0,695955000.0,590644000.0,988979000.0
