,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-4042000000.0,-2667000000.0,-1163000000.0,1028000000.0
Repayment Of Debt,-2600000000.0,-105000000.0,-4884000000.0,-813000000.0
Issuance Of Debt,271000000.0,1394000000.0,3675000000.0,362000000.0
Capital Expenditure,-1689000000.0,-1329000000.0,-1747000000.0,-1845000000.0
End Cash Position,528000000.0,576000000.0,327000000.0,449000000.0
Beginning Cash Position,576000000.0,327000000.0,449000000.0,903000000.0
Changes In Cash,-48000000.0,249000000.0,-122000000.0,-454000000.0
Financing Cash Flow,-799000000.0,-1695000000.0,-2664000000.0,-1460000000.0
Cash Flow From Continuing Financing Activities,-799000000.0,-1695000000.0,-2664000000.0,-1460000000.0
Net Other Financing Charges,1715000000.0,-1152000000.0,279000000.0,-110000000.0
Cash Dividends Paid,-185000000.0,-1832000000.0,-1734000000.0,-899000000.0
Common Stock Dividend Paid,-185000000.0,,,
Net Issuance Payments Of Debt,-2329000000.0,1289000000.0,-1209000000.0,-451000000.0
Net Short Term Debt Issuance,-923000000.0,1242000000.0,520000000.0,320000000.0
Short Term Debt Payments,-1180000000.0,,,
Short Term Debt Issuance,257000000.0,1242000000.0,520000000.0,320000000.0
Net Long Term Debt Issuance,-1406000000.0,47000000.0,-1729000000.0,-771000000.0
Long Term Debt Payments,-1420000000.0,-105000000.0,-4884000000.0,-813000000.0
Long Term Debt Issuance,14000000.0,152000000.0,3155000000.0,42000000.0
Investing Cash Flow,3104000000.0,3282000000.0,1958000000.0,-1867000000.0
Cash Flow From Continuing Investing Activities,3104000000.0,3282000000.0,1958000000.0,-1867000000.0
Net Other Investing Changes,5014000000.0,4752000000.0,3828000000.0,14000000.0
Net Investment Purchase And Sale,-221000000.0,-141000000.0,-123000000.0,-36000000.0
Sale Of Investment,4050000000.0,6532000000.0,3341000000.0,10051000000.0
Purchase Of Investment,-4271000000.0,-6673000000.0,-3464000000.0,-10087000000.0
Net Business Purchase And Sale,,,0.0,-41000000.0
Purchase Of Business,,,0.0,-41000000.0
Capital Expenditure Reported,-1689000000.0,-1329000000.0,-1747000000.0,-1845000000.0
Operating Cash Flow,-2353000000.0,-1338000000.0,584000000.0,2873000000.0
Cash Flow From Continuing Operating Activities,-2353000000.0,-1338000000.0,584000000.0,2873000000.0
Change In Working Capital,-5246000000.0,-3608000000.0,-3447000000.0,-698000000.0
Change In Other Working Capital,-5292000000.0,-3270000000.0,-4152000000.0,-217000000.0
Change In Other Current Assets,,,340000000.0,-510000000.0
Change In Payables And Accrued Expense,1142000000.0,346000000.0,-343000000.0,-248000000.0
Change In Payable,,346000000.0,-343000000.0,-248000000.0
Change In Account Payable,,346000000.0,-343000000.0,-248000000.0
Change In Tax Payable,,,186000000.0,302000000.0
Change In Income Tax Payable,,,186000000.0,302000000.0
Change In Inventory,-228000000.0,-68000000.0,-77000000.0,-47000000.0
Change In Receivables,-868000000.0,-616000000.0,1125000000.0,-186000000.0
Changes In Account Receivables,-868000000.0,-616000000.0,1125000000.0,-186000000.0
Other Non Cash Items,-516000000.0,-1332000000.0,103000000.0,-809000000.0
Unrealized Gain Loss On Investment Securities,,160000000.0,-186000000.0,0.0
Asset Impairment Charge,0.0,545000000.0,563000000.0,201000000.0
Deferred Tax,-643000000.0,-205000000.0,78000000.0,361000000.0
Deferred Income Tax,-643000000.0,-205000000.0,78000000.0,361000000.0
Depreciation Amortization Depletion,2427000000.0,4540000000.0,3636000000.0,3063000000.0
Depreciation And Amortization,2427000000.0,4540000000.0,3636000000.0,3063000000.0
Amortization Cash Flow,26000000.0,,,
Amortization Of Intangibles,26000000.0,,,
Depreciation,2427000000.0,4540000000.0,3636000000.0,3063000000.0
Operating Gains Losses,1792000000.0,-1355000000.0,-742000000.0,-462000000.0
Gain Loss On Investment Securities,1793000000.0,-1154000000.0,-731000000.0,-435000000.0
Net Income From Continuing Operations,-167000000.0,-83000000.0,579000000.0,1217000000.0
