,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,12646000000.0,17089000000.0,13103000000.0,13269000000.0
Repurchase Of Capital Stock,-13328000000.0,-4672000000.0,-534000000.0,-504000000.0
Repayment Of Debt,-2307000000.0,-11498000000.0,-18777000000.0,-14354000000.0
Issuance Of Debt,2745000000.0,2628000000.0,18644000000.0,10654000000.0
Capital Expenditure,-13767000000.0,-12057000000.0,-11634000000.0,-12428000000.0
End Cash Position,4782000000.0,8778000000.0,11768000000.0,5589000000.0
Beginning Cash Position,8778000000.0,11768000000.0,5589000000.0,3909000000.0
Effect Of Exchange Rate Changes,-86000000.0,-71000000.0,2000000.0,5000000.0
Changes In Cash,-3910000000.0,-2919000000.0,6177000000.0,1675000000.0
Financing Cash Flow,-16184000000.0,-18618000000.0,-6513000000.0,-9181000000.0
Cash Flow From Continuing Financing Activities,-16185000000.0,-18618000000.0,-6513000000.0,-9181000000.0
Net Other Financing Charges,787000000.0,-544000000.0,-1706000000.0,46000000.0
Proceeds From Stock Option Exercised,-13328000000.0,-4672000000.0,-534000000.0,-504000000.0
Cash Dividends Paid,-4741000000.0,-4532000000.0,-4140000000.0,-3735000000.0
Common Stock Dividend Paid,-4741000000.0,,-4140000000.0,-3735000000.0
Net Common Stock Issuance,-13328000000.0,-4672000000.0,-534000000.0,-504000000.0
Common Stock Payments,-13328000000.0,-4672000000.0,-534000000.0,-504000000.0
Net Issuance Payments Of Debt,1098000000.0,-8870000000.0,-133000000.0,-4988000000.0
Net Short Term Debt Issuance,660000000.0,0.0,0.0,-1288000000.0
Net Long Term Debt Issuance,438000000.0,-8870000000.0,-133000000.0,-3700000000.0
Long Term Debt Payments,-2307000000.0,-11498000000.0,-18777000000.0,-14354000000.0
Long Term Debt Issuance,2745000000.0,2628000000.0,18644000000.0,10654000000.0
Investing Cash Flow,-14140000000.0,-13446000000.0,-12047000000.0,-14841000000.0
Cash Flow From Continuing Investing Activities,-14140000000.0,-13446000000.0,-12047000000.0,-14841000000.0
Net Other Investing Changes,258000000.0,451000000.0,250000000.0,140000000.0
Net Investment Purchase And Sale,-2274000000.0,-174000000.0,-812000000.0,-1899000000.0
Purchase Of Investment,-2274000000.0,-174000000.0,-812000000.0,-1899000000.0
Net Investment Properties Purchase And Sale,0.0,0.0,-459000000.0,-54000000.0
Purchase Of Investment Properties,0.0,0.0,-459000000.0,-54000000.0
Net Business Purchase And Sale,1643000000.0,-1666000000.0,608000000.0,-600000000.0
Sale Of Business,1985000000.0,684000000.0,2339000000.0,886000000.0
Purchase Of Business,-342000000.0,-2350000000.0,-1731000000.0,-1486000000.0
Net Intangibles Purchase And Sale,-3141000000.0,-2883000000.0,-2455000000.0,-2475000000.0
Purchase Of Intangibles,-3141000000.0,-2883000000.0,-2455000000.0,-2475000000.0
Capital Expenditure Reported,-10626000000.0,-9174000000.0,-9179000000.0,-9953000000.0
Operating Cash Flow,26413000000.0,29146000000.0,24737000000.0,25697000000.0
Cash Flow From Continuing Operating Activities,26413000000.0,29147000000.0,24737000000.0,25697000000.0
Change In Working Capital,-2904000000.0,-868000000.0,566000000.0,-2560000000.0
Change In Other Working Capital,-1623000000.0,382000000.0,1096000000.0,-1227000000.0
Change In Other Current Assets,-451000000.0,-680000000.0,-244000000.0,-929000000.0
Change In Payables And Accrued Expense,497000000.0,765000000.0,-266000000.0,-347000000.0
Change In Receivables,-1327000000.0,-1335000000.0,-20000000.0,-57000000.0
Other Non Cash Items,309000000.0,481000000.0,697000000.0,417000000.0
Stock Based Compensation,1336000000.0,1315000000.0,1193000000.0,1021000000.0
Asset Impairment Charge,8583000000.0,,,
Deferred Tax,-834000000.0,1892000000.0,-550000000.0,563000000.0
Deferred Income Tax,-834000000.0,1892000000.0,-550000000.0,563000000.0
Depreciation Amortization Depletion,13821000000.0,13804000000.0,13100000000.0,12953000000.0
Depreciation And Amortization,13821000000.0,13804000000.0,13100000000.0,12953000000.0
Depreciation,,13804000000.0,,
Operating Gains Losses,1177000000.0,-1311000000.0,-970000000.0,-20000000.0
Gain Loss On Investment Securities,,-1311000000.0,-970000000.0,-20000000.0
Net Income From Continuing Operations,4925000000.0,13833000000.0,10701000000.0,13323000000.0
