,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,847574000.0,839235000.0,527895000.0,314211000.0
Repurchase Of Capital Stock,,,0.0,0.0
Repayment Of Debt,-33947000.0,-417289000.0,-1118000.0,-1065000.0
Issuance Of Debt,44494000.0,,,
Capital Expenditure,-516636000.0,-337448000.0,-462996000.0,-603674000.0
Interest Paid Supplemental Data,2614000.0,18539000.0,19723000.0,19728000.0
Income Tax Paid Supplemental Data,257514000.0,263226000.0,178241000.0,83770000.0
End Cash Position,957395000.0,1384236000.0,1048260000.0,477718000.0
Beginning Cash Position,1384236000.0,1048260000.0,477718000.0,186319000.0
Effect Of Exchange Rate Changes,34383000.0,-15704000.0,4195000.0,2136000.0
Changes In Cash,-461224000.0,351680000.0,566347000.0,289263000.0
Financing Cash Flow,66615000.0,-382693000.0,40922000.0,-27414000.0
Cash Flow From Continuing Financing Activities,66615000.0,-382693000.0,40922000.0,-27414000.0
Net Other Financing Charges,-4709000.0,-3137000.0,-6145000.0,-106265000.0
Proceeds From Stock Option Exercised,60777000.0,37733000.0,48185000.0,79916000.0
Net Common Stock Issuance,,,0.0,0.0
Common Stock Payments,,,0.0,0.0
Net Issuance Payments Of Debt,10547000.0,-417289000.0,-1118000.0,-1065000.0
Net Short Term Debt Issuance,10570000.0,,,
Short Term Debt Payments,-33924000.0,,,
Short Term Debt Issuance,44494000.0,,,
Net Long Term Debt Issuance,-23000.0,-417289000.0,-1118000.0,-1065000.0
Long Term Debt Payments,-23000.0,-417289000.0,-1118000.0,-1065000.0
Investing Cash Flow,-1892049000.0,-442310000.0,-465466000.0,-601208000.0
Cash Flow From Continuing Investing Activities,-1892049000.0,-442310000.0,-465466000.0,-601208000.0
Net Investment Purchase And Sale,-1406588000.0,0.0,,
Sale Of Investment,0.0,374866000.0,,
Purchase Of Investment,-1406588000.0,-374866000.0,,
Net Business Purchase And Sale,-2744000.0,-109195000.0,-5000000.0,-11702000.0
Sale Of Business,,,,0.0
Purchase Of Business,-2744000.0,-109195000.0,-5000000.0,-11702000.0
Net PPE Purchase And Sale,-482717000.0,-333115000.0,-460466000.0,-601208000.0
Sale Of PPE,33919000.0,4333000.0,2530000.0,2466000.0
Purchase Of PPE,-516636000.0,-337448000.0,-462996000.0,-603674000.0
Operating Cash Flow,1364210000.0,1176683000.0,990891000.0,917885000.0
Cash Flow From Continuing Operating Activities,1364210000.0,1176683000.0,990891000.0,917885000.0
Change In Working Capital,-88281000.0,-125487000.0,-95818000.0,66159000.0
Change In Other Working Capital,-4743000.0,-18201000.0,-11125000.0,3633000.0
Change In Other Current Liabilities,,0.0,0.0,498000.0
Change In Payables And Accrued Expense,39876000.0,36355000.0,53658000.0,51762000.0
Change In Payable,39876000.0,36355000.0,53658000.0,51762000.0
Change In Account Payable,18010000.0,36306000.0,44613000.0,41648000.0
Change In Tax Payable,21866000.0,49000.0,9045000.0,10114000.0
Change In Income Tax Payable,21866000.0,49000.0,9045000.0,10114000.0
Change In Prepaid Assets,-59949000.0,-5156000.0,7025000.0,141000.0
Change In Inventory,26549000.0,-10851000.0,-24602000.0,1348000.0
Change In Receivables,-90014000.0,-127634000.0,-120774000.0,8777000.0
Changes In Account Receivables,-123207000.0,-97750000.0,-127513000.0,15993000.0
Stock Based Compensation,39673000.0,38965000.0,40922000.0,23322000.0
Provisionand Write Offof Assets,1946000.0,1349000.0,-1121000.0,1670000.0
Asset Impairment Charge,,,,0.0
Deferred Tax,9946000.0,17017000.0,-7951000.0,23082000.0
Deferred Income Tax,9946000.0,17017000.0,-7951000.0,23082000.0
Depreciation Amortization Depletion,159684000.0,138605000.0,123084000.0,104257000.0
Depreciation And Amortization,159684000.0,138605000.0,123084000.0,104257000.0
Operating Gains Losses,3501000.0,16104000.0,-4720000.0,-512000.0
Earnings Losses From Equity Investments,5347000.0,284000.0,-3240000.0,1401000.0
Gain Loss On Sale Of PPE,-1846000.0,-939000.0,-1480000.0,-1913000.0
Net Income From Continuing Operations,1237741000.0,1090130000.0,936495000.0,699907000.0
