,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,674570000.0,441095000.0,292723000.0,12456000.0
Repayment Of Debt,-1591000.0,,0.0,0.0
Issuance Of Debt,0.0,0.0,739569000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,665092000.0
Capital Expenditure,-266437000.0,-133689000.0,-63843000.0,-87487000.0
Interest Paid Supplemental Data,22551000.0,275000.0,18000.0,7000.0
Income Tax Paid Supplemental Data,11943000.0,74677000.0,1732000.0,1862000.0
End Cash Position,2456924000.0,1996633000.0,1918608000.0,264798000.0
Beginning Cash Position,1996633000.0,1918608000.0,264798000.0,88408000.0
Effect Of Exchange Rate Changes,-1495000.0,-4774000.0,1682000.0,-66000.0
Changes In Cash,461786000.0,82799000.0,1652128000.0,176456000.0
Financing Cash Flow,77437000.0,72531000.0,800135000.0,706144000.0
Cash Flow From Continuing Financing Activities,77437000.0,72531000.0,800135000.0,706144000.0
Net Other Financing Charges,10954000.0,6355000.0,-2528000.0,-3089000.0
Proceeds From Stock Option Exercised,68074000.0,66176000.0,63094000.0,44141000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,,0.0,0.0,665092000.0
Common Stock Issuance,,0.0,0.0,665092000.0
Net Issuance Payments Of Debt,-1591000.0,0.0,739569000.0,0.0
Net Short Term Debt Issuance,,,,0.0
Short Term Debt Payments,,,,0.0
Short Term Debt Issuance,,,,0.0
Net Long Term Debt Issuance,-1591000.0,0.0,739569000.0,0.0
Long Term Debt Payments,-1591000.0,,0.0,0.0
Long Term Debt Issuance,0.0,0.0,739569000.0,0.0
Investing Cash Flow,-556658000.0,-564516000.0,495427000.0,-629631000.0
Cash Flow From Continuing Investing Activities,-556658000.0,-564516000.0,495427000.0,-629631000.0
Net Investment Purchase And Sale,-271872000.0,-16309000.0,644787000.0,-542144000.0
Sale Of Investment,0.0,0.0,731191000.0,238557000.0
Purchase Of Investment,-271872000.0,-16309000.0,-86404000.0,-780701000.0
Net Business Purchase And Sale,-18349000.0,-414518000.0,-85517000.0,0.0
Purchase Of Business,-18349000.0,-414518000.0,-85517000.0,0.0
Net Intangibles Purchase And Sale,-2323000.0,-680000.0,-180000.0,0.0
Purchase Of Intangibles,-2323000.0,-680000.0,-180000.0,0.0
Net PPE Purchase And Sale,-235019000.0,-112143000.0,-52799000.0,-80198000.0
Purchase Of PPE,-235019000.0,-112143000.0,-52799000.0,-80198000.0
Capital Expenditure Reported,-29095000.0,-20866000.0,-10864000.0,-7289000.0
Operating Cash Flow,941007000.0,574784000.0,356566000.0,99943000.0
Cash Flow From Continuing Operating Activities,941007000.0,574784000.0,356566000.0,99943000.0
Change In Working Capital,320441000.0,321723000.0,185611000.0,97471000.0
Change In Other Working Capital,527035000.0,382100000.0,187828000.0,193876000.0
Change In Other Current Liabilities,-10364000.0,-9900000.0,683000.0,
Change In Payables And Accrued Expense,108686000.0,104412000.0,68375000.0,20129000.0
Change In Accrued Expense,124149000.0,71164000.0,57050000.0,26699000.0
Change In Payable,-15463000.0,33248000.0,11325000.0,-6570000.0
Change In Account Payable,-15463000.0,33248000.0,11325000.0,
Change In Prepaid Assets,-46807000.0,-29535000.0,1203000.0,-43467000.0
Change In Receivables,-258109000.0,-125354000.0,-72478000.0,-73067000.0
Changes In Account Receivables,-258109000.0,-125354000.0,-72478000.0,-73067000.0
Other Non Cash Items,183061000.0,125456000.0,75064000.0,35467000.0
Stock Based Compensation,526504000.0,309952000.0,149675000.0,79940000.0
Unrealized Gain Loss On Investment Securities,-1830000.0,-4823000.0,,
Provisionand Write Offof Assets,,,-544000.0,556000.0
Amortization Of Securities,0.0,0.0,578000.0,-1247000.0
Deferred Tax,1306000.0,-13956000.0,,
Deferred Income Tax,1306000.0,-13956000.0,,
Depreciation Amortization Depletion,93810000.0,68810000.0,40143000.0,23513000.0
Depreciation And Amortization,93810000.0,68810000.0,40143000.0,23513000.0
Amortization Cash Flow,16565000.0,12902000.0,1448000.0,487000.0
Amortization Of Intangibles,16565000.0,12902000.0,1448000.0,487000.0
Depreciation,77245000.0,55908000.0,38695000.0,23026000.0
Operating Gains Losses,,,-1332000.0,6022000.0
Gain Loss On Investment Securities,,,-1347000.0,6022000.0
Gain Loss On Sale Of PPE,,,15000.0,0.0
Net Income From Continuing Operations,-182285000.0,-232378000.0,-92629000.0,-141779000.0
