,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,19037000000.0,12749000000.0,14762000000.0,14656000000.0
Repurchase Of Capital Stock,-4890000000.0,-8381000000.0,-3513000000.0,-3386000000.0
Repayment Of Debt,-500000000.0,-3550000000.0,-3000000000.0,-6720000000.0
Issuance Of Debt,0.0,1049000000.0,0.0,0.0
Issuance Of Capital Stock,700000000.0,660000000.0,643000000.0,655000000.0
Capital Expenditure,-849000000.0,-477000000.0,-692000000.0,-770000000.0
Interest Paid Supplemental Data,376000000.0,355000000.0,438000000.0,603000000.0
Income Tax Paid Supplemental Data,3571000000.0,3663000000.0,3604000000.0,3116000000.0
End Cash Position,11627000000.0,8579000000.0,9942000000.0,11812000000.0
Beginning Cash Position,8579000000.0,9942000000.0,11812000000.0,11772000000.0
Effect Of Exchange Rate Changes,-105000000.0,-180000000.0,,
Changes In Cash,3153000000.0,-1363000000.0,-1870000000.0,40000000.0
Financing Cash Flow,-11626000000.0,-16142000000.0,-12039000000.0,-18886000000.0
Cash Flow From Continuing Financing Activities,-11626000000.0,-16142000000.0,-12039000000.0,-18886000000.0
Net Other Financing Charges,-32000000.0,-302000000.0,-1000000.0,51000000.0
Cash Dividends Paid,-6302000000.0,-6224000000.0,-6163000000.0,-6016000000.0
Common Stock Dividend Paid,-6302000000.0,-6224000000.0,-6163000000.0,-6016000000.0
Net Common Stock Issuance,-4190000000.0,-7721000000.0,-2870000000.0,-2731000000.0
Common Stock Payments,-4890000000.0,-8381000000.0,-3513000000.0,-3386000000.0
Common Stock Issuance,700000000.0,660000000.0,643000000.0,655000000.0
Net Issuance Payments Of Debt,-1102000000.0,-1895000000.0,-3005000000.0,-10190000000.0
Net Short Term Debt Issuance,-602000000.0,606000000.0,-5000000.0,-3470000000.0
Net Long Term Debt Issuance,-500000000.0,-2501000000.0,-3000000000.0,-6720000000.0
Long Term Debt Payments,-500000000.0,-3550000000.0,-3000000000.0,-6720000000.0
Long Term Debt Issuance,0.0,1049000000.0,0.0,0.0
Investing Cash Flow,-5107000000.0,1553000000.0,-5285000000.0,3500000000.0
Cash Flow From Continuing Investing Activities,-5107000000.0,1553000000.0,-5285000000.0,3500000000.0
Net Other Investing Changes,-26000000.0,-15000000.0,-56000000.0,-10000000.0
Net Investment Purchase And Sale,-3934000000.0,2327000000.0,2473000000.0,4428000000.0
Sale Of Investment,7122000000.0,8583000000.0,11976000000.0,13830000000.0
Purchase Of Investment,-11056000000.0,-6256000000.0,-9503000000.0,-9402000000.0
Net Business Purchase And Sale,-301000000.0,-373000000.0,-7038000000.0,-327000000.0
Sale Of Business,,,194000000.0,224000000.0
Purchase Of Business,-301000000.0,-373000000.0,-7038000000.0,-327000000.0
Net PPE Purchase And Sale,-846000000.0,-386000000.0,-664000000.0,-591000000.0
Sale Of PPE,3000000.0,91000000.0,28000000.0,179000000.0
Purchase Of PPE,-849000000.0,-477000000.0,-692000000.0,-770000000.0
Operating Cash Flow,19886000000.0,13226000000.0,15454000000.0,15426000000.0
Cash Flow From Continuing Operating Activities,19886000000.0,13226000000.0,15454000000.0,15426000000.0
Change In Working Capital,5042000000.0,-1722000000.0,1984000000.0,918000000.0
Change In Other Working Capital,4195000000.0,211000000.0,1654000000.0,1611000000.0
Change In Other Current Liabilities,48000000.0,535000000.0,-46000000.0,-110000000.0
Change In Other Current Assets,5000000.0,-1615000000.0,-797000000.0,96000000.0
Change In Payables And Accrued Expense,27000000.0,-55000000.0,-53000000.0,141000000.0
Change In Payable,27000000.0,-55000000.0,-53000000.0,141000000.0
Change In Account Payable,27000000.0,-55000000.0,-53000000.0,141000000.0
Change In Tax Payable,,,,-322000000.0
Change In Income Tax Payable,,,,-322000000.0
Change In Inventory,-1069000000.0,-1030000000.0,-244000000.0,84000000.0
Change In Receivables,1836000000.0,232000000.0,1470000000.0,-904000000.0
Changes In Account Receivables,734000000.0,-1009000000.0,-107000000.0,-107000000.0
Stock Based Compensation,2353000000.0,1886000000.0,1761000000.0,1569000000.0
Provisionand Write Offof Assets,31000000.0,55000000.0,-6000000.0,93000000.0
Deferred Tax,-2085000000.0,-309000000.0,-384000000.0,-38000000.0
Deferred Income Tax,-2085000000.0,-309000000.0,-384000000.0,-38000000.0
Depreciation Amortization Depletion,1726000000.0,1957000000.0,1862000000.0,1808000000.0
Depreciation And Amortization,1726000000.0,1957000000.0,1862000000.0,1808000000.0
Depreciation,1726000000.0,1957000000.0,1862000000.0,1808000000.0
Operating Gains Losses,206000000.0,-453000000.0,-354000000.0,-138000000.0
Gain Loss On Investment Securities,,,,-138000000.0
Gain Loss On Sale Of Business,206000000.0,-453000000.0,-354000000.0,
Net Income From Continuing Operations,12613000000.0,11812000000.0,10591000000.0,11214000000.0
