,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,420046000.0,404511000.0,437759000.0,411583000.0
Repurchase Of Capital Stock,,-33314000.0,-38867000.0,-27577000.0
Repayment Of Debt,-2155000.0,0.0,-745000000.0,0.0
Issuance Of Debt,0.0,0.0,1744210000.0,
Issuance Of Capital Stock,745700000.0,0.0,1689971000.0,0.0
Capital Expenditure,-58574000.0,-65220000.0,-48347000.0,-46197000.0
Interest Paid Supplemental Data,29947000.0,31510000.0,5948000.0,1998000.0
Income Tax Paid Supplemental Data,169176000.0,82117000.0,45783000.0,68935000.0
End Cash Position,4967970000.0,3827126000.0,3755912000.0,1070731000.0
Beginning Cash Position,3827126000.0,3755912000.0,1070731000.0,1100416000.0
Effect Of Exchange Rate Changes,-2698000.0,-1495000.0,941000.0,442000.0
Changes In Cash,1143542000.0,72709000.0,2684240000.0,-30127000.0
Financing Cash Flow,733977000.0,-15679000.0,2662297000.0,-4154000.0
Cash Flow From Continuing Financing Activities,733977000.0,-15679000.0,2662297000.0,-4154000.0
Net Other Financing Charges,-23108000.0,-411000.0,-18297000.0,-1657000.0
Proceeds From Stock Option Exercised,13540000.0,-15268000.0,-8587000.0,-2497000.0
Net Common Stock Issuance,745700000.0,0.0,1689971000.0,-27577000.0
Common Stock Payments,,-33314000.0,-38867000.0,-27577000.0
Common Stock Issuance,745700000.0,0.0,1689971000.0,0.0
Net Issuance Payments Of Debt,-2155000.0,0.0,999210000.0,0.0
Net Long Term Debt Issuance,-2155000.0,0.0,999210000.0,0.0
Long Term Debt Payments,-2155000.0,0.0,-745000000.0,0.0
Long Term Debt Issuance,0.0,0.0,1744210000.0,
Investing Cash Flow,-69055000.0,-381343000.0,-464163000.0,-483753000.0
Cash Flow From Continuing Investing Activities,-69055000.0,-381343000.0,-464163000.0,-483753000.0
Net Other Investing Changes,-35169000.0,-123764000.0,,
Net Investment Purchase And Sale,864000.0,0.0,10259000.0,
Sale Of Investment,864000.0,0.0,10259000.0,
Net Business Purchase And Sale,-6273000.0,-192971000.0,-426075000.0,-437556000.0
Purchase Of Business,-6273000.0,-192971000.0,-426075000.0,-437556000.0
Net PPE Purchase And Sale,-28477000.0,-64608000.0,-48347000.0,-46197000.0
Sale Of PPE,30097000.0,612000.0,,
Purchase Of PPE,-58574000.0,-65220000.0,-48347000.0,-46197000.0
Operating Cash Flow,478620000.0,469731000.0,486106000.0,457780000.0
Cash Flow From Continuing Operating Activities,478620000.0,469731000.0,486106000.0,457780000.0
Change In Working Capital,-205528000.0,-154742000.0,-13886000.0,-86951000.0
Change In Other Working Capital,-110011000.0,-54642000.0,-62167000.0,-58777000.0
Change In Other Current Liabilities,-37396000.0,-30904000.0,-30497000.0,-25442000.0
Change In Other Current Assets,2217000.0,-502000.0,1762000.0,-648000.0
Change In Payables And Accrued Expense,3975000.0,-24191000.0,111198000.0,17174000.0
Change In Payable,3975000.0,-24191000.0,111198000.0,17174000.0
Change In Account Payable,23234000.0,-30051000.0,100846000.0,17751000.0
Change In Tax Payable,-19259000.0,5860000.0,10352000.0,-577000.0
Change In Income Tax Payable,-19259000.0,5860000.0,10352000.0,-577000.0
Change In Prepaid Assets,-17910000.0,-14873000.0,1936000.0,-14244000.0
Change In Receivables,-46403000.0,-29630000.0,-36118000.0,-5014000.0
Changes In Account Receivables,-46403000.0,-29630000.0,-36118000.0,-5014000.0
Other Non Cash Items,114497000.0,93549000.0,88788000.0,77045000.0
Stock Based Compensation,75207000.0,63709000.0,53450000.0,52255000.0
Provisionand Write Offof Assets,,,25212000.0,
Asset Impairment Charge,18309000.0,10928000.0,25212000.0,10978000.0
Deferred Tax,-31203000.0,24165000.0,-11530000.0,8220000.0
Deferred Income Tax,-31203000.0,24165000.0,-11530000.0,8220000.0
Depreciation Amortization Depletion,137885000.0,139558000.0,116944000.0,81165000.0
Depreciation And Amortization,137885000.0,139558000.0,116944000.0,81165000.0
Operating Gains Losses,,,,105000.0
Gain Loss On Sale Of PPE,,,,105000.0
Net Income From Continuing Operations,369453000.0,292564000.0,227128000.0,314963000.0
