,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3486000000.0,3308000000.0,2637000000.0,3193000000.0
Repurchase Of Capital Stock,-4731000000.0,-2886000000.0,-867000000.0,-3373000000.0
Repayment Of Debt,-186000000.0,-426000000.0,-745000000.0,-518000000.0
Issuance Of Debt,2000000000.0,0.0,1000000000.0,2000000000.0
Capital Expenditure,-2133000000.0,-1791000000.0,-1626000000.0,-1657000000.0
Interest Paid Supplemental Data,729000000.0,718000000.0,750000000.0,717000000.0
Income Tax Paid Supplemental Data,1167000000.0,931000000.0,664000000.0,691000000.0
End Cash Position,1958000000.0,2239000000.0,3129000000.0,958000000.0
Beginning Cash Position,2239000000.0,3129000000.0,958000000.0,858000000.0
Changes In Cash,-281000000.0,-890000000.0,2171000000.0,100000000.0
Financing Cash Flow,-3769000000.0,-4112000000.0,-1443000000.0,-2648000000.0
Cash Flow From Continuing Financing Activities,-3769000000.0,-4112000000.0,-1443000000.0,-2648000000.0
Net Other Financing Charges,,39000000.0,-34000000.0,6000000.0
Cash Dividends Paid,-852000000.0,-839000000.0,-797000000.0,-763000000.0
Common Stock Dividend Paid,,,-797000000.0,-763000000.0
Net Common Stock Issuance,-4731000000.0,-2886000000.0,-867000000.0,-3373000000.0
Common Stock Payments,-4731000000.0,-2886000000.0,-867000000.0,-3373000000.0
Net Issuance Payments Of Debt,1814000000.0,-426000000.0,255000000.0,1482000000.0
Net Long Term Debt Issuance,1814000000.0,-426000000.0,255000000.0,1482000000.0
Long Term Debt Payments,-186000000.0,-426000000.0,-745000000.0,-518000000.0
Long Term Debt Issuance,2000000000.0,0.0,1000000000.0,2000000000.0
Investing Cash Flow,-2131000000.0,-1877000000.0,-649000000.0,-2102000000.0
Cash Flow From Continuing Investing Activities,-2131000000.0,-1877000000.0,-649000000.0,-2102000000.0
Net Other Investing Changes,33000000.0,-4000000.0,-77000000.0,31000000.0
Net Investment Purchase And Sale,-50000000.0,-70000000.0,998000000.0,-730000000.0
Sale Of Investment,9000000.0,5000000.0,1424000000.0,2108000000.0
Purchase Of Investment,-59000000.0,-75000000.0,-426000000.0,-2838000000.0
Net Business Purchase And Sale,-227000000.0,-541000000.0,,
Purchase Of Business,-227000000.0,-541000000.0,,
Net PPE Purchase And Sale,-1887000000.0,-1262000000.0,-1570000000.0,-1403000000.0
Sale Of PPE,246000000.0,529000000.0,56000000.0,254000000.0
Purchase Of PPE,-2133000000.0,-1791000000.0,-1626000000.0,-1657000000.0
Operating Cash Flow,5619000000.0,5099000000.0,4263000000.0,4850000000.0
Cash Flow From Continuing Operating Activities,5619000000.0,5099000000.0,4263000000.0,4850000000.0
Change In Working Capital,91000000.0,173000000.0,2000000.0,117000000.0
Change In Other Current Liabilities,113000000.0,139000000.0,-25000000.0,-96000000.0
Change In Other Current Assets,-22000000.0,-25000000.0,-75000000.0,68000000.0
Change In Payables And Accrued Expense,101000000.0,200000000.0,19000000.0,100000000.0
Change In Payable,101000000.0,200000000.0,19000000.0,100000000.0
Change In Account Payable,140000000.0,128000000.0,-20000000.0,98000000.0
Change In Tax Payable,-39000000.0,72000000.0,39000000.0,2000000.0
Change In Income Tax Payable,-39000000.0,72000000.0,39000000.0,2000000.0
Change In Receivables,-101000000.0,-141000000.0,83000000.0,45000000.0
Changes In Account Receivables,-101000000.0,-141000000.0,83000000.0,45000000.0
Other Non Cash Items,74000000.0,185000000.0,-30000000.0,139000000.0
Deferred Tax,117000000.0,167000000.0,180000000.0,273000000.0
Deferred Income Tax,117000000.0,167000000.0,180000000.0,273000000.0
Depreciation Amortization Depletion,1500000000.0,1420000000.0,1383000000.0,1349000000.0
Depreciation And Amortization,1500000000.0,1420000000.0,1383000000.0,1349000000.0
Depreciation,,1420000000.0,1383000000.0,1349000000.0
Operating Gains Losses,-238000000.0,-454000000.0,-35000000.0,-242000000.0
Earnings Losses From Equity Investments,,,,-91000000.0
Gain Loss On Sale Of PPE,-238000000.0,-454000000.0,-35000000.0,-151000000.0
Net Income From Continuing Operations,4166000000.0,3781000000.0,2765000000.0,3331000000.0
