,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2236000000.0,2216000000.0,2901000000.0,2107000000.0
Repurchase Of Capital Stock,-1422000000.0,-771000000.0,-1621000000.0,-2247000000.0
Repayment Of Debt,-686000000.0,-53000000.0,-50000000.0,-28000000.0
Issuance Of Debt,650000000.0,0.0,1740000000.0,
Capital Expenditure,-332000000.0,-279000000.0,-398000000.0,-392000000.0
Interest Paid Supplemental Data,15000000.0,7000000.0,25000000.0,25000000.0
Income Tax Paid Supplemental Data,813000000.0,625000000.0,745000000.0,870000000.0
End Cash Position,2294000000.0,1792000000.0,2680000000.0,2645000000.0
Beginning Cash Position,1792000000.0,2680000000.0,2645000000.0,1161000000.0
Effect Of Exchange Rate Changes,-21000000.0,-16000000.0,-17000000.0,-34000000.0
Changes In Cash,523000000.0,-872000000.0,52000000.0,1518000000.0
Financing Cash Flow,-1939000000.0,-1203000000.0,-2009000000.0,-2569000000.0
Cash Flow From Continuing Financing Activities,-1939000000.0,-1203000000.0,-2009000000.0,-2569000000.0
Net Other Financing Charges,-3000000.0,,,
Proceeds From Stock Option Exercised,86000000.0,130000000.0,142000000.0,159000000.0
Cash Dividends Paid,-564000000.0,-509000000.0,-480000000.0,-453000000.0
Common Stock Dividend Paid,-564000000.0,-509000000.0,-480000000.0,-453000000.0
Net Common Stock Issuance,-1422000000.0,-771000000.0,-1621000000.0,-2247000000.0
Common Stock Payments,-1422000000.0,-771000000.0,-1621000000.0,-2247000000.0
Net Issuance Payments Of Debt,-39000000.0,-53000000.0,-50000000.0,-28000000.0
Net Short Term Debt Issuance,0.0,0.0,,0.0
Short Term Debt Payments,0.0,0.0,,
Short Term Debt Issuance,0.0,0.0,,
Net Long Term Debt Issuance,-39000000.0,-53000000.0,-50000000.0,-28000000.0
Long Term Debt Payments,-686000000.0,-53000000.0,-50000000.0,-28000000.0
Long Term Debt Issuance,650000000.0,,1740000000.0,
Investing Cash Flow,-106000000.0,-2164000000.0,-1238000000.0,1588000000.0
Cash Flow From Continuing Investing Activities,-106000000.0,-2164000000.0,-1238000000.0,1588000000.0
Net Investment Purchase And Sale,565000000.0,-915000000.0,283000000.0,2597000000.0
Sale Of Investment,1369000000.0,300000000.0,467000000.0,3605000000.0
Purchase Of Investment,-1271000000.0,-633000000.0,-202000000.0,-1026000000.0
Net Business Purchase And Sale,-339000000.0,-970000000.0,-1123000000.0,-617000000.0
Sale Of Business,28000000.0,1078000000.0,549000000.0,501000000.0
Purchase Of Business,-367000000.0,-970000000.0,-1123000000.0,-617000000.0
Net PPE Purchase And Sale,-332000000.0,-279000000.0,-398000000.0,-392000000.0
Purchase Of PPE,-332000000.0,-279000000.0,-398000000.0,-392000000.0
Operating Cash Flow,2568000000.0,2495000000.0,3299000000.0,2499000000.0
Cash Flow From Continuing Operating Activities,2568000000.0,2495000000.0,3299000000.0,2499000000.0
Change In Working Capital,-324000000.0,-488000000.0,813000000.0,101000000.0
Change In Other Working Capital,-26000000.0,19000000.0,65000000.0,56000000.0
Change In Other Current Liabilities,-392000000.0,-413000000.0,302000000.0,-159000000.0
Change In Other Current Assets,343000000.0,348000000.0,73000000.0,159000000.0
Change In Payables And Accrued Expense,-11000000.0,-35000000.0,109000000.0,8000000.0
Change In Payable,-11000000.0,-35000000.0,109000000.0,8000000.0
Change In Account Payable,-11000000.0,-35000000.0,109000000.0,8000000.0
Change In Receivables,-238000000.0,-407000000.0,264000000.0,37000000.0
Changes In Account Receivables,-238000000.0,-407000000.0,264000000.0,37000000.0
Other Non Cash Items,602000000.0,846000000.0,1094000000.0,556000000.0
Stock Based Compensation,261000000.0,246000000.0,232000000.0,217000000.0
Deferred Tax,-273000000.0,27000000.0,184000000.0,-306000000.0
Deferred Income Tax,-273000000.0,27000000.0,184000000.0,-306000000.0
Depreciation Amortization Depletion,569000000.0,574000000.0,559000000.0,526000000.0
Depreciation And Amortization,569000000.0,574000000.0,559000000.0,526000000.0
Net Income From Continuing Operations,2290000000.0,2137000000.0,1392000000.0,1842000000.0
