,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,353518000.0,250520000.0,83208000.0,791000.0
Repurchase Of Capital Stock,0.0,,-421000.0,
Repayment Of Debt,-3000.0,,,
Issuance Of Debt,0.0,0.0,730207000.0,
Issuance Of Capital Stock,,0.0,,706317000.0
Capital Expenditure,-64889000.0,-36025000.0,-25883000.0,-23443000.0
Income Tax Paid Supplemental Data,1595000.0,1486000.0,410000.0,143000.0
End Cash Position,342288000.0,274463000.0,228711000.0,601189000.0
Beginning Cash Position,274463000.0,228711000.0,601189000.0,64980000.0
Effect Of Exchange Rate Changes,-1935000.0,-1993000.0,779000.0,-21000.0
Changes In Cash,69760000.0,47745000.0,-373257000.0,536230000.0
Financing Cash Flow,36023000.0,34940000.0,670276000.0,714216000.0
Cash Flow From Continuing Financing Activities,36023000.0,34940000.0,670276000.0,714216000.0
Net Other Financing Charges,,-245000.0,-90665000.0,
Proceeds From Stock Option Exercised,36026000.0,35185000.0,31155000.0,7899000.0
Net Common Stock Issuance,0.0,0.0,-421000.0,706317000.0
Common Stock Payments,0.0,,-421000.0,
Common Stock Issuance,,0.0,,706317000.0
Net Issuance Payments Of Debt,-3000.0,0.0,730207000.0,
Net Long Term Debt Issuance,-3000.0,0.0,730207000.0,
Long Term Debt Payments,-3000.0,,,
Long Term Debt Issuance,0.0,0.0,730207000.0,
Investing Cash Flow,-384670000.0,-273740000.0,-1152624000.0,-202220000.0
Cash Flow From Continuing Investing Activities,-384670000.0,-273740000.0,-1152624000.0,-202220000.0
Net Investment Purchase And Sale,-273903000.0,-11210000.0,-1124378000.0,-176639000.0
Sale Of Investment,1139814000.0,1114309000.0,670184000.0,
Purchase Of Investment,-1413717000.0,-1125519000.0,-1794562000.0,-176639000.0
Net Business Purchase And Sale,-45878000.0,-226505000.0,-2363000.0,-2138000.0
Purchase Of Business,-45878000.0,-226505000.0,-2363000.0,-2138000.0
Net Intangibles Purchase And Sale,,,-20468000.0,-10128000.0
Purchase Of Intangibles,,,-20468000.0,-10128000.0
Net PPE Purchase And Sale,-35261000.0,-9956000.0,-5415000.0,-13315000.0
Purchase Of PPE,-35261000.0,-9956000.0,-5415000.0,-13315000.0
Capital Expenditure Reported,-29628000.0,-26069000.0,-20468000.0,-10128000.0
Operating Cash Flow,418407000.0,286545000.0,109091000.0,24234000.0
Cash Flow From Continuing Operating Activities,418407000.0,286545000.0,109091000.0,24234000.0
Change In Working Capital,6393000.0,63378000.0,-12466000.0,-9538000.0
Change In Other Working Capital,117546000.0,133506000.0,44708000.0,47644000.0
Change In Other Current Assets,-5179000.0,-2627000.0,968000.0,-8486000.0
Change In Payables And Accrued Expense,36292000.0,40348000.0,10509000.0,8860000.0
Change In Accrued Expense,37578000.0,37270000.0,3970000.0,6376000.0
Change In Payable,-1286000.0,3078000.0,6539000.0,2484000.0
Change In Account Payable,-1286000.0,3078000.0,6539000.0,2484000.0
Change In Prepaid Assets,-6565000.0,-737000.0,-4403000.0,-10046000.0
Change In Receivables,-135701000.0,-107112000.0,-64248000.0,-47510000.0
Changes In Account Receivables,-135701000.0,-107112000.0,-64248000.0,-47510000.0
Other Non Cash Items,52788000.0,38416000.0,43234000.0,17163000.0
Stock Based Compensation,363154000.0,163737000.0,74374000.0,19034000.0
Provisionand Write Offof Assets,5215000.0,2311000.0,3283000.0,1195000.0
Amortization Of Securities,4726000.0,16236000.0,9753000.0,12000.0
Depreciation Amortization Depletion,34629000.0,22938000.0,15450000.0,12370000.0
Depreciation And Amortization,34629000.0,22938000.0,15450000.0,12370000.0
Operating Gains Losses,1662000.0,274000.0,10000.0,708000.0
Gain Loss On Sale Of PPE,1662000.0,274000.0,10000.0,708000.0
Net Income From Continuing Operations,-50160000.0,-20745000.0,-24547000.0,-16710000.0
