,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,361000000.0,408700000.0,1817500000.0,833100000.0
Repurchase Of Capital Stock,-647500000.0,-950000000.0,-400000000.0,-200000000.0
Repayment Of Debt,-555000000.0,-1000000000.0,-1300000000.0,-500000000.0
Issuance Of Debt,555000000.0,1197400000.0,750000000.0,0.0
Capital Expenditure,-1253800000.0,-1022800000.0,-898800000.0,-1036700000.0
Interest Paid Supplemental Data,132200000.0,176100000.0,152900000.0,170200000.0
Income Tax Paid Supplemental Data,401300000.0,363400000.0,357700000.0,266800000.0
End Cash Position,711300000.0,1038300000.0,1463600000.0,586000000.0
Beginning Cash Position,1038300000.0,1463600000.0,586000000.0,446700000.0
Effect Of Exchange Rate Changes,-1200000.0,-400000.0,900000.0,-500000.0
Changes In Cash,-325800000.0,-424900000.0,876700000.0,139800000.0
Financing Cash Flow,-686800000.0,-836500000.0,-949900000.0,-709800000.0
Cash Flow From Continuing Financing Activities,-686800000.0,-836500000.0,-949900000.0,-709800000.0
Net Other Financing Charges,-48600000.0,-101700000.0,-16900000.0,-25000000.0
Proceeds From Stock Option Exercised,9300000.0,17800000.0,17000000.0,15200000.0
Net Common Stock Issuance,-647500000.0,-950000000.0,-400000000.0,-200000000.0
Common Stock Payments,-647500000.0,-950000000.0,-400000000.0,-200000000.0
Net Issuance Payments Of Debt,0.0,197400000.0,-550000000.0,-500000000.0
Net Short Term Debt Issuance,0.0,0.0,-750000000.0,0.0
Short Term Debt Payments,-555000000.0,0.0,-750000000.0,0.0
Short Term Debt Issuance,555000000.0,0.0,,
Net Long Term Debt Issuance,0.0,197400000.0,200000000.0,-500000000.0
Long Term Debt Payments,0.0,-1000000000.0,-550000000.0,-500000000.0
Long Term Debt Issuance,0.0,1197400000.0,750000000.0,0.0
Investing Cash Flow,-1253800000.0,-1019900000.0,-889700000.0,-1020200000.0
Cash Flow From Continuing Investing Activities,-1253800000.0,-1019900000.0,-889700000.0,-1020200000.0
Net Other Investing Changes,,2900000.0,,16500000.0
Net Investment Purchase And Sale,,,,0.0
Sale Of Investment,,,,0.0
Net PPE Purchase And Sale,-5000000.0,-1600000.0,9100000.0,-1900000.0
Purchase Of PPE,-5000000.0,,,
Capital Expenditure Reported,-1248800000.0,-1021200000.0,-898800000.0,-1034800000.0
Operating Cash Flow,1614800000.0,1431500000.0,2716300000.0,1869800000.0
Cash Flow From Continuing Operating Activities,1614800000.0,1431500000.0,2716300000.0,1869800000.0
Change In Working Capital,-1065600000.0,-733000000.0,550200000.0,-17500000.0
Change In Other Working Capital,68800000.0,-5500000.0,600000.0,36500000.0
Change In Other Current Liabilities,-16600000.0,-134700000.0,291600000.0,9700000.0
Change In Other Current Assets,-24700000.0,-52500000.0,-5300000.0,-200000.0
Change In Payables And Accrued Expense,-7700000.0,400100000.0,166200000.0,-77100000.0
Change In Payable,-7700000.0,400100000.0,166200000.0,-77100000.0
Change In Account Payable,16800000.0,403800000.0,142600000.0,-79800000.0
Change In Tax Payable,-24500000.0,-3700000.0,23600000.0,2700000.0
Change In Income Tax Payable,-24500000.0,-3700000.0,23600000.0,2700000.0
Change In Inventory,-1085400000.0,-940400000.0,97100000.0,13600000.0
Other Non Cash Items,63700000.0,20100000.0,23000000.0,31400000.0
Stock Based Compensation,110400000.0,79900000.0,83900000.0,61400000.0
Asset Impairment Charge,,0.0,0.0,313000000.0
Deferred Tax,123000000.0,-23200000.0,30700000.0,9100000.0
Deferred Income Tax,123000000.0,-23200000.0,30700000.0,9100000.0
Depreciation Amortization Depletion,767900000.0,716000000.0,686600000.0,645400000.0
Depreciation And Amortization,767900000.0,716000000.0,686600000.0,645400000.0
Operating Gains Losses,,43800000.0,,
Net Income From Continuing Operations,1615400000.0,1327900000.0,1341900000.0,827000000.0
