,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1805000000.0,2213000000.0,1925000000.0,2562000000.0
Repurchase Of Capital Stock,-3143000000.0,-7055000000.0,-5137000000.0,-4973000000.0
Repayment Of Debt,-1355000000.0,-1156000000.0,-1771000000.0,-1550000000.0
Issuance Of Debt,1143000000.0,2478000000.0,1765000000.0,
Issuance Of Capital Stock,87000000.0,93000000.0,90000000.0,106000000.0
Capital Expenditure,-449000000.0,-444000000.0,-494000000.0,-552000000.0
Interest Paid Supplemental Data,,253000000.0,272000000.0,305000000.0
Income Tax Paid Supplemental Data,,929000000.0,520000000.0,333000000.0
End Cash Position,2272000000.0,1406000000.0,1594000000.0,944000000.0
Beginning Cash Position,1406000000.0,1594000000.0,996000000.0,2219000000.0
Effect Of Exchange Rate Changes,-57000000.0,24000000.0,77000000.0,-33000000.0
Changes In Cash,923000000.0,-212000000.0,521000000.0,-1190000000.0
Financing Cash Flow,-3792000000.0,-6532000000.0,-5692000000.0,-7091000000.0
Cash From Discontinued Financing Activities,0.0,25000000.0,-2000000.0,
Cash Flow From Continuing Financing Activities,-3792000000.0,-6557000000.0,-5690000000.0,-7091000000.0
Net Other Financing Charges,-35000000.0,-451000000.0,-190000000.0,-201000000.0
Cash Dividends Paid,-489000000.0,-466000000.0,-447000000.0,-473000000.0
Common Stock Dividend Paid,-489000000.0,-466000000.0,-447000000.0,-473000000.0
Net Common Stock Issuance,-3056000000.0,-6962000000.0,-5047000000.0,-4867000000.0
Common Stock Payments,-3143000000.0,-7055000000.0,-5137000000.0,-4973000000.0
Common Stock Issuance,87000000.0,93000000.0,90000000.0,106000000.0
Net Issuance Payments Of Debt,-212000000.0,1322000000.0,-6000000.0,-1550000000.0
Net Long Term Debt Issuance,-212000000.0,1322000000.0,-6000000.0,-1550000000.0
Long Term Debt Payments,-1355000000.0,-1156000000.0,-1771000000.0,-1550000000.0
Long Term Debt Issuance,1143000000.0,2478000000.0,1765000000.0,
Investing Cash Flow,2461000000.0,3663000000.0,3794000000.0,2787000000.0
Cash From Discontinued Investing Activities,2000000.0,5080000000.0,4013000000.0,
Cash Flow From Continuing Investing Activities,2459000000.0,-1417000000.0,-219000000.0,2789000000.0
Net Other Investing Changes,-71000000.0,2219000000.0,33000000.0,23000000.0
Net Investment Purchase And Sale,2092000000.0,-3192000000.0,242000000.0,3571000000.0
Sale Of Investment,20626000000.0,18969000000.0,33129000000.0,50548000000.0
Purchase Of Investment,-18534000000.0,-22161000000.0,-32887000000.0,-46977000000.0
Net Business Purchase And Sale,887000000.0,0.0,,-253000000.0
Sale Of Business,1095000000.0,,,
Purchase Of Business,-208000000.0,0.0,,-253000000.0
Net PPE Purchase And Sale,-449000000.0,-444000000.0,-494000000.0,-552000000.0
Purchase Of PPE,-449000000.0,-444000000.0,-494000000.0,-552000000.0
Operating Cash Flow,2254000000.0,2657000000.0,2419000000.0,3114000000.0
Cash From Discontinued Operating Activities,-373000000.0,-436000000.0,-727000000.0,48000000.0
Cash Flow From Continuing Operating Activities,2627000000.0,3093000000.0,3146000000.0,3066000000.0
Change In Working Capital,-377000000.0,-134000000.0,-168000000.0,-190000000.0
Change In Other Working Capital,20000000.0,171000000.0,146000000.0,222000000.0
Change In Other Current Assets,-33000000.0,41000000.0,-755000000.0,177000000.0
Change In Payables And Accrued Expense,-364000000.0,-541000000.0,433000000.0,-475000000.0
Change In Accrued Expense,-410000000.0,-535000000.0,307000000.0,-391000000.0
Change In Payable,46000000.0,-6000000.0,126000000.0,-84000000.0
Change In Account Payable,6000000.0,9000000.0,101000000.0,4000000.0
Change In Tax Payable,40000000.0,-15000000.0,25000000.0,-88000000.0
Change In Income Tax Payable,40000000.0,-15000000.0,25000000.0,-88000000.0
Change In Receivables,,195000000.0,8000000.0,-124000000.0
Changes In Account Receivables,,195000000.0,8000000.0,-124000000.0
Other Non Cash Items,-5000000.0,-13356000000.0,-3125000000.0,-26000000.0
Stock Based Compensation,494000000.0,477000000.0,431000000.0,495000000.0
Provisionand Write Offof Assets,332000000.0,422000000.0,331000000.0,294000000.0
Asset Impairment Charge,0.0,160000000.0,,
Deferred Tax,-780000000.0,-680000000.0,408000000.0,113000000.0
Deferred Income Tax,-780000000.0,-680000000.0,408000000.0,113000000.0
Depreciation Amortization Depletion,442000000.0,502000000.0,609000000.0,675000000.0
Depreciation And Amortization,442000000.0,502000000.0,609000000.0,675000000.0
Operating Gains Losses,3790000000.0,2094000000.0,-1007000000.0,-81000000.0
Earnings Losses From Equity Investments,3539000000.0,2584000000.0,,
Gain Loss On Investment Securities,251000000.0,-500000000.0,-1007000000.0,-133000000.0
Gain Loss On Sale Of Business,,0.0,0.0,52000000.0
Net Income From Continuing Operations,-1269000000.0,13608000000.0,5667000000.0,1786000000.0
