,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,698374000.0,299520000.0,195776000.0,124279000.0
Repurchase Of Capital Stock,0.0,-500000000.0,,
Repayment Of Debt,0.0,-291941000.0,-43303000.0,-45855000.0
Issuance Of Debt,0.0,1188439000.0,312420000.0,127413000.0
Issuance Of Capital Stock,,,0.0,0.0
Capital Expenditure,-46443000.0,-52508000.0,-20558000.0,-14788000.0
Interest Paid Supplemental Data,455000.0,733000.0,1875000.0,2689000.0
Income Tax Paid Supplemental Data,33168000.0,4823000.0,3452000.0,1755000.0
End Cash Position,473244000.0,119316000.0,679379000.0,296109000.0
Beginning Cash Position,119316000.0,679379000.0,296109000.0,106237000.0
Effect Of Exchange Rate Changes,-1857000.0,-1955000.0,826000.0,-257000.0
Changes In Cash,355785000.0,-558108000.0,382444000.0,190129000.0
Financing Cash Flow,-17126000.0,309411000.0,191678000.0,65850000.0
Cash Flow From Continuing Financing Activities,-17126000.0,309411000.0,191678000.0,65850000.0
Net Other Financing Charges,-27496000.0,-315371000.0,-157386000.0,-50511000.0
Proceeds From Stock Option Exercised,10370000.0,228284000.0,79947000.0,34803000.0
Net Common Stock Issuance,0.0,-500000000.0,0.0,0.0
Common Stock Payments,0.0,-500000000.0,,
Common Stock Issuance,,,0.0,0.0
Net Issuance Payments Of Debt,0.0,896498000.0,269117000.0,81558000.0
Net Short Term Debt Issuance,,,,0.0
Short Term Debt Payments,,,,0.0
Net Long Term Debt Issuance,0.0,896498000.0,269117000.0,81558000.0
Long Term Debt Payments,0.0,-291941000.0,-43303000.0,-45855000.0
Long Term Debt Issuance,0.0,1188439000.0,312420000.0,127413000.0
Investing Cash Flow,-371906000.0,-1219547000.0,-25568000.0,-14788000.0
Cash Flow From Continuing Investing Activities,-371906000.0,-1219547000.0,-25568000.0,-14788000.0
Net Investment Purchase And Sale,-247301000.0,-899956000.0,-5010000.0,
Sale Of Investment,660129000.0,35000000.0,,
Purchase Of Investment,-907430000.0,-934956000.0,-5010000.0,
Net Business Purchase And Sale,-78162000.0,-267083000.0,-5010000.0,0.0
Sale Of Business,,26569000.0,,
Purchase Of Business,-78162000.0,-293652000.0,-5010000.0,0.0
Net Intangibles Purchase And Sale,0.0,-250000.0,,
Purchase Of Intangibles,0.0,-250000.0,,
Net PPE Purchase And Sale,-46443000.0,-52258000.0,-20558000.0,-14788000.0
Purchase Of PPE,-46443000.0,-52258000.0,-20558000.0,-14788000.0
Operating Cash Flow,744817000.0,352028000.0,216334000.0,139067000.0
Cash Flow From Continuing Operating Activities,744817000.0,352028000.0,216334000.0,139067000.0
Change In Working Capital,62126000.0,15063000.0,-23775000.0,1425000.0
Change In Other Working Capital,122189000.0,78167000.0,-10498000.0,72248000.0
Change In Other Current Liabilities,57773000.0,27016000.0,8815000.0,5804000.0
Change In Payables And Accrued Expense,133416000.0,117183000.0,35695000.0,22200000.0
Change In Accrued Expense,,,,5804000.0
Change In Payable,133416000.0,117183000.0,35695000.0,22200000.0
Change In Account Payable,133416000.0,117183000.0,35695000.0,22200000.0
Change In Prepaid Assets,-68423000.0,-26885000.0,-13758000.0,-14293000.0
Change In Inventory,-75273000.0,-29258000.0,-9708000.0,-15789000.0
Change In Receivables,-107556000.0,-151160000.0,-34321000.0,-68745000.0
Changes In Account Receivables,-107556000.0,-151160000.0,-34321000.0,-68745000.0
Other Non Cash Items,8167000.0,28669000.0,15693000.0,14233000.0
Stock Based Compensation,216802000.0,114286000.0,42503000.0,20176000.0
Unrealized Gain Loss On Investment Securities,-735000.0,-3042000.0,,
Provisionand Write Offof Assets,119000.0,477000.0,425000.0,217000.0
Asset Impairment Charge,1200000.0,0.0,0.0,1124000.0
Amortization Of Securities,-2632000.0,,,
Deferred Tax,3633000.0,-31241000.0,-17117000.0,-73375000.0
Deferred Income Tax,3633000.0,-31241000.0,-17117000.0,-73375000.0
Depreciation Amortization Depletion,58775000.0,32439000.0,17225000.0,14119000.0
Depreciation And Amortization,58775000.0,32439000.0,17225000.0,14119000.0
Operating Gains Losses,,49928000.0,47385000.0,2152000.0
Gain Loss On Investment Securities,,-6569000.0,44348000.0,
Net Income From Continuing Operations,397362000.0,145449000.0,133995000.0,161148000.0
