,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-2277000000.0,-4969000000.0,-3813000000.0,-589000000.0
Repayment Of Debt,-3573000000.0,-1990000000.0,-6440000000.0,-1412000000.0
Issuance Of Debt,8595000000.0,5130000000.0,8168000000.0,2732000000.0
Issuance Of Capital Stock,563000000.0,,,0.0
Capital Expenditure,-7147000000.0,-7981000000.0,-8048000000.0,-7248000000.0
End Cash Position,1090000000.0,1619000000.0,1166000000.0,1122000000.0
Beginning Cash Position,1619000000.0,1166000000.0,1122000000.0,1781000000.0
Changes In Cash,-529000000.0,453000000.0,44000000.0,-659000000.0
Financing Cash Flow,1591000000.0,758000000.0,145000000.0,-58000000.0
Cash Flow From Continuing Financing Activities,1591000000.0,758000000.0,145000000.0,-58000000.0
Net Other Financing Charges,-2696000000.0,-965000000.0,-136000000.0,-82000000.0
Proceeds From Stock Option Exercised,36000000.0,80000000.0,45000000.0,112000000.0
Cash Dividends Paid,-1334000000.0,-1497000000.0,-1492000000.0,-1408000000.0
Common Stock Dividend Paid,-1334000000.0,-1497000000.0,-1492000000.0,-1408000000.0
Net Common Stock Issuance,563000000.0,,,0.0
Common Stock Issuance,563000000.0,,,0.0
Net Issuance Payments Of Debt,5022000000.0,3140000000.0,1728000000.0,1320000000.0
Net Short Term Debt Issuance,786000000.0,1299000000.0,661000000.0,656000000.0
Short Term Debt Payments,-1500000000.0,-350000000.0,0.0,-125000000.0
Short Term Debt Issuance,2286000000.0,1649000000.0,661000000.0,781000000.0
Net Long Term Debt Issuance,4236000000.0,1841000000.0,1067000000.0,664000000.0
Long Term Debt Payments,-2073000000.0,-1640000000.0,-6440000000.0,-1287000000.0
Long Term Debt Issuance,6309000000.0,3481000000.0,7507000000.0,1951000000.0
Investing Cash Flow,-6990000000.0,-3317000000.0,-4336000000.0,-7260000000.0
Cash Flow From Continuing Investing Activities,-6990000000.0,-3317000000.0,-4336000000.0,-7260000000.0
Net Other Investing Changes,185000000.0,4805000000.0,3835000000.0,24000000.0
Net Investment Purchase And Sale,-28000000.0,-141000000.0,-123000000.0,-36000000.0
Sale Of Investment,488000000.0,6532000000.0,3341000000.0,10051000000.0
Purchase Of Investment,-516000000.0,-6673000000.0,-3464000000.0,-10087000000.0
Net Business Purchase And Sale,,0.0,0.0,-41000000.0
Purchase Of Business,,0.0,0.0,-41000000.0
Capital Expenditure Reported,-7147000000.0,-7981000000.0,-8048000000.0,-7248000000.0
Operating Cash Flow,4870000000.0,3012000000.0,4235000000.0,6659000000.0
Cash Flow From Continuing Operating Activities,4870000000.0,3012000000.0,4235000000.0,6659000000.0
Change In Working Capital,-2260000000.0,-4488000000.0,-4553000000.0,-2301000000.0
Change In Other Working Capital,-2231000000.0,-4084000000.0,-5036000000.0,-1546000000.0
Change In Payables And Accrued Expense,1314000000.0,440000000.0,-129000000.0,-425000000.0
Change In Payable,1314000000.0,,,
Change In Account Payable,1318000000.0,,,
Change In Tax Payable,-4000000.0,,,
Change In Income Tax Payable,-4000000.0,,,
Change In Inventory,-121000000.0,-141000000.0,-85000000.0,-87000000.0
Change In Receivables,-1222000000.0,-703000000.0,697000000.0,-243000000.0
Changes In Account Receivables,-1222000000.0,-703000000.0,697000000.0,-243000000.0
Other Non Cash Items,963000000.0,-138000000.0,346000000.0,-262000000.0
Unrealized Gain Loss On Investment Securities,16000000.0,160000000.0,,
Asset Impairment Charge,48000000.0,552000000.0,591000000.0,201000000.0
Deferred Tax,255000000.0,18000000.0,309000000.0,681000000.0
Deferred Income Tax,255000000.0,18000000.0,309000000.0,681000000.0
Depreciation Amortization Depletion,3533000000.0,6434000000.0,6527000000.0,5780000000.0
Depreciation And Amortization,3533000000.0,6434000000.0,6527000000.0,5780000000.0
Amortization Cash Flow,,58000000.0,,
Amortization Of Intangibles,,58000000.0,,
Depreciation,,6376000000.0,6527000000.0,5780000000.0
Operating Gains Losses,144000000.0,-1355000000.0,-939000000.0,-468000000.0
Earnings Losses From Equity Investments,,160000000.0,-186000000.0,
Gain Loss On Investment Securities,152000000.0,-1154000000.0,-729000000.0,-441000000.0
Gain Loss On Sale Of PPE,,-201000000.0,,
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,2171000000.0,1829000000.0,1954000000.0,3028000000.0
