,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2820000000.0,1645000000.0,74000000.0,-968000000.0
Repurchase Of Capital Stock,-1251000000.0,-525000000.0,-137000000.0,-606000000.0
Repayment Of Debt,-7961000000.0,-4193000000.0,-1717000000.0,-3718000000.0
Issuance Of Debt,7704000000.0,3513000000.0,2127000000.0,5819000000.0
Issuance Of Capital Stock,,0.0,0.0,1106000000.0
Capital Expenditure,-3505000000.0,-2299000000.0,-2044000000.0,-3702000000.0
Interest Paid Supplemental Data,135000000.0,,235000000.0,237000000.0
Income Tax Paid Supplemental Data,718000000.0,,,0.0
End Cash Position,164000000.0,672000000.0,108000000.0,123000000.0
Beginning Cash Position,672000000.0,108000000.0,128000000.0,215000000.0
Changes In Cash,-508000000.0,564000000.0,-20000000.0,-92000000.0
Financing Cash Flow,-3503000000.0,-1841000000.0,-37000000.0,2101000000.0
Cash Flow From Continuing Financing Activities,-3503000000.0,-1841000000.0,-37000000.0,2101000000.0
Net Other Financing Charges,-423000000.0,-324000000.0,-74000000.0,-186000000.0
Proceeds From Stock Option Exercised,,,,9000000.0
Cash Dividends Paid,-1572000000.0,-312000000.0,-236000000.0,-112000000.0
Common Stock Dividend Paid,-1572000000.0,-312000000.0,-236000000.0,-112000000.0
Net Common Stock Issuance,-1251000000.0,-525000000.0,-137000000.0,500000000.0
Common Stock Payments,-1251000000.0,-525000000.0,-137000000.0,-606000000.0
Common Stock Issuance,,0.0,0.0,1106000000.0
Net Issuance Payments Of Debt,-257000000.0,-680000000.0,410000000.0,2101000000.0
Net Short Term Debt Issuance,-347000000.0,313000000.0,-348000000.0,-1368000000.0
Short Term Debt Payments,-5551000000.0,-1000000000.0,-1478000000.0,-3718000000.0
Short Term Debt Issuance,5204000000.0,1313000000.0,1130000000.0,2350000000.0
Net Long Term Debt Issuance,90000000.0,-993000000.0,758000000.0,3469000000.0
Long Term Debt Payments,-2410000000.0,-3193000000.0,-239000000.0,0.0
Long Term Debt Issuance,2500000000.0,2200000000.0,997000000.0,3469000000.0
Investing Cash Flow,-3330000000.0,-1539000000.0,-2101000000.0,-3888000000.0
Cash Flow From Continuing Investing Activities,-3330000000.0,-1539000000.0,-2101000000.0,-3888000000.0
Net Other Investing Changes,175000000.0,865000000.0,45000000.0,300000000.0
Dividends Received Cfi,,9000000.0,,
Net Investment Properties Purchase And Sale,,,0.0,-1000000.0
Purchase Of Investment Properties,,,0.0,-1000000.0
Net Business Purchase And Sale,,-114000000.0,-102000000.0,-485000000.0
Purchase Of Business,,-114000000.0,-102000000.0,-485000000.0
Net PPE Purchase And Sale,-3505000000.0,-2299000000.0,-2044000000.0,-3702000000.0
Purchase Of PPE,-3505000000.0,-2299000000.0,-2044000000.0,-3702000000.0
Operating Cash Flow,6325000000.0,3944000000.0,2118000000.0,2734000000.0
Cash Flow From Continuing Operating Activities,6325000000.0,3944000000.0,2118000000.0,2734000000.0
Change In Working Capital,-199000000.0,36000000.0,97000000.0,-172000000.0
Change In Other Working Capital,-16000000.0,-47000000.0,1000000.0,-5000000.0
Change In Payables And Accrued Expense,126000000.0,107000000.0,-61000000.0,1000000.0
Change In Accrued Expense,,,,-5000000.0
Change In Interest Payable,,,,-5000000.0
Change In Payable,126000000.0,107000000.0,-61000000.0,6000000.0
Change In Account Payable,-47000000.0,-41000000.0,-20000000.0,-129000000.0
Change In Tax Payable,17000000.0,,,0.0
Change In Income Tax Payable,17000000.0,,,0.0
Change In Prepaid Assets,21000000.0,20000000.0,2000000.0,29000000.0
Change In Inventory,,,,-10000000.0
Change In Receivables,-330000000.0,-44000000.0,155000000.0,-187000000.0
Changes In Account Receivables,-47000000.0,-196000000.0,217000000.0,-187000000.0
Other Non Cash Items,85000000.0,47000000.0,37000000.0,16000000.0
Stock Based Compensation,55000000.0,51000000.0,37000000.0,48000000.0
Unrealized Gain Loss On Investment Securities,,,,-5000000.0
Asset Impairment Charge,0.0,0.0,6021000000.0,790000000.0
Deferred Tax,720000000.0,606000000.0,-1042000000.0,47000000.0
Deferred Income Tax,720000000.0,606000000.0,-1042000000.0,47000000.0
Depreciation Amortization Depletion,1344000000.0,1275000000.0,1304000000.0,1447000000.0
Depreciation And Amortization,1344000000.0,1275000000.0,,
Depreciation,1344000000.0,1275000000.0,,
Operating Gains Losses,-242000000.0,-347000000.0,336000000.0,243000000.0
Earnings Losses From Equity Investments,-77000000.0,-23000000.0,,6000000.0
Gain Loss On Investment Securities,-264000000.0,-422000000.0,331000000.0,183000000.0
Net Income From Continuing Operations,4562000000.0,2276000000.0,-4672000000.0,315000000.0
