,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1803000000.0,1359000000.0,1428000000.0,1658000000.0
Repayment Of Debt,-3000000.0,-17000000.0,-20000000.0,-63000000.0
Issuance Of Debt,8207000000.0,5000000.0,4000000.0,4000000.0
Capital Expenditure,-310000000.0,-248000000.0,-259000000.0,-331000000.0
Interest Paid Supplemental Data,0.0,21000000.0,46000000.0,73000000.0
End Cash Position,1451000000.0,561000000.0,1012000000.0,869000000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,0.0,0.0
Beginning Cash Position,561000000.0,1012000000.0,869000000.0,834000000.0
Effect Of Exchange Rate Changes,-3000000.0,-34000000.0,14000000.0,-55000000.0
Changes In Cash,893000000.0,-417000000.0,129000000.0,90000000.0
Financing Cash Flow,-822000000.0,-263000000.0,-21544000000.0,-1574000000.0
Cash From Discontinued Financing Activities,0.0,0.0,-19378000000.0,-139000000.0
Cash Flow From Continuing Financing Activities,-822000000.0,-263000000.0,-2166000000.0,-1435000000.0
Net Other Financing Charges,-9026000000.0,-251000000.0,-2150000000.0,-1376000000.0
Net Issuance Payments Of Debt,8204000000.0,-12000000.0,-16000000.0,-59000000.0
Net Short Term Debt Issuance,9000000.0,-2000000.0,-6000000.0,4000000.0
Short Term Debt Payments,,-7000000.0,-10000000.0,0.0
Short Term Debt Issuance,9000000.0,5000000.0,4000000.0,4000000.0
Net Long Term Debt Issuance,8195000000.0,-12000000.0,-16000000.0,-59000000.0
Long Term Debt Payments,-3000000.0,-17000000.0,-20000000.0,-63000000.0
Long Term Debt Issuance,8198000000.0,5000000.0,4000000.0,4000000.0
Investing Cash Flow,-398000000.0,-1761000000.0,19986000000.0,-325000000.0
Cash From Discontinued Investing Activities,0.0,0.0,20309000000.0,-12000000.0
Cash Flow From Continuing Investing Activities,-398000000.0,-1761000000.0,-323000000.0,-313000000.0
Net Other Investing Changes,-92000000.0,-47000000.0,-2000000.0,-34000000.0
Net Business Purchase And Sale,0.0,-1481000000.0,-78000000.0,0.0
Purchase Of Business,0.0,-1481000000.0,-78000000.0,0.0
Net Intangibles Purchase And Sale,0.0,-6000000.0,-22000000.0,-68000000.0
Purchase Of Intangibles,0.0,-6000000.0,-22000000.0,-68000000.0
Net PPE Purchase And Sale,-306000000.0,-227000000.0,-221000000.0,-211000000.0
Sale Of PPE,4000000.0,15000000.0,16000000.0,52000000.0
Purchase Of PPE,-310000000.0,-242000000.0,-237000000.0,-263000000.0
Operating Cash Flow,2113000000.0,1607000000.0,1687000000.0,1989000000.0
Cash From Discontinued Operating Activities,-21000000.0,0.0,-931000000.0,151000000.0
Cash Flow From Continuing Operating Activities,2134000000.0,1607000000.0,2618000000.0,1838000000.0
Taxes Refund Paid,-851000000.0,,,
Change In Working Capital,-256000000.0,-1370000000.0,-52000000.0,-387000000.0
Change In Other Working Capital,138000000.0,-21000000.0,312000000.0,-47000000.0
Change In Payables And Accrued Expense,448000000.0,242000000.0,-207000000.0,124000000.0
Change In Payable,448000000.0,242000000.0,-207000000.0,124000000.0
Change In Account Payable,481000000.0,263000000.0,-113000000.0,-1000000.0
Change In Inventory,-402000000.0,-435000000.0,100000000.0,-173000000.0
Change In Receivables,-440000000.0,-1156000000.0,-257000000.0,-291000000.0
Changes In Account Receivables,-231000000.0,-1336000000.0,-221000000.0,-272000000.0
Other Non Cash Items,96000000.0,-523000000.0,-670000000.0,-525000000.0
Deferred Tax,563000000.0,600000000.0,652000000.0,410000000.0
Deferred Income Tax,563000000.0,600000000.0,652000000.0,410000000.0
Depreciation Amortization Depletion,633000000.0,625000000.0,630000000.0,659000000.0
Depreciation And Amortization,633000000.0,625000000.0,630000000.0,659000000.0
Amortization Cash Flow,405000000.0,400000000.0,408000000.0,434000000.0
Amortization Of Intangibles,405000000.0,400000000.0,408000000.0,434000000.0
Depreciation,228000000.0,225000000.0,222000000.0,225000000.0
Net Income From Continuing Operations,1949000000.0,2275000000.0,2058000000.0,1681000000.0
