,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,60010000000.0,67012000000.0,42843000000.0,30972000000.0
Repurchase Of Capital Stock,-59296000000.0,-50274000000.0,-31149000000.0,-18396000000.0
Repayment Of Debt,-54068000000.0,-21435000000.0,-2100000000.0,-585000000.0
Issuance Of Debt,52872000000.0,20199000000.0,11761000000.0,317000000.0
Capital Expenditure,-31485000000.0,-24640000000.0,-22281000000.0,-23548000000.0
Income Tax Paid Supplemental Data,18892000000.0,13412000000.0,4990000000.0,8203000000.0
End Cash Position,21879000000.0,20945000000.0,26465000000.0,18498000000.0
Beginning Cash Position,20945000000.0,26465000000.0,18498000000.0,16701000000.0
Effect Of Exchange Rate Changes,-506000000.0,-287000000.0,24000000.0,-23000000.0
Changes In Cash,1440000000.0,-5233000000.0,7943000000.0,1820000000.0
Financing Cash Flow,-69757000000.0,-61362000000.0,-24408000000.0,-23209000000.0
Cash Flow From Continuing Financing Activities,-69757000000.0,-61362000000.0,-24408000000.0,-23209000000.0
Net Other Financing Charges,35000000.0,310000000.0,2800000000.0,220000000.0
Proceeds From Stock Option Exercised,-9300000000.0,-10162000000.0,-5720000000.0,-4765000000.0
Net Common Stock Issuance,-59296000000.0,-50274000000.0,-31149000000.0,-18396000000.0
Common Stock Payments,-59296000000.0,-50274000000.0,-31149000000.0,-18396000000.0
Net Issuance Payments Of Debt,-1196000000.0,-1236000000.0,9661000000.0,-268000000.0
Net Long Term Debt Issuance,-1196000000.0,-1236000000.0,9661000000.0,-268000000.0
Long Term Debt Payments,-54068000000.0,-21435000000.0,-2100000000.0,-585000000.0
Long Term Debt Issuance,52872000000.0,20199000000.0,11761000000.0,317000000.0
Investing Cash Flow,-20298000000.0,-35523000000.0,-32773000000.0,-29491000000.0
Cash Flow From Continuing Investing Activities,-20298000000.0,-35523000000.0,-32773000000.0,-29491000000.0
Net Other Investing Changes,1589000000.0,541000000.0,68000000.0,589000000.0
Net Investment Purchase And Sale,16567000000.0,-8806000000.0,-9822000000.0,-4017000000.0
Sale Of Investment,97972000000.0,129228000000.0,133929000000.0,98230000000.0
Purchase Of Investment,-81405000000.0,-138034000000.0,-143751000000.0,-102247000000.0
Net Business Purchase And Sale,-6969000000.0,-2618000000.0,-738000000.0,-2515000000.0
Purchase Of Business,-6969000000.0,-2618000000.0,-738000000.0,-2515000000.0
Net Intangibles Purchase And Sale,,,,-2515000000.0
Purchase Of Intangibles,,,,-2515000000.0
Net PPE Purchase And Sale,-31485000000.0,-24640000000.0,-22281000000.0,-23548000000.0
Purchase Of PPE,-31485000000.0,-24640000000.0,-22281000000.0,-23548000000.0
Operating Cash Flow,91495000000.0,91652000000.0,65124000000.0,54520000000.0
Cash Flow From Continuing Operating Activities,91495000000.0,91652000000.0,65124000000.0,54520000000.0
Change In Working Capital,-2235000000.0,-1523000000.0,1827000000.0,819000000.0
Change In Other Working Capital,951000000.0,149000000.0,1844000000.0,-3091000000.0
Change In Other Current Assets,-5046000000.0,-1846000000.0,-1330000000.0,-621000000.0
Change In Payables And Accrued Expense,4177000000.0,9269000000.0,7837000000.0,8871000000.0
Change In Accrued Expense,3470000000.0,8986000000.0,7143000000.0,8443000000.0
Change In Payable,707000000.0,283000000.0,694000000.0,428000000.0
Change In Account Payable,707000000.0,283000000.0,694000000.0,428000000.0
Change In Receivables,-2317000000.0,-9095000000.0,-6524000000.0,-4340000000.0
Changes In Account Receivables,-2317000000.0,-9095000000.0,-6524000000.0,-4340000000.0
Other Non Cash Items,1030000000.0,-213000000.0,1267000000.0,-592000000.0
Stock Based Compensation,19362000000.0,15376000000.0,12991000000.0,10794000000.0
Deferred Tax,-8081000000.0,1808000000.0,1390000000.0,173000000.0
Deferred Income Tax,-8081000000.0,1808000000.0,1390000000.0,173000000.0
Depreciation Amortization Depletion,15928000000.0,12441000000.0,13697000000.0,11781000000.0
Depreciation And Amortization,15928000000.0,12441000000.0,13697000000.0,11781000000.0
Amortization Cash Flow,641000000.0,886000000.0,792000000.0,925000000.0
Amortization Of Intangibles,641000000.0,886000000.0,792000000.0,925000000.0
Depreciation,15287000000.0,11555000000.0,12905000000.0,10856000000.0
Operating Gains Losses,5519000000.0,-12270000000.0,-6317000000.0,-2798000000.0
Gain Loss On Investment Securities,5519000000.0,-12270000000.0,-6317000000.0,-2798000000.0
Net Income From Continuing Operations,59972000000.0,76033000000.0,40269000000.0,34343000000.0
