,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,4508000000.0,5143000000.0,5302000000.0,6058000000.0
Repurchase Of Capital Stock,-4200000000.0,-3380000000.0,-3714000000.0,-4400000000.0
Repayment Of Debt,-10297000000.0,-10107000000.0,-14708000000.0,-17102000000.0
Issuance Of Debt,10614000000.0,7711000000.0,20599000000.0,16925000000.0
Issuance Of Capital Stock,320000000.0,229000000.0,393000000.0,498000000.0
Capital Expenditure,-766000000.0,-895000000.0,-906000000.0,-839000000.0
Interest Paid Supplemental Data,375000000.0,339000000.0,329000000.0,344000000.0
Income Tax Paid Supplemental Data,1324000000.0,1202000000.0,1173000000.0,1564000000.0
End Cash Position,9627000000.0,10959000000.0,14275000000.0,9067000000.0
Beginning Cash Position,10959000000.0,14275000000.0,9067000000.0,9287000000.0
Effect Of Exchange Rate Changes,-183000000.0,-39000000.0,68000000.0,16000000.0
Changes In Cash,-1149000000.0,-3277000000.0,5140000000.0,-236000000.0
Financing Cash Flow,-6330000000.0,-8254000000.0,-81000000.0,-6600000000.0
Cash Flow From Continuing Financing Activities,-6330000000.0,-8254000000.0,-81000000.0,-6600000000.0
Net Other Financing Charges,-48000000.0,-81000000.0,-59000000.0,-79000000.0
Cash Dividends Paid,-2719000000.0,-2626000000.0,-2592000000.0,-2442000000.0
Common Stock Dividend Paid,-2719000000.0,-2626000000.0,-2592000000.0,-2442000000.0
Net Common Stock Issuance,-3880000000.0,-3151000000.0,-3321000000.0,-3902000000.0
Common Stock Payments,-4200000000.0,-3380000000.0,-3714000000.0,-4400000000.0
Common Stock Issuance,320000000.0,229000000.0,393000000.0,498000000.0
Net Issuance Payments Of Debt,317000000.0,-2396000000.0,5891000000.0,-177000000.0
Net Short Term Debt Issuance,-786000000.0,4000000.0,74000000.0,0.0
Short Term Debt Payments,-8447000000.0,-5190000000.0,-10400000000.0,-14199000000.0
Short Term Debt Issuance,7661000000.0,5194000000.0,10474000000.0,14199000000.0
Net Long Term Debt Issuance,1103000000.0,-2400000000.0,5817000000.0,-177000000.0
Long Term Debt Payments,-1850000000.0,-4917000000.0,-4308000000.0,-2903000000.0
Long Term Debt Issuance,2953000000.0,2517000000.0,10125000000.0,2726000000.0
Investing Cash Flow,-93000000.0,-1061000000.0,-987000000.0,-533000000.0
Cash Flow From Continuing Investing Activities,-93000000.0,-1061000000.0,-987000000.0,-533000000.0
Net Other Investing Changes,409000000.0,586000000.0,,102000000.0
Net Investment Purchase And Sale,413000000.0,344000000.0,123000000.0,211000000.0
Sale Of Investment,1624000000.0,2717000000.0,3508000000.0,4464000000.0
Purchase Of Investment,-1211000000.0,-2373000000.0,-3385000000.0,-4253000000.0
Net Business Purchase And Sale,-178000000.0,-1123000000.0,-261000000.0,-50000000.0
Sale Of Business,0.0,203000000.0,,
Purchase Of Business,-178000000.0,-1326000000.0,-261000000.0,-50000000.0
Net PPE Purchase And Sale,29000000.0,27000000.0,57000000.0,43000000.0
Sale Of PPE,29000000.0,27000000.0,57000000.0,43000000.0
Purchase Of PPE,,,-906000000.0,-839000000.0
Capital Expenditure Reported,-766000000.0,-895000000.0,-906000000.0,-839000000.0
Operating Cash Flow,5274000000.0,6038000000.0,6208000000.0,6897000000.0
Cash Flow From Continuing Operating Activities,5274000000.0,6038000000.0,6208000000.0,6897000000.0
Change In Working Capital,-745000000.0,288000000.0,1363000000.0,44000000.0
Change In Other Current Assets,232000000.0,-276000000.0,191000000.0,-430000000.0
Change In Payables And Accrued Expense,202000000.0,1257000000.0,570000000.0,563000000.0
Change In Accrued Expense,357000000.0,513000000.0,555000000.0,445000000.0
Change In Payable,-155000000.0,744000000.0,15000000.0,118000000.0
Change In Account Payable,-155000000.0,744000000.0,15000000.0,118000000.0
Change In Inventory,-440000000.0,-685000000.0,-67000000.0,-100000000.0
Change In Receivables,-739000000.0,-8000000.0,669000000.0,11000000.0
Changes In Account Receivables,-739000000.0,-8000000.0,669000000.0,11000000.0
Other Non Cash Items,372000000.0,-262000000.0,-131000000.0,-195000000.0
Stock Based Compensation,188000000.0,217000000.0,168000000.0,153000000.0
Deferred Tax,-180000000.0,178000000.0,-175000000.0,179000000.0
Deferred Income Tax,-180000000.0,178000000.0,-175000000.0,179000000.0
Depreciation Amortization Depletion,1204000000.0,1223000000.0,1002000000.0,1088000000.0
Depreciation And Amortization,1204000000.0,1223000000.0,1002000000.0,1088000000.0
Amortization Cash Flow,547000000.0,549000000.0,358000000.0,415000000.0
Amortization Of Intangibles,547000000.0,549000000.0,358000000.0,415000000.0
Depreciation,657000000.0,674000000.0,644000000.0,673000000.0
Operating Gains Losses,-532000000.0,-1216000000.0,-798000000.0,-515000000.0
Pension And Employee Benefit Expense,-510000000.0,-1114000000.0,-798000000.0,-516000000.0
Gain Loss On Sale Of Business,-22000000.0,-102000000.0,,1000000.0
Net Income From Continuing Operations,4967000000.0,5610000000.0,4779000000.0,6143000000.0
