,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,394146000.0,635997000.0,540437000.0,303934000.0
Repurchase Of Capital Stock,-830317000.0,-762339000.0,-203418000.0,-309711000.0
Repayment Of Debt,-75000000.0,-50000000.0,-289625000.0,-110275000.0
Issuance Of Debt,505500000.0,73500000.0,200000000.0,100000000.0
Capital Expenditure,-148838000.0,-119549000.0,-107626000.0,-155224000.0
End Cash Position,112546000.0,144454000.0,383928000.0,90326000.0
Beginning Cash Position,144454000.0,383928000.0,90326000.0,123794000.0
Effect Of Exchange Rate Changes,-8606000.0,-4639000.0,3331000.0,-689000.0
Changes In Cash,-23302000.0,-234835000.0,290271000.0,-32779000.0
Financing Cash Flow,-370936000.0,-697414000.0,-248416000.0,-286409000.0
Cash Flow From Continuing Financing Activities,-370936000.0,-697414000.0,-248416000.0,-286409000.0
Net Other Financing Charges,-6866000.0,-5140000.0,-6701000.0,-2529000.0
Proceeds From Stock Option Exercised,35747000.0,46565000.0,51328000.0,36106000.0
Net Common Stock Issuance,-830317000.0,-762339000.0,-203418000.0,-309711000.0
Common Stock Payments,-830317000.0,-762339000.0,-203418000.0,-309711000.0
Net Issuance Payments Of Debt,430500000.0,23500000.0,-89625000.0,-10275000.0
Net Short Term Debt Issuance,505500000.0,73500000.0,-289625000.0,-110275000.0
Short Term Debt Payments,,,-289625000.0,-110275000.0
Short Term Debt Issuance,505500000.0,73500000.0,,
Net Long Term Debt Issuance,-75000000.0,-50000000.0,200000000.0,100000000.0
Long Term Debt Payments,-75000000.0,-50000000.0,,
Long Term Debt Issuance,0.0,0.0,200000000.0,100000000.0
Investing Cash Flow,-195350000.0,-292967000.0,-109376000.0,-205528000.0
Cash Flow From Continuing Investing Activities,-195350000.0,-292967000.0,-109376000.0,-205528000.0
Net Business Purchase And Sale,-46512000.0,-173418000.0,-1750000.0,-50304000.0
Purchase Of Business,-46512000.0,-173418000.0,-1750000.0,-50304000.0
Net Intangibles Purchase And Sale,-10000000.0,0.0,-668000.0,-255000.0
Purchase Of Intangibles,-10000000.0,0.0,-668000.0,-255000.0
Net PPE Purchase And Sale,-148838000.0,-119549000.0,-106958000.0,-154969000.0
Purchase Of PPE,-148838000.0,-119549000.0,-106958000.0,-154969000.0
Operating Cash Flow,542984000.0,755546000.0,648063000.0,459158000.0
Cash Flow From Continuing Operating Activities,542984000.0,755546000.0,648063000.0,459158000.0
Change In Working Capital,-273530000.0,-137523000.0,-31761000.0,-104969000.0
Change In Other Working Capital,-113868000.0,-62696000.0,46865000.0,-47148000.0
Change In Payables And Accrued Expense,3467000.0,11233000.0,981000.0,1957000.0
Change In Payable,3467000.0,11233000.0,981000.0,1957000.0
Change In Account Payable,3467000.0,11233000.0,981000.0,1957000.0
Change In Inventory,-121731000.0,-52919000.0,-18885000.0,-37306000.0
Change In Receivables,-41398000.0,-33141000.0,-60722000.0,-22472000.0
Changes In Account Receivables,-41398000.0,-33141000.0,-60722000.0,-22472000.0
Other Non Cash Items,137425000.0,148225000.0,97693000.0,136335000.0
Stock Based Compensation,49770000.0,37755000.0,30951000.0,39278000.0
Provisionand Write Offof Assets,5829000.0,1484000.0,4946000.0,662000.0
Asset Impairment Charge,2346000.0,5148000.0,2501000.0,968000.0
Deferred Tax,-35065000.0,-3377000.0,-38082000.0,6162000.0
Deferred Income Tax,-35065000.0,-3377000.0,-38082000.0,6162000.0
Depreciation Amortization Depletion,111900000.0,104596000.0,95998000.0,88011000.0
Depreciation And Amortization,111900000.0,104596000.0,95998000.0,88011000.0
Net Income From Continuing Operations,679089000.0,744844000.0,582131000.0,427792000.0
