,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,392000000.0,545000000.0,1080000000.0,1051000000.0
Repurchase Of Capital Stock,0.0,0.0,-736000000.0,-324000000.0
Repayment Of Debt,0.0,-517000000.0,0.0,-550000000.0
Issuance Of Debt,991000000.0,988000000.0,0.0,0.0
Issuance Of Capital Stock,63000000.0,60000000.0,61000000.0,59000000.0
Capital Expenditure,-466000000.0,-208000000.0,-189000000.0,-209000000.0
Income Tax Paid Supplemental Data,122000000.0,233000000.0,119000000.0,164000000.0
End Cash Position,2011000000.0,1232000000.0,1810000000.0,2042000000.0
Beginning Cash Position,1232000000.0,1810000000.0,2042000000.0,1144000000.0
Effect Of Exchange Rate Changes,-22000000.0,-3000000.0,8000000.0,-1000000.0
Changes In Cash,801000000.0,-575000000.0,-240000000.0,899000000.0
Financing Cash Flow,1000000000.0,-51000000.0,-766000000.0,-897000000.0
Cash Flow From Continuing Financing Activities,1000000000.0,-51000000.0,-766000000.0,-897000000.0
Net Other Financing Charges,-54000000.0,-582000000.0,-91000000.0,-82000000.0
Net Common Stock Issuance,63000000.0,60000000.0,-675000000.0,-265000000.0
Common Stock Payments,0.0,0.0,-736000000.0,-324000000.0
Common Stock Issuance,63000000.0,60000000.0,61000000.0,59000000.0
Net Issuance Payments Of Debt,991000000.0,471000000.0,0.0,-550000000.0
Net Long Term Debt Issuance,991000000.0,471000000.0,0.0,-550000000.0
Long Term Debt Payments,0.0,-517000000.0,0.0,-550000000.0
Long Term Debt Issuance,991000000.0,988000000.0,0.0,0.0
Investing Cash Flow,-591000000.0,-1069000000.0,-554000000.0,745000000.0
Cash Flow From Continuing Investing Activities,-591000000.0,-1069000000.0,-554000000.0,745000000.0
Net Other Investing Changes,,,-132000000.0,
Net Investment Purchase And Sale,-40000000.0,1583000000.0,-135000000.0,986000000.0
Sale Of Investment,0.0,1712000000.0,1791000000.0,2016000000.0
Purchase Of Investment,-40000000.0,-129000000.0,-1926000000.0,-1030000000.0
Net Business Purchase And Sale,-85000000.0,-2444000000.0,-98000000.0,-32000000.0
Sale Of Business,,0.0,0.0,15000000.0
Purchase Of Business,-85000000.0,-2444000000.0,-98000000.0,-47000000.0
Net Intangibles Purchase And Sale,-180000000.0,,,0.0
Purchase Of Intangibles,-180000000.0,,,0.0
Net PPE Purchase And Sale,-286000000.0,-208000000.0,-189000000.0,-209000000.0
Purchase Of PPE,-286000000.0,-208000000.0,-189000000.0,-209000000.0
Operating Cash Flow,392000000.0,545000000.0,1080000000.0,1051000000.0
Cash Flow From Continuing Operating Activities,392000000.0,545000000.0,1080000000.0,1051000000.0
Change In Working Capital,204000000.0,-152000000.0,73000000.0,-194000000.0
Change In Other Working Capital,-8000000.0,-13000000.0,-11000000.0,-5000000.0
Change In Other Current Liabilities,-19000000.0,13000000.0,27000000.0,-33000000.0
Change In Other Current Assets,19000000.0,-27000000.0,-33000000.0,-30000000.0
Change In Payables And Accrued Expense,343000000.0,161000000.0,33000000.0,-79000000.0
Change In Accrued Expense,381000000.0,101000000.0,-7000000.0,-44000000.0
Change In Payable,-38000000.0,60000000.0,40000000.0,-35000000.0
Change In Account Payable,-38000000.0,60000000.0,40000000.0,-35000000.0
Change In Prepaid Assets,16000000.0,-64000000.0,-20000000.0,-14000000.0
Change In Inventory,-135000000.0,-58000000.0,-12000000.0,25000000.0
Change In Receivables,-12000000.0,-164000000.0,89000000.0,-58000000.0
Changes In Account Receivables,-12000000.0,-164000000.0,89000000.0,-58000000.0
Other Non Cash Items,-181000000.0,-51000000.0,7000000.0,-31000000.0
Stock Based Compensation,366000000.0,754000000.0,194000000.0,194000000.0
Unrealized Gain Loss On Investment Securities,,,-270000000.0,-53000000.0
Asset Impairment Charge,3914000000.0,,,0.0
Deferred Tax,-23000000.0,-76000000.0,117000000.0,11000000.0
Deferred Income Tax,-23000000.0,-76000000.0,117000000.0,11000000.0
Depreciation Amortization Depletion,394000000.0,251000000.0,187000000.0,188000000.0
Depreciation And Amortization,394000000.0,251000000.0,187000000.0,188000000.0
Amortization Cash Flow,179000000.0,75000000.0,31000000.0,37000000.0
Amortization Of Intangibles,179000000.0,75000000.0,31000000.0,37000000.0
Depreciation,215000000.0,176000000.0,156000000.0,151000000.0
Operating Gains Losses,122000000.0,-943000000.0,116000000.0,-54000000.0
Earnings Losses From Equity Investments,0.0,-899000000.0,,
Gain Loss On Investment Securities,122000000.0,-44000000.0,116000000.0,
Gain Loss On Sale Of Business,,0.0,0.0,-54000000.0
Net Income From Continuing Operations,-4404000000.0,762000000.0,656000000.0,990000000.0
