,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-9617000000.0,9662000000.0,20931000000.0,16932000000.0
Repurchase Of Capital Stock,0.0,-2415000000.0,-14229000000.0,-13576000000.0
Repayment Of Debt,-5329000000.0,-2500000000.0,-4525000000.0,-2627000000.0
Issuance Of Debt,10493000000.0,4974000000.0,10247000000.0,3392000000.0
Issuance Of Capital Stock,1032000000.0,,,
Capital Expenditure,-25050000000.0,-20329000000.0,-14453000000.0,-16213000000.0
Interest Paid Supplemental Data,459000000.0,545000000.0,594000000.0,469000000.0
Income Tax Paid Supplemental Data,4282000000.0,2263000000.0,2436000000.0,2110000000.0
End Cash Position,11144000000.0,4827000000.0,5865000000.0,4194000000.0
Beginning Cash Position,4827000000.0,5865000000.0,4194000000.0,3019000000.0
Changes In Cash,6317000000.0,-1038000000.0,1671000000.0,1175000000.0
Financing Cash Flow,1361000000.0,-5862000000.0,-12917000000.0,-17565000000.0
Cash Flow From Continuing Financing Activities,1361000000.0,-5862000000.0,-12917000000.0,-17565000000.0
Net Other Financing Charges,185000000.0,-1297000000.0,261000000.0,72000000.0
Proceeds From Stock Option Exercised,977000000.0,1020000000.0,897000000.0,750000000.0
Cash Dividends Paid,-5997000000.0,-5644000000.0,-5568000000.0,-5576000000.0
Common Stock Dividend Paid,-5997000000.0,,-5568000000.0,-5576000000.0
Net Common Stock Issuance,1032000000.0,-2415000000.0,-14229000000.0,-13576000000.0
Common Stock Payments,0.0,-2415000000.0,-14229000000.0,-13576000000.0
Common Stock Issuance,1032000000.0,,,
Net Issuance Payments Of Debt,5164000000.0,2474000000.0,5722000000.0,765000000.0
Net Short Term Debt Issuance,3945000000.0,,,
Short Term Debt Issuance,3945000000.0,,,
Net Long Term Debt Issuance,1219000000.0,2474000000.0,5722000000.0,765000000.0
Long Term Debt Payments,-5329000000.0,-2500000000.0,-4525000000.0,-2627000000.0
Long Term Debt Issuance,6548000000.0,4974000000.0,10247000000.0,3392000000.0
Investing Cash Flow,-10477000000.0,-25167000000.0,-20796000000.0,-14405000000.0
Cash Flow From Continuing Investing Activities,-10477000000.0,-25167000000.0,-20796000000.0,-14405000000.0
Net Other Investing Changes,-1540000000.0,658000000.0,1262000000.0,715000000.0
Net Investment Purchase And Sale,9534000000.0,-5287000000.0,-6891000000.0,2140000000.0
Sale Of Investment,53691000000.0,35880000000.0,23068000000.0,14092000000.0
Purchase Of Investment,-44157000000.0,-41167000000.0,-29959000000.0,-11952000000.0
Net Business Purchase And Sale,6579000000.0,-209000000.0,-714000000.0,-1047000000.0
Sale Of Business,6579000000.0,,123000000.0,911000000.0
Purchase Of Business,-510000000.0,-209000000.0,-837000000.0,-1958000000.0
Net PPE Purchase And Sale,-25050000000.0,-20329000000.0,-14453000000.0,-16213000000.0
Purchase Of PPE,-25050000000.0,-20329000000.0,-14453000000.0,-16213000000.0
Operating Cash Flow,15433000000.0,29991000000.0,35384000000.0,33145000000.0
Cash Flow From Continuing Operating Activities,15433000000.0,29991000000.0,35384000000.0,33145000000.0
Change In Working Capital,-4508000000.0,-4873000000.0,2179000000.0,1148000000.0
Change In Other Working Capital,-2835000000.0,-1050000000.0,1571000000.0,2868000000.0
Change In Payables And Accrued Expense,-4564000000.0,1190000000.0,412000000.0,696000000.0
Change In Payable,-4564000000.0,1190000000.0,412000000.0,696000000.0
Change In Account Payable,-29000000.0,1190000000.0,412000000.0,696000000.0
Change In Tax Payable,-4535000000.0,,,
Change In Income Tax Payable,-4535000000.0,,,
Change In Prepaid Assets,-24000000.0,-1583000000.0,-181000000.0,
Change In Inventory,-2436000000.0,-2339000000.0,-687000000.0,-1481000000.0
Change In Receivables,5327000000.0,-2674000000.0,883000000.0,-935000000.0
Changes In Account Receivables,5327000000.0,-2674000000.0,883000000.0,-935000000.0
Other Non Cash Items,1074000000.0,2626000000.0,,
Stock Based Compensation,3128000000.0,2036000000.0,1854000000.0,1705000000.0
Depreciation Amortization Depletion,13035000000.0,11792000000.0,12239000000.0,10826000000.0
Depreciation And Amortization,13035000000.0,11792000000.0,12239000000.0,10826000000.0
Amortization Cash Flow,1907000000.0,1839000000.0,1757000000.0,1622000000.0
Amortization Of Intangibles,1907000000.0,1839000000.0,1757000000.0,1622000000.0
Depreciation,11128000000.0,9953000000.0,10482000000.0,9204000000.0
Operating Gains Losses,-5313000000.0,-1458000000.0,-1787000000.0,-1582000000.0
Earnings Losses From Equity Investments,,,-1757000000.0,-892000000.0
Gain Loss On Investment Securities,-4254000000.0,-1458000000.0,-1757000000.0,-892000000.0
Gain Loss On Sale Of Business,-1059000000.0,,-30000000.0,-690000000.0
Net Income From Continuing Operations,8017000000.0,19868000000.0,20899000000.0,21048000000.0
