,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,4786000000.0,3660000000.0,3125000000.0,2277000000.0
Repurchase Of Capital Stock,-1967000000.0,-1861000000.0,-1005000000.0,-323000000.0
Repayment Of Debt,-1032000000.0,0.0,-1338000000.0,-50000000.0
Issuance Of Debt,222000000.0,4882000000.0,0.0,2983000000.0
Capital Expenditure,-260000000.0,-229000000.0,-125000000.0,-137000000.0
Interest Paid Supplemental Data,272000000.0,67000000.0,30000000.0,14000000.0
Income Tax Paid Supplemental Data,484000000.0,303000000.0,578000000.0,493000000.0
End Cash Position,2852000000.0,2997000000.0,2819000000.0,6697000000.0
Beginning Cash Position,2997000000.0,2819000000.0,6697000000.0,2352000000.0
Effect Of Exchange Rate Changes,0.0,-22000000.0,13000000.0,-6000000.0
Changes In Cash,-145000000.0,200000000.0,-3891000000.0,4351000000.0
Financing Cash Flow,-4269000000.0,1732000000.0,-3176000000.0,2034000000.0
Cash Flow From Continuing Financing Activities,-4269000000.0,1732000000.0,-3176000000.0,2034000000.0
Net Other Financing Charges,-831000000.0,-677000000.0,-383000000.0,-226000000.0
Proceeds From Stock Option Exercised,228000000.0,162000000.0,196000000.0,211000000.0
Cash Dividends Paid,-889000000.0,-774000000.0,-646000000.0,-561000000.0
Common Stock Dividend Paid,-889000000.0,-774000000.0,-646000000.0,-561000000.0
Net Common Stock Issuance,-1967000000.0,-1861000000.0,-1005000000.0,-323000000.0
Common Stock Payments,-1967000000.0,-1861000000.0,-1005000000.0,-323000000.0
Net Issuance Payments Of Debt,-810000000.0,4882000000.0,-1338000000.0,2933000000.0
Net Short Term Debt Issuance,199000000.0,0.0,-1000000000.0,1000000000.0
Short Term Debt Payments,-23000000.0,0.0,-1000000000.0,
Short Term Debt Issuance,222000000.0,182000000.0,0.0,1000000000.0
Net Long Term Debt Issuance,-810000000.0,4882000000.0,-338000000.0,2933000000.0
Long Term Debt Payments,-1032000000.0,0.0,-338000000.0,-50000000.0
Long Term Debt Issuance,222000000.0,4882000000.0,0.0,2983000000.0
Investing Cash Flow,-922000000.0,-5421000000.0,-3965000000.0,-97000000.0
Cash Flow From Continuing Investing Activities,-922000000.0,-5421000000.0,-3965000000.0,-97000000.0
Net Other Investing Changes,-303000000.0,-438000000.0,-66000000.0,15000000.0
Net Investment Purchase And Sale,-326000000.0,928000000.0,-710000000.0,25000000.0
Sale Of Investment,689000000.0,1758000000.0,779000000.0,726000000.0
Purchase Of Investment,-1015000000.0,-830000000.0,-1489000000.0,-701000000.0
Net Business Purchase And Sale,-33000000.0,-5682000000.0,-3064000000.0,0.0
Purchase Of Business,-33000000.0,-5682000000.0,-3064000000.0,0.0
Net PPE Purchase And Sale,-260000000.0,-229000000.0,-125000000.0,-137000000.0
Purchase Of PPE,-260000000.0,-229000000.0,-125000000.0,-137000000.0
Capital Expenditure Reported,-50000000.0,-72000000.0,-72000000.0,-78000000.0
Operating Cash Flow,5046000000.0,3889000000.0,3250000000.0,2414000000.0
Cash Flow From Continuing Operating Activities,5046000000.0,3889000000.0,3250000000.0,2414000000.0
Change In Working Capital,601000000.0,-436000000.0,-11000000.0,132000000.0
Change In Other Working Capital,199000000.0,-286000000.0,-48000000.0,138000000.0
Change In Other Current Liabilities,-222000000.0,68000000.0,-44000000.0,-2000000.0
Change In Payables And Accrued Expense,593000000.0,-95000000.0,206000000.0,33000000.0
Change In Payable,593000000.0,-95000000.0,206000000.0,33000000.0
Change In Account Payable,-97000000.0,-95000000.0,206000000.0,33000000.0
Change In Tax Payable,690000000.0,,,
Change In Income Tax Payable,690000000.0,,,
Change In Prepaid Assets,-75000000.0,-121000000.0,30000000.0,-31000000.0
Change In Receivables,106000000.0,-2000000.0,-155000000.0,-6000000.0
Changes In Account Receivables,42000000.0,-31000000.0,-104000000.0,-59000000.0
Other Non Cash Items,171000000.0,85000000.0,125000000.0,-18000000.0
Stock Based Compensation,1712000000.0,1308000000.0,753000000.0,435000000.0
Deferred Tax,-628000000.0,120000000.0,-42000000.0,-179000000.0
Deferred Income Tax,-628000000.0,120000000.0,-42000000.0,-179000000.0
Depreciation Amortization Depletion,806000000.0,746000000.0,363000000.0,218000000.0
Depreciation And Amortization,806000000.0,746000000.0,363000000.0,218000000.0
Amortization Cash Flow,646000000.0,559000000.0,197000000.0,29000000.0
Amortization Of Intangibles,646000000.0,559000000.0,197000000.0,29000000.0
Depreciation,160000000.0,187000000.0,166000000.0,189000000.0
Gain Loss On Sale Of PPE,,,,0.0
Net Income From Continuing Operations,2384000000.0,2066000000.0,2062000000.0,1826000000.0
