,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,958400000.0,1735900000.0,1143300000.0,1172600000.0
Repurchase Of Capital Stock,-2607400000.0,0.0,-134300000.0,-269500000.0
Capital Expenditure,-532400000.0,-353500000.0,-341500000.0,-425600000.0
End Cash Position,1600700000.0,1306000000.0,1638500000.0,1182600000.0
Beginning Cash Position,1306000000.0,1638500000.0,1182600000.0,909400000.0
Effect Of Exchange Rate Changes,5400000.0,-3400000.0,-2600000.0,-2200000.0
Changes In Cash,289300000.0,-329100000.0,458500000.0,275400000.0
Financing Cash Flow,-2572300000.0,43000000.0,-85700000.0,-168400000.0
Cash Flow From Continuing Financing Activities,-2572300000.0,43000000.0,-85700000.0,-168400000.0
Net Other Financing Charges,-198700000.0,-233500000.0,-260200000.0,-171700000.0
Proceeds From Stock Option Exercised,233800000.0,276500000.0,308800000.0,272800000.0
Net Common Stock Issuance,-2607400000.0,0.0,-134300000.0,-269500000.0
Common Stock Payments,-2607400000.0,0.0,-134300000.0,-269500000.0
Investing Cash Flow,1370800000.0,-2461500000.0,-940600000.0,-1154400000.0
Cash Flow From Continuing Investing Activities,1370800000.0,-2461500000.0,-940600000.0,-1154400000.0
Net Investment Purchase And Sale,1916000000.0,-2099300000.0,-561400000.0,-669100000.0
Sale Of Investment,3315500000.0,4352700000.0,3731500000.0,2677100000.0
Purchase Of Investment,-1399500000.0,-6452000000.0,-4292900000.0,-3346200000.0
Net Business Purchase And Sale,-12800000.0,-8700000.0,-37700000.0,-59700000.0
Purchase Of Business,-12800000.0,-8700000.0,-37700000.0,-59700000.0
Net PPE Purchase And Sale,-532400000.0,-353500000.0,-341500000.0,-425600000.0
Purchase Of PPE,-532400000.0,-353500000.0,-341500000.0,-425600000.0
Capital Expenditure Reported,,,-341500000.0,-425600000.0
Operating Cash Flow,1490800000.0,2089400000.0,1484800000.0,1598200000.0
Cash Flow From Continuing Operating Activities,1490800000.0,2089400000.0,1484800000.0,1598200000.0
Change In Working Capital,-619100000.0,-368100000.0,-273200000.0,-321500000.0
Change In Other Working Capital,73000000.0,147700000.0,-1600000.0,92900000.0
Change In Other Current Liabilities,121700000.0,51400000.0,36900000.0,11900000.0
Change In Payables And Accrued Expense,21300000.0,36000000.0,-32300000.0,12300000.0
Change In Payable,21300000.0,36000000.0,-32300000.0,12300000.0
Change In Account Payable,21300000.0,36000000.0,-32300000.0,12300000.0
Change In Prepaid Assets,-129200000.0,-204900000.0,-111800000.0,-116900000.0
Change In Inventory,-546600000.0,-256000000.0,-170100000.0,-360500000.0
Change In Receivables,-159300000.0,-142300000.0,5700000.0,38800000.0
Changes In Account Receivables,-159300000.0,-142300000.0,5700000.0,38800000.0
Other Non Cash Items,26600000.0,22000000.0,17100000.0,13100000.0
Stock Based Compensation,513200000.0,449200000.0,395400000.0,335800000.0
Deferred Tax,-185300000.0,-62600000.0,57600000.0,-8000000.0
Deferred Income Tax,-185300000.0,-62600000.0,57600000.0,-8000000.0
Depreciation Amortization Depletion,365800000.0,310200000.0,276200000.0,203000000.0
Depreciation And Amortization,365800000.0,310200000.0,276200000.0,203000000.0
Amortization Cash Flow,27800000.0,27400000.0,49800000.0,43000000.0
Amortization Of Intangibles,27800000.0,27400000.0,49800000.0,43000000.0
Depreciation,338000000.0,282800000.0,226400000.0,160000000.0
Operating Gains Losses,45200000.0,10600000.0,-55100000.0,-6000000.0
Gain Loss On Investment Securities,49000000.0,10600000.0,-55100000.0,-6000000.0
Gain Loss On Sale Of Business,-3800000.0,,,
Net Income From Continuing Operations,1344400000.0,1728100000.0,1066800000.0,1381800000.0
