,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2458000000.0,2419000000.0,1939000000.0,2109000000.0
Repurchase Of Capital Stock,-379000000.0,,,
Repayment Of Debt,-4403000000.0,-9331000000.0,-3107000000.0,-3491000000.0
Issuance Of Debt,4198000000.0,7556000000.0,3350000000.0,2000000000.0
Issuance Of Capital Stock,0.0,140000000.0,29000000.0,0.0
Capital Expenditure,-379000000.0,-455000000.0,-517000000.0,-365000000.0
Interest Paid Supplemental Data,363000000.0,477000000.0,515000000.0,521000000.0
Income Tax Paid Supplemental Data,686000000.0,506000000.0,582000000.0,433000000.0
End Cash Position,535000000.0,568000000.0,255000000.0,111000000.0
Beginning Cash Position,568000000.0,255000000.0,111000000.0,139000000.0
Effect Of Exchange Rate Changes,-7000000.0,-9000000.0,-6000000.0,12000000.0
Changes In Cash,-26000000.0,322000000.0,150000000.0,-40000000.0
Financing Cash Flow,-1728000000.0,-2762000000.0,-1990000000.0,-2364000000.0
Cash Flow From Continuing Financing Activities,-1728000000.0,-2762000000.0,-1990000000.0,-2364000000.0
Net Other Financing Charges,-64000000.0,-172000000.0,-170000000.0,-196000000.0
Cash Dividends Paid,-1080000000.0,-955000000.0,-846000000.0,-844000000.0
Common Stock Dividend Paid,-1080000000.0,,-846000000.0,-844000000.0
Net Common Stock Issuance,-379000000.0,140000000.0,29000000.0,0.0
Common Stock Payments,-379000000.0,,,
Common Stock Issuance,0.0,140000000.0,29000000.0,0.0
Net Issuance Payments Of Debt,-205000000.0,-1775000000.0,-1003000000.0,-1324000000.0
Net Short Term Debt Issuance,250000000.0,149000000.0,-1246000000.0,167000000.0
Short Term Debt Payments,-948000000.0,-5257000000.0,,
Short Term Debt Issuance,1198000000.0,5406000000.0,,167000000.0
Net Long Term Debt Issuance,-455000000.0,-1924000000.0,243000000.0,-1491000000.0
Long Term Debt Payments,-3455000000.0,-4074000000.0,-3107000000.0,-3491000000.0
Long Term Debt Issuance,3000000000.0,2150000000.0,3350000000.0,2000000000.0
Investing Cash Flow,-1135000000.0,210000000.0,-316000000.0,-150000000.0
Cash Flow From Continuing Investing Activities,-1135000000.0,210000000.0,-316000000.0,-150000000.0
Net Other Investing Changes,-12000000.0,-35000000.0,3000000.0,-8000000.0
Dividends Received Cfi,,,,0.0
Net Business Purchase And Sale,-912000000.0,578000000.0,-5000000.0,-24000000.0
Sale Of Business,50000000.0,578000000.0,,0.0
Purchase Of Business,-962000000.0,0.0,-5000000.0,-24000000.0
Net Intangibles Purchase And Sale,-26000000.0,-32000000.0,-56000000.0,-35000000.0
Purchase Of Intangibles,-26000000.0,-32000000.0,-56000000.0,-35000000.0
Net PPE Purchase And Sale,-185000000.0,-301000000.0,-258000000.0,-83000000.0
Sale Of PPE,168000000.0,122000000.0,203000000.0,247000000.0
Purchase Of PPE,-353000000.0,-423000000.0,-461000000.0,-330000000.0
Operating Cash Flow,2837000000.0,2874000000.0,2456000000.0,2474000000.0
Cash Flow From Continuing Operating Activities,2837000000.0,2874000000.0,2456000000.0,2474000000.0
Change In Working Capital,-275000000.0,351000000.0,166000000.0,366000000.0
Change In Other Working Capital,-105000000.0,114000000.0,-91000000.0,36000000.0
Change In Other Current Liabilities,207000000.0,3000000.0,180000000.0,102000000.0
Change In Other Current Assets,-456000000.0,-243000000.0,-435000000.0,-324000000.0
Change In Payables And Accrued Expense,903000000.0,762000000.0,624000000.0,583000000.0
Change In Inventory,-426000000.0,-133000000.0,-107000000.0,-24000000.0
Change In Receivables,-398000000.0,-152000000.0,-5000000.0,-7000000.0
Changes In Account Receivables,-398000000.0,-152000000.0,-5000000.0,-7000000.0
Other Non Cash Items,153000000.0,20000000.0,60000000.0,-2000000.0
Stock Based Compensation,52000000.0,88000000.0,85000000.0,64000000.0
Provisionand Write Offof Assets,61000000.0,63000000.0,54000000.0,43000000.0
Asset Impairment Charge,489000000.0,17000000.0,169000000.0,
Deferred Tax,-289000000.0,31000000.0,-51000000.0,-23000000.0
Deferred Income Tax,-289000000.0,31000000.0,-51000000.0,-23000000.0
Depreciation Amortization Depletion,709000000.0,708000000.0,653000000.0,698000000.0
Depreciation And Amortization,709000000.0,708000000.0,653000000.0,698000000.0
Amortization Cash Flow,310000000.0,298000000.0,291000000.0,340000000.0
Amortization Of Intangibles,310000000.0,298000000.0,291000000.0,340000000.0
Depreciation,399000000.0,410000000.0,362000000.0,358000000.0
Operating Gains Losses,501000000.0,-550000000.0,-5000000.0,74000000.0
Earnings Losses From Equity Investments,5000000.0,5000000.0,20000000.0,51000000.0
Gain Loss On Investment Securities,383000000.0,-70000000.0,8000000.0,36000000.0
Net Foreign Currency Exchange Gain Loss,26000000.0,9000000.0,-1000000.0,-24000000.0
Gain Loss On Sale Of PPE,-80000000.0,-75000000.0,-36000000.0,
Gain Loss On Sale Of Business,-50000000.0,-524000000.0,,
Net Income From Continuing Operations,1436000000.0,2146000000.0,1325000000.0,1254000000.0
