,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1553000000.0,4459000000.0,4333000000.0,2784000000.0
Repayment Of Debt,-1693000000.0,-7126000000.0,-8813000000.0,-5451000000.0
Issuance Of Debt,238000000.0,0.0,7500000000.0,3524000000.0
Capital Expenditure,-916000000.0,-905000000.0,-596000000.0,-768000000.0
Interest Paid Supplemental Data,937000000.0,1196000000.0,1286000000.0,1306000000.0
Income Tax Paid Supplemental Data,1260000000.0,1295000000.0,1027000000.0,974000000.0
End Cash Position,1041000000.0,3446000000.0,3418000000.0,2280000000.0
Beginning Cash Position,3446000000.0,3418000000.0,2280000000.0,1136000000.0
Effect Of Exchange Rate Changes,-69000000.0,-30000000.0,62000000.0,-6000000.0
Changes In Cash,-2336000000.0,58000000.0,1076000000.0,1150000000.0
Financing Cash Flow,-3714000000.0,-9344000000.0,-3331000000.0,-3913000000.0
Cash Flow From Continuing Financing Activities,-3714000000.0,-9344000000.0,-3331000000.0,-3913000000.0
Net Other Financing Charges,-299000000.0,-259000000.0,-60000000.0,-33000000.0
Cash Dividends Paid,-1960000000.0,-1959000000.0,-1958000000.0,-1953000000.0
Common Stock Dividend Paid,-1960000000.0,,-1958000000.0,-1953000000.0
Net Issuance Payments Of Debt,-1455000000.0,-7126000000.0,-1313000000.0,-1927000000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,-228000000.0,0.0,0.0,-557000000.0
Short Term Debt Issuance,228000000.0,0.0,0.0,557000000.0
Net Long Term Debt Issuance,-1455000000.0,-7126000000.0,-1313000000.0,-1927000000.0
Long Term Debt Payments,-1465000000.0,-7126000000.0,-8813000000.0,-4894000000.0
Long Term Debt Issuance,10000000.0,0.0,7500000000.0,2967000000.0
Investing Cash Flow,-1091000000.0,4038000000.0,-522000000.0,1511000000.0
Cash Flow From Continuing Investing Activities,-1091000000.0,4038000000.0,-522000000.0,1511000000.0
Net Other Investing Changes,10000000.0,31000000.0,49000000.0,13000000.0
Net Investment Purchase And Sale,208000000.0,-28000000.0,25000000.0,590000000.0
Sale Of Investment,208000000.0,,25000000.0,590000000.0
Purchase Of Investment,,-28000000.0,,
Net Business Purchase And Sale,-393000000.0,4940000000.0,0.0,1676000000.0
Sale Of Business,88000000.0,5014000000.0,0.0,1875000000.0
Purchase Of Business,-481000000.0,-74000000.0,0.0,-199000000.0
Capital Expenditure Reported,-916000000.0,-905000000.0,-596000000.0,-768000000.0
Operating Cash Flow,2469000000.0,5364000000.0,4929000000.0,3552000000.0
Cash Flow From Continuing Operating Activities,2469000000.0,5364000000.0,4929000000.0,3552000000.0
Change In Working Capital,-1483000000.0,406000000.0,447000000.0,-233000000.0
Change In Other Current Liabilities,28000000.0,87000000.0,486000000.0,-90000000.0
Change In Other Current Assets,-314000000.0,-32000000.0,46000000.0,52000000.0
Change In Payables And Accrued Expense,152000000.0,408000000.0,207000000.0,-58000000.0
Change In Payable,152000000.0,408000000.0,207000000.0,-58000000.0
Change In Account Payable,152000000.0,408000000.0,207000000.0,-58000000.0
Change In Inventory,-1121000000.0,-144000000.0,-266000000.0,-277000000.0
Change In Receivables,-228000000.0,87000000.0,-26000000.0,140000000.0
Changes In Account Receivables,-228000000.0,87000000.0,-26000000.0,140000000.0
Other Non Cash Items,-72000000.0,-214000000.0,54000000.0,-78000000.0
Stock Based Compensation,148000000.0,197000000.0,156000000.0,46000000.0
Asset Impairment Charge,913000000.0,1634000000.0,3399000000.0,1899000000.0
Deferred Tax,-278000000.0,-1042000000.0,-343000000.0,-293000000.0
Deferred Income Tax,-278000000.0,-1042000000.0,-343000000.0,-293000000.0
Depreciation Amortization Depletion,933000000.0,910000000.0,969000000.0,994000000.0
Depreciation And Amortization,933000000.0,910000000.0,969000000.0,994000000.0
Operating Gains Losses,-60000000.0,2449000000.0,-114000000.0,-716000000.0
Pension And Employee Benefit Expense,-14000000.0,-7000000.0,-122000000.0,-306000000.0
Gain Loss On Investment Securities,,-4000000.0,,
Net Foreign Currency Exchange Gain Loss,17000000.0,0.0,6000000.0,10000000.0
Gain Loss On Sale Of PPE,0.0,1587000000.0,,
Gain Loss On Sale Of Business,-25000000.0,-44000000.0,2000000.0,-420000000.0
Net Income From Continuing Operations,2368000000.0,1024000000.0,361000000.0,1933000000.0
