,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,3328214000.0,746069000.0,1953397000.0,1626175000.0
Repurchase Of Capital Stock,-1311864000.0,-2573589000.0,-938607000.0,-829084000.0
Repayment Of Debt,-1087250000.0,-275000000.0,-70000000.0,-1171033000.0
Issuance Of Debt,0.0,3242409000.0,40343000.0,1192004000.0
Issuance Of Capital Stock,90939000.0,76102000.0,86098000.0,75634000.0
Capital Expenditure,-341591000.0,-73160000.0,-231627000.0,-152675000.0
Interest Paid Supplemental Data,223955000.0,37882000.0,154195000.0,152651000.0
Income Tax Paid Supplemental Data,495101000.0,109350000.0,326002000.0,194583000.0
End Cash Position,1927865000.0,1584908000.0,1434610000.0,1234409000.0
Beginning Cash Position,1584908000.0,1415172000.0,1234409000.0,1015994000.0
Effect Of Exchange Rate Changes,-13988000.0,-20373000.0,13460000.0,-1926000.0
Changes In Cash,356945000.0,190109000.0,186741000.0,220341000.0
Financing Cash Flow,-2830289000.0,-603726000.0,-1497881000.0,-1299635000.0
Cash Flow From Continuing Financing Activities,-2830289000.0,-603726000.0,-1497881000.0,-1299635000.0
Net Other Financing Charges,-123466000.0,-916046000.0,-56362000.0,-44735000.0
Cash Dividends Paid,-732556000.0,-157602000.0,-559353000.0,-522421000.0
Common Stock Dividend Paid,-179510000.0,-157602000.0,-559353000.0,-522421000.0
Net Common Stock Issuance,-1187017000.0,-2497487000.0,-852509000.0,-753450000.0
Common Stock Payments,-1311864000.0,-2573589000.0,-938607000.0,-829084000.0
Common Stock Issuance,90939000.0,76102000.0,86098000.0,75634000.0
Net Issuance Payments Of Debt,-787250000.0,2967409000.0,-29657000.0,20971000.0
Net Short Term Debt Issuance,,275000000.0,0.0,450000000.0
Short Term Debt Issuance,,275000000.0,0.0,450000000.0
Net Long Term Debt Issuance,-787250000.0,2967409000.0,-29657000.0,20971000.0
Long Term Debt Payments,-1087250000.0,-275000000.0,-70000000.0,-1171033000.0
Long Term Debt Issuance,0.0,3242409000.0,40343000.0,1192004000.0
Investing Cash Flow,-482571000.0,-25394000.0,-500402000.0,-258874000.0
Cash Flow From Continuing Investing Activities,-482571000.0,-25394000.0,-500402000.0,-258874000.0
Net Other Investing Changes,,27658000.0,1855000.0,
Net Investment Purchase And Sale,-189194000.0,28334000.0,-287463000.0,-16056000.0
Sale Of Investment,1349350000.0,302520000.0,839147000.0,892678000.0
Purchase Of Investment,-1538544000.0,-274186000.0,-1126610000.0,-908734000.0
Net Business Purchase And Sale,0.0,-8226000.0,16833000.0,-90143000.0
Sale Of Business,75358000.0,0.0,16833000.0,
Purchase Of Business,0.0,-8226000.0,0.0,-90143000.0
Capital Expenditure Reported,-341591000.0,-73160000.0,-231627000.0,-152675000.0
Operating Cash Flow,3669805000.0,819229000.0,2185024000.0,1778850000.0
Cash Flow From Continuing Operating Activities,3669805000.0,819229000.0,2185024000.0,1778850000.0
Change In Working Capital,10113000.0,-292001000.0,-287760000.0,-180475000.0
Change In Other Working Capital,238973000.0,120748000.0,1170000.0,80466000.0
Change In Other Current Liabilities,834400000.0,123991000.0,245622000.0,-24649000.0
Change In Other Current Assets,-121018000.0,-193341000.0,-140663000.0,-104257000.0
Change In Payables And Accrued Expense,-144661000.0,19256000.0,79366000.0,61144000.0
Change In Payable,-144661000.0,19256000.0,79366000.0,61144000.0
Change In Account Payable,-144661000.0,19256000.0,79366000.0,61144000.0
Change In Inventory,-749047000.0,-170600000.0,-270100000.0,-74817000.0
Change In Receivables,-48534000.0,-192055000.0,-203155000.0,-118362000.0
Changes In Account Receivables,-48534000.0,-192055000.0,-203155000.0,-118362000.0
Other Non Cash Items,8270000.0,82799000.0,,-21518000.0
Stock Based Compensation,171424000.0,36849000.0,111836000.0,111381000.0
Unrealized Gain Loss On Investment Securities,0.0,0.0,-26719000.0,
Asset Impairment Charge,9905000.0,5962000.0,842000.0,267409000.0
Deferred Tax,-298145000.0,53474000.0,-44445000.0,-93110000.0
Deferred Income Tax,-298145000.0,53474000.0,-44445000.0,-93110000.0
Depreciation Amortization Depletion,415113000.0,100848000.0,333335000.0,348049000.0
Depreciation And Amortization,415113000.0,100848000.0,333335000.0,348049000.0
Operating Gains Losses,-34226000.0,31862000.0,-23863000.0,38979000.0
Net Foreign Currency Exchange Gain Loss,-17825000.0,31862000.0,-19441000.0,16441000.0
Gain Loss On Sale Of Business,-29687000.0,0.0,-4422000.0,
Net Income From Continuing Operations,3387351000.0,805398000.0,2077353000.0,1215025000.0
