,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-3301110000.0,-1479353000.0,-1029778000.0,-339589000.0
Repurchase Of Capital Stock,-218789000.0,-45779000.0,-12101000.0,-50000000.0
Repayment Of Debt,-40530000.0,-30975000.0,-364000.0,0.0
Issuance Of Debt,61518000.0,2044372000.0,0.0,70949000.0
Issuance Of Capital Stock,1509317000.0,603000000.0,1299725000.0,600000000.0
Capital Expenditure,-1074852000.0,-421220000.0,-459582000.0,-104290000.0
Interest Paid Supplemental Data,23199000.0,627000.0,51000.0,30000.0
Income Tax Paid Supplemental Data,480000.0,,0.0,
End Cash Position,1737320000.0,6298020000.0,640418000.0,379651000.0
Beginning Cash Position,6298020000.0,640418000.0,379651000.0,97808000.0
Changes In Cash,-4560700000.0,5657602000.0,260767000.0,281843000.0
Financing Cash Flow,1347235000.0,7136428000.0,1290545000.0,621432000.0
Cash Flow From Continuing Financing Activities,1347235000.0,7136428000.0,1290545000.0,621432000.0
Net Other Financing Charges,-6631000.0,4384405000.0,,
Proceeds From Stock Option Exercised,42350000.0,181405000.0,3285000.0,483000.0
Net Preferred Stock Issuance,0.0,600000000.0,1287624000.0,550000000.0
Preferred Stock Payments,0.0,-3000000.0,-12101000.0,-50000000.0
Preferred Stock Issuance,0.0,603000000.0,1299725000.0,600000000.0
Net Common Stock Issuance,1290528000.0,-42779000.0,0.0,0.0
Common Stock Payments,-218789000.0,-42779000.0,0.0,0.0
Common Stock Issuance,1509317000.0,,0.0,
Net Issuance Payments Of Debt,20988000.0,2013397000.0,-364000.0,70949000.0
Net Short Term Debt Issuance,-15330000.0,14048000.0,0.0,0.0
Short Term Debt Payments,-15330000.0,-27887000.0,0.0,0.0
Short Term Debt Issuance,0.0,41935000.0,0.0,0.0
Net Long Term Debt Issuance,36318000.0,1999349000.0,-364000.0,70949000.0
Long Term Debt Payments,-25200000.0,-3088000.0,-364000.0,0.0
Long Term Debt Issuance,61518000.0,2002437000.0,0.0,70949000.0
Investing Cash Flow,-3681677000.0,-420693000.0,-459582000.0,-104290000.0
Cash Flow From Continuing Investing Activities,-3681677000.0,-420693000.0,-459582000.0,-104290000.0
Net Other Investing Changes,97590000.0,,,
Net Investment Purchase And Sale,-2704415000.0,505000.0,0.0,
Sale Of Investment,1149714000.0,505000.0,0.0,
Purchase Of Investment,-3854129000.0,,0.0,
Net PPE Purchase And Sale,-1074852000.0,-421198000.0,-459582000.0,-104290000.0
Sale Of PPE,0.0,22000.0,0.0,0.0
Purchase Of PPE,-1074852000.0,-421220000.0,-459582000.0,-104290000.0
Operating Cash Flow,-2226258000.0,-1058133000.0,-570196000.0,-235299000.0
Cash Flow From Continuing Operating Activities,-2226258000.0,-1058133000.0,-570196000.0,-235299000.0
Change In Working Capital,-892131000.0,-182528000.0,14627000.0,11614000.0
Change In Other Working Capital,30958000.0,-25768000.0,13249000.0,2774000.0
Change In Other Current Liabilities,284932000.0,50725000.0,53454000.0,28658000.0
Change In Other Current Assets,-86821000.0,-8815000.0,10226000.0,1133000.0
Change In Payables And Accrued Expense,180469000.0,4354000.0,-69861000.0,5843000.0
Change In Payable,180469000.0,4354000.0,-69861000.0,5843000.0
Change In Account Payable,180469000.0,4354000.0,-69861000.0,5843000.0
Change In Prepaid Assets,-28822000.0,-25045000.0,7770000.0,-27590000.0
Change In Inventory,-1256349000.0,-175091000.0,-359000.0,-188000.0
Change In Receivables,-16498000.0,-2888000.0,148000.0,984000.0
Changes In Account Receivables,-16498000.0,-2888000.0,148000.0,984000.0
Other Non Cash Items,44989000.0,31274000.0,139000.0,3394000.0
Stock Based Compensation,423500000.0,516757000.0,4614000.0,7719000.0
Asset Impairment Charge,569479000.0,48884000.0,0.0,0.0
Depreciation Amortization Depletion,186583000.0,62907000.0,10217000.0,3842000.0
Depreciation And Amortization,186583000.0,62907000.0,10217000.0,3842000.0
Operating Gains Losses,-1254218000.0,1044334000.0,119726000.0,15489000.0
Gain Loss On Investment Securities,-1254218000.0,1044282000.0,119587000.0,15459000.0
Gain Loss On Sale Of PPE,,52000.0,139000.0,30000.0
Net Income From Continuing Operations,-1304460000.0,-2579761000.0,-719380000.0,-277357000.0
