,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,4677370000.0,2553640000.0,3239067000.0,1923212000.0
Repurchase Of Capital Stock,-2017012000.0,-3865663000.0,-2697704000.0,-1369649000.0
Repayment Of Debt,-23206000.0,-11889000.0,-862060000.0,-1917537000.0
Issuance Of Debt,,0.0,0.0,1974651000.0
Issuance Of Capital Stock,11111000.0,5682000.0,24123000.0,8084000.0
Capital Expenditure,-501568000.0,-546034000.0,-349096000.0,-203239000.0
Interest Paid Supplemental Data,174745000.0,175528000.0,203932000.0,171889000.0
Income Tax Paid Supplemental Data,809748000.0,807669000.0,518567000.0,222909000.0
End Cash Position,5587372000.0,3773535000.0,4670750000.0,5169083000.0
Beginning Cash Position,3773535000.0,4670750000.0,5169083000.0,3913396000.0
Effect Of Exchange Rate Changes,128000.0,-30227000.0,7215000.0,-2750000.0
Changes In Cash,1813709000.0,-866988000.0,-505548000.0,1258437000.0
Financing Cash Flow,-2830667000.0,-4578937000.0,-4166982000.0,-623930000.0
Cash Flow From Continuing Financing Activities,-2830667000.0,-4578937000.0,-4166982000.0,-623930000.0
Net Other Financing Charges,-3552000.0,45000.0,-2113000.0,1251920000.0
Proceeds From Stock Option Exercised,109899000.0,108178000.0,97764000.0,85439000.0
Cash Dividends Paid,-907907000.0,-815290000.0,-726992000.0,-656838000.0
Common Stock Dividend Paid,-907907000.0,-815290000.0,-726992000.0,-656838000.0
Net Common Stock Issuance,-2005901000.0,-3859981000.0,-2673581000.0,-1361565000.0
Common Stock Payments,-2017012000.0,-3865663000.0,-2697704000.0,-1369649000.0
Common Stock Issuance,11111000.0,5682000.0,24123000.0,8084000.0
Net Issuance Payments Of Debt,-23206000.0,-11889000.0,-862060000.0,57114000.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,0.0
Short Term Debt Issuance,,,0.0,0.0
Net Long Term Debt Issuance,-23206000.0,-11889000.0,-862060000.0,57114000.0
Long Term Debt Payments,-23206000.0,-11889000.0,-862060000.0,-1917537000.0
Long Term Debt Issuance,,0.0,0.0,1974651000.0
Investing Cash Flow,-534562000.0,612275000.0,73271000.0,-244084000.0
Cash Flow From Continuing Investing Activities,-534562000.0,612275000.0,73271000.0,-244084000.0
Net Other Investing Changes,-11171000.0,-7575000.0,-42155000.0,-25845000.0
Net Investment Purchase And Sale,98132000.0,1165884000.0,464522000.0,-15000000.0
Sale Of Investment,98132000.0,1733703000.0,3853910000.0,2882627000.0
Purchase Of Investment,0.0,-567819000.0,-3389388000.0,-2897627000.0
Net Business Purchase And Sale,-119955000.0,,,0.0
Purchase Of Business,-119955000.0,,,0.0
Capital Expenditure Reported,-501568000.0,-546034000.0,-349096000.0,-203239000.0
Operating Cash Flow,5178938000.0,3099674000.0,3588163000.0,2126451000.0
Cash Flow From Continuing Operating Activities,5178938000.0,3099674000.0,3588163000.0,2126451000.0
Change In Working Capital,158738000.0,-1796226000.0,-678741000.0,-571875000.0
Change In Other Working Capital,163467000.0,604573000.0,508008000.0,76207000.0
Change In Payables And Accrued Expense,-631033000.0,291346000.0,593959000.0,419707000.0
Change In Accrued Expense,-108833000.0,123462000.0,409344000.0,211229000.0
Change In Payable,-522200000.0,167884000.0,184615000.0,208478000.0
Change In Account Payable,-522200000.0,167884000.0,184615000.0,208478000.0
Change In Prepaid Assets,136016000.0,-53121000.0,-59189000.0,-14354000.0
Change In Inventory,-961968000.0,-1351344000.0,-792591000.0,-411608000.0
Change In Receivables,1452256000.0,-1287680000.0,-928928000.0,-641827000.0
Changes In Account Receivables,1452256000.0,-1287680000.0,-928928000.0,-641827000.0
Other Non Cash Items,52298000.0,-44751000.0,-17392000.0,6628000.0
Stock Based Compensation,286600000.0,259064000.0,220164000.0,189197000.0
Asset Impairment Charge,,,,0.0
Deferred Tax,-172061000.0,-257438000.0,-151477000.0,-17777000.0
Deferred Income Tax,-172061000.0,-257438000.0,-151477000.0,-17777000.0
Depreciation Amortization Depletion,342432000.0,333739000.0,307151000.0,268525000.0
Depreciation And Amortization,342432000.0,333739000.0,307151000.0,268525000.0
Net Income From Continuing Operations,4510931000.0,4605286000.0,3908458000.0,2251753000.0
