,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,966463000.0,1389108000.0,803336000.0,669316000.0
Repurchase Of Capital Stock,-479159000.0,-812602000.0,-63663000.0,-173399000.0
Capital Expenditure,-638657000.0,-394502000.0,-229226000.0,-283048000.0
Interest Paid Supplemental Data,,,,325000.0
Income Tax Paid Supplemental Data,,,,305493000.0
End Cash Position,1154867000.0,1259871000.0,1150517000.0,1093505000.0
Beginning Cash Position,1259871000.0,1150517000.0,1093505000.0,881320000.0
Effect Of Exchange Rate Changes,-34043000.0,-6876000.0,29996000.0,-1550000.0
Changes In Cash,-70961000.0,116230000.0,27016000.0,213735000.0
Financing Cash Flow,-467487000.0,-844987000.0,-80788000.0,-177173000.0
Cash Flow From Continuing Financing Activities,-467487000.0,-844987000.0,-80788000.0,-177173000.0
Net Other Financing Charges,-32000.0,-50579000.0,-32388000.0,-21944000.0
Proceeds From Stock Option Exercised,11704000.0,18194000.0,15263000.0,18170000.0
Net Common Stock Issuance,-479159000.0,-812602000.0,-63663000.0,-173399000.0
Common Stock Payments,-479159000.0,-812602000.0,-63663000.0,-173399000.0
Investing Cash Flow,-569937000.0,-427891000.0,-695532000.0,-278408000.0
Cash Flow From Continuing Investing Activities,-569937000.0,-427891000.0,-695532000.0,-278408000.0
Net Other Investing Changes,20916000.0,-10000000.0,882000.0,4293000.0
Net Investment Purchase And Sale,47804000.0,-23389000.0,-14607000.0,347000.0
Sale Of Investment,,,,347000.0
Purchase Of Investment,,-23389000.0,-14607000.0,
Net Business Purchase And Sale,0.0,0.0,-452581000.0,
Purchase Of Business,0.0,0.0,-452581000.0,
Net PPE Purchase And Sale,-638657000.0,-394502000.0,-229226000.0,-283048000.0
Purchase Of PPE,-638657000.0,-394502000.0,-229226000.0,-283048000.0
Operating Cash Flow,966463000.0,1389108000.0,803336000.0,669316000.0
Cash Flow From Continuing Operating Activities,966463000.0,1389108000.0,803336000.0,669316000.0
Change In Working Capital,-596992000.0,129131000.0,-47549000.0,-194071000.0
Change In Other Working Capital,139425000.0,160208000.0,54537000.0,82164000.0
Change In Other Current Liabilities,-2925000.0,30073000.0,10784000.0,23409000.0
Change In Other Current Assets,-36518000.0,-17556000.0,-49056000.0,
Change In Payables And Accrued Expense,-5930000.0,342311000.0,157699000.0,-64672000.0
Change In Accrued Expense,65364000.0,103878000.0,99161000.0,-9598000.0
Change In Payable,-71294000.0,238433000.0,58538000.0,-55074000.0
Change In Account Payable,-107280000.0,117655000.0,82663000.0,-14810000.0
Change In Tax Payable,35986000.0,120778000.0,-24125000.0,-40264000.0
Change In Income Tax Payable,35986000.0,120778000.0,-24125000.0,-40264000.0
Change In Prepaid Assets,-180534000.0,-62296000.0,-124965000.0,-117381000.0
Change In Inventory,-510510000.0,-323609000.0,-96548000.0,-117591000.0
Other Non Cash Items,111663000.0,413786000.0,214423000.0,23720000.0
Stock Based Compensation,78075000.0,69137000.0,50797000.0,45593000.0
Asset Impairment Charge,407913000.0,,,0.0
Deferred Tax,3042000.0,-5180000.0,34908000.0,24129000.0
Deferred Income Tax,3042000.0,-5180000.0,34908000.0,24129000.0
Depreciation Amortization Depletion,291791000.0,224206000.0,185478000.0,161933000.0
Depreciation And Amortization,291791000.0,224206000.0,185478000.0,161933000.0
Operating Gains Losses,-48829000.0,15191000.0,4485000.0,-1925000.0
Gain Loss On Investment Securities,-38649000.0,15191000.0,4485000.0,-1925000.0
Gain Loss On Sale Of PPE,-10180000.0,,,
Net Income From Continuing Operations,854800000.0,975322000.0,588913000.0,645596000.0
