,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2031000000.0,994000000.0,1504000000.0,1032000000.0
Repurchase Of Capital Stock,-2566000000.0,0.0,-150000000.0,-2260000000.0
Repayment Of Debt,-804000000.0,-2174000000.0,-4177000000.0,-835000000.0
Issuance Of Debt,983000000.0,1793000000.0,3561000000.0,2348000000.0
Issuance Of Capital Stock,0.0,2000000.0,0.0,7000000.0
Capital Expenditure,-332000000.0,-183000000.0,-135000000.0,-653000000.0
End Cash Position,525000000.0,1421000000.0,894000000.0,253000000.0
Beginning Cash Position,1421000000.0,894000000.0,253000000.0,360000000.0
Changes In Cash,-896000000.0,527000000.0,641000000.0,-107000000.0
Financing Cash Flow,-2962000000.0,-463000000.0,-1033000000.0,-1508000000.0
Cash Flow From Continuing Financing Activities,-2962000000.0,-463000000.0,-1033000000.0,-1508000000.0
Net Other Financing Charges,-72000000.0,-234000000.0,-111000000.0,-156000000.0
Cash Dividends Paid,-321000000.0,0.0,-156000000.0,-612000000.0
Common Stock Dividend Paid,-321000000.0,0.0,-156000000.0,-612000000.0
Net Common Stock Issuance,-2566000000.0,2000000.0,-150000000.0,-2253000000.0
Common Stock Payments,-2566000000.0,0.0,-150000000.0,-2260000000.0
Common Stock Issuance,0.0,2000000.0,0.0,7000000.0
Net Issuance Payments Of Debt,-3000000.0,-231000000.0,-616000000.0,1513000000.0
Net Short Term Debt Issuance,-182000000.0,150000000.0,,
Net Long Term Debt Issuance,179000000.0,-381000000.0,-616000000.0,1513000000.0
Long Term Debt Payments,-804000000.0,-2174000000.0,-4177000000.0,-835000000.0
Long Term Debt Issuance,983000000.0,1793000000.0,3561000000.0,2348000000.0
Investing Cash Flow,-297000000.0,-187000000.0,35000000.0,-284000000.0
Cash Flow From Continuing Investing Activities,-297000000.0,-187000000.0,35000000.0,-284000000.0
Net Other Investing Changes,34000000.0,-16000000.0,-90000000.0,-26000000.0
Net Business Purchase And Sale,,,260000000.0,395000000.0
Sale Of Business,,,260000000.0,395000000.0
Net PPE Purchase And Sale,1000000.0,12000000.0,260000000.0,395000000.0
Sale Of PPE,1000000.0,12000000.0,260000000.0,395000000.0
Capital Expenditure Reported,-332000000.0,-183000000.0,-135000000.0,-653000000.0
Operating Cash Flow,2363000000.0,1177000000.0,1639000000.0,1685000000.0
Cash Flow From Continuing Operating Activities,2363000000.0,1177000000.0,1639000000.0,1685000000.0
Change In Working Capital,-542000000.0,110000000.0,-28000000.0,-273000000.0
Other Non Cash Items,-207000000.0,-389000000.0,1730000000.0,442000000.0
Stock Based Compensation,192000000.0,182000000.0,201000000.0,187000000.0
Deferred Tax,280000000.0,-281000000.0,-478000000.0,-200000000.0
Deferred Income Tax,280000000.0,-281000000.0,-478000000.0,-200000000.0
Depreciation Amortization Depletion,282000000.0,295000000.0,478000000.0,403000000.0
Depreciation And Amortization,282000000.0,295000000.0,478000000.0,403000000.0
Depreciation,282000000.0,295000000.0,478000000.0,403000000.0
Operating Gains Losses,,161000000.0,3000000.0,-147000000.0
Net Income From Continuing Operations,2358000000.0,1099000000.0,-267000000.0,1273000000.0
