,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,3134800000.0,2472600000.0,1823900000.0,1476200000.0
Repurchase Of Capital Stock,-945800000.0,-425600000.0,,
Repayment Of Debt,-7405300000.0,-6549000000.0,-8958400000.0,-2707800000.0
Issuance Of Debt,5935000000.0,5173000000.0,7543800000.0,1637900000.0
Issuance Of Capital Stock,82300000.0,70500000.0,60300000.0,58800000.0
Capital Expenditure,-486200000.0,-370100000.0,-92600000.0,-67600000.0
Interest Paid Supplemental Data,,207800000.0,265400000.0,355200000.0
Income Tax Paid Supplemental Data,,141400000.0,87300000.0,101300000.0
End Cash Position,234000000.0,317400000.0,280000000.0,401000000.0
Beginning Cash Position,317400000.0,280000000.0,401000000.0,428600000.0
Changes In Cash,-83400000.0,37400000.0,-121000000.0,-27600000.0
Financing Cash Flow,-3104900000.0,-2327600000.0,-1864200000.0,-1438200000.0
Cash Flow From Continuing Financing Activities,-3104900000.0,-2327600000.0,-1864200000.0,-1438200000.0
Net Other Financing Charges,-75800000.0,-92700000.0,-85800000.0,-77000000.0
Proceeds From Stock Option Exercised,0.0,0.0,-35800000.0,
Cash Dividends Paid,-695300000.0,-503800000.0,-388300000.0,-350100000.0
Common Stock Dividend Paid,,,,-350100000.0
Net Common Stock Issuance,-863500000.0,-355100000.0,60300000.0,58800000.0
Common Stock Payments,-945800000.0,-425600000.0,,
Common Stock Issuance,82300000.0,70500000.0,60300000.0,58800000.0
Net Issuance Payments Of Debt,-1470300000.0,-1376000000.0,-1414600000.0,-1069900000.0
Net Short Term Debt Issuance,-1299100000.0,-947500000.0,-41900000.0,-878000000.0
Short Term Debt Payments,-7234100000.0,-5123500000.0,-4007900000.0,-1904000000.0
Short Term Debt Issuance,5935000000.0,4176000000.0,3966000000.0,1026000000.0
Net Long Term Debt Issuance,-171200000.0,-428500000.0,-1372700000.0,-191900000.0
Long Term Debt Payments,-171200000.0,-1425500000.0,-4950500000.0,-803800000.0
Long Term Debt Issuance,0.0,997000000.0,3577800000.0,611900000.0
Investing Cash Flow,-599500000.0,-477700000.0,-173300000.0,-133200000.0
Cash Flow From Continuing Investing Activities,-599500000.0,-477700000.0,-173300000.0,-133200000.0
Net Other Investing Changes,-113300000.0,-107600000.0,-80700000.0,-68300000.0
Net Investment Purchase And Sale,,0.0,0.0,2700000.0
Sale Of Investment,,0.0,0.0,4700000.0
Purchase Of Investment,,0.0,0.0,-2000000.0
Net Business Purchase And Sale,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Capital Expenditure Reported,-486200000.0,-370100000.0,-92600000.0,-67600000.0
Operating Cash Flow,3621000000.0,2842700000.0,1916500000.0,1543800000.0
Cash Flow From Continuing Operating Activities,3621000000.0,2842700000.0,1916500000.0,1543800000.0
Change In Working Capital,-16000000.0,34200000.0,-27000000.0,-66700000.0
Change In Other Working Capital,404500000.0,79400000.0,-16700000.0,-13100000.0
Change In Payables And Accrued Expense,295400000.0,207500000.0,35000000.0,-29100000.0
Change In Payable,295400000.0,207500000.0,35000000.0,-29100000.0
Change In Account Payable,323400000.0,192700000.0,17600000.0,11400000.0
Change In Tax Payable,-28000000.0,14800000.0,17400000.0,-40500000.0
Change In Income Tax Payable,-28000000.0,14800000.0,17400000.0,-40500000.0
Change In Inventory,-483200000.0,-177800000.0,18400000.0,28800000.0
Change In Receivables,-232700000.0,-74900000.0,-63700000.0,-53300000.0
Changes In Account Receivables,-232700000.0,-74900000.0,-63700000.0,-53300000.0
Other Non Cash Items,14900000.0,45000000.0,88200000.0,138800000.0
Stock Based Compensation,170400000.0,210200000.0,198300000.0,170200000.0
Asset Impairment Charge,1800000.0,3000000.0,900000.0,4900000.0
Amortization Of Securities,,,0.0,0.0
Deferred Tax,205500000.0,7900000.0,-138900000.0,-490300000.0
Deferred Income Tax,205500000.0,7900000.0,-138900000.0,-490300000.0
Depreciation Amortization Depletion,998400000.0,1143500000.0,1153300000.0,1215600000.0
Depreciation And Amortization,998400000.0,1143500000.0,1153300000.0,1215600000.0
Operating Gains Losses,8300000.0,113400000.0,292300000.0,700000.0
Earnings Losses From Equity Investments,,,0.0,0.0
Gain Loss On Investment Securities,,,-200000.0,-2500000.0
Net Income From Continuing Operations,2237700000.0,1285500000.0,349400000.0,570600000.0
