,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3002000000.0,3176000000.0,3101000000.0,3040000000.0
Repurchase Of Capital Stock,-2017000000.0,-2110000000.0,-1390000000.0,-1480000000.0
Repayment Of Debt,-3032000000.0,-6247000000.0,-5052000000.0,-5044000000.0
Issuance Of Debt,6404000000.0,6115000000.0,7890000000.0,4442000000.0
Capital Expenditure,-906000000.0,-965000000.0,-863000000.0,-925000000.0
Interest Paid Supplemental Data,551000000.0,426000000.0,413000000.0,486000000.0
Income Tax Paid Supplemental Data,1103000000.0,1556000000.0,1264000000.0,981000000.0
End Cash Position,1948000000.0,3553000000.0,3650000000.0,1328000000.0
Beginning Cash Position,3553000000.0,3650000000.0,1328000000.0,1100000000.0
Effect Of Exchange Rate Changes,-169000000.0,-143000000.0,73000000.0,10000000.0
Changes In Cash,-1436000000.0,46000000.0,2249000000.0,218000000.0
Financing Cash Flow,-456000000.0,-4069000000.0,-2215000000.0,-2787000000.0
Cash Flow From Continuing Financing Activities,-456000000.0,-4069000000.0,-2215000000.0,-2787000000.0
Net Other Financing Charges,174000000.0,-1000000.0,-1985000000.0,837000000.0
Cash Dividends Paid,-1985000000.0,-1826000000.0,-1678000000.0,-1542000000.0
Common Stock Dividend Paid,-1985000000.0,,-1678000000.0,-1542000000.0
Net Common Stock Issuance,-2017000000.0,-2110000000.0,-1390000000.0,-1480000000.0
Common Stock Payments,-2017000000.0,-2110000000.0,-1390000000.0,-1480000000.0
Net Issuance Payments Of Debt,3372000000.0,-132000000.0,2838000000.0,-602000000.0
Net Short Term Debt Issuance,1914000000.0,194000000.0,-497000000.0,-1061000000.0
Short Term Debt Payments,0.0,0.0,-1174000000.0,-2367000000.0
Short Term Debt Issuance,1914000000.0,194000000.0,677000000.0,1306000000.0
Net Long Term Debt Issuance,1458000000.0,-326000000.0,3335000000.0,459000000.0
Long Term Debt Payments,-3032000000.0,-6247000000.0,-3878000000.0,-2677000000.0
Long Term Debt Issuance,4490000000.0,5921000000.0,7213000000.0,3136000000.0
Investing Cash Flow,-4888000000.0,-26000000.0,500000000.0,-960000000.0
Cash Flow From Continuing Investing Activities,-4888000000.0,-26000000.0,500000000.0,-960000000.0
Net Other Investing Changes,,233000000.0,,
Net Investment Purchase And Sale,703000000.0,,,
Sale Of Investment,703000000.0,,,
Net Business Purchase And Sale,-4685000000.0,706000000.0,1353000000.0,-117000000.0
Sale Of Business,601000000.0,1539000000.0,2489000000.0,167000000.0
Purchase Of Business,-5286000000.0,-833000000.0,-1136000000.0,-284000000.0
Net PPE Purchase And Sale,,233000000.0,10000000.0,82000000.0
Sale Of PPE,,233000000.0,10000000.0,82000000.0
Capital Expenditure Reported,-906000000.0,-965000000.0,-863000000.0,-925000000.0
Operating Cash Flow,3908000000.0,4141000000.0,3964000000.0,3965000000.0
Cash Flow From Continuing Operating Activities,3908000000.0,4141000000.0,3964000000.0,3965000000.0
Dividend Received Cfo,184000000.0,172000000.0,246000000.0,250000000.0
Change In Working Capital,-521000000.0,-649000000.0,-177000000.0,-448000000.0
Change In Other Working Capital,-226000000.0,-313000000.0,-233000000.0,-168000000.0
Change In Other Current Liabilities,630000000.0,-502000000.0,-208000000.0,-362000000.0
Change In Other Current Assets,-286000000.0,-169000000.0,-207000000.0,-77000000.0
Change In Payables And Accrued Expense,715000000.0,702000000.0,436000000.0,4000000.0
Change In Payable,715000000.0,702000000.0,436000000.0,4000000.0
Change In Account Payable,715000000.0,702000000.0,436000000.0,4000000.0
Change In Inventory,-635000000.0,-170000000.0,-24000000.0,31000000.0
Change In Receivables,-719000000.0,-197000000.0,59000000.0,124000000.0
Other Non Cash Items,426000000.0,-238000000.0,243000000.0,97000000.0
Stock Based Compensation,120000000.0,121000000.0,126000000.0,135000000.0
Asset Impairment Charge,233000000.0,128000000.0,136000000.0,109000000.0
Deferred Tax,-42000000.0,205000000.0,-70000000.0,-626000000.0
Deferred Income Tax,-42000000.0,205000000.0,-70000000.0,-626000000.0
Depreciation Amortization Depletion,1107000000.0,1113000000.0,1116000000.0,1047000000.0
Depreciation And Amortization,1107000000.0,1113000000.0,1116000000.0,1047000000.0
Operating Gains Losses,-325000000.0,-1025000000.0,-1225000000.0,-484000000.0
Earnings Losses From Equity Investments,-363000000.0,-1135000000.0,-1410000000.0,-440000000.0
Gain Loss On Investment Securities,426000000.0,,,
Gain Loss On Sale Of Business,0.0,,0.0,-44000000.0
Net Income From Continuing Operations,2726000000.0,4314000000.0,3569000000.0,3885000000.0
