,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2485000000.0,355547000.0,935411000.0,314221000.0
Repurchase Of Capital Stock,-148000000.0,-485886000.0,-54085000.0,-720000.0
Repayment Of Debt,-15953000000.0,-8663212000.0,-1790221000.0,-474851000.0
Issuance Of Debt,17017000000.0,9261703000.0,2396717000.0,629891000.0
Issuance Of Capital Stock,0.0,1519545000.0,0.0,1965903000.0
Capital Expenditure,-455000000.0,-609496000.0,-247141000.0,-136870000.0
Interest Paid Supplemental Data,247000000.0,57590000.0,53781000.0,40523000.0
Income Tax Paid Supplemental Data,437000000.0,282106000.0,139855000.0,94954000.0
End Cash Position,3363000000.0,3647963000.0,2508224000.0,1451424000.0
Beginning Cash Position,3648000000.0,2508224000.0,1451424000.0,464695000.0
Effect Of Exchange Rate Changes,-270000000.0,-153754000.0,-115837000.0,-37584000.0
Changes In Cash,-15000000.0,1293493000.0,1172637000.0,1024313000.0
Financing Cash Flow,916000000.0,1924983000.0,242266000.0,2021012000.0
Cash Flow From Continuing Financing Activities,916000000.0,1924983000.0,242266000.0,2021012000.0
Net Other Financing Charges,,295970000.0,-306789000.0,-96367000.0
Proceeds From Stock Option Exercised,0.0,-3137000.0,,
Cash Dividends Paid,0.0,0.0,-3356000.0,-2844000.0
Preferred Stock Dividend Paid,0.0,0.0,-3356000.0,-2844000.0
Common Stock Dividend Paid,,,0.0,0.0
Net Preferred Stock Issuance,,0.0,0.0,98688000.0
Preferred Stock Issuance,,0.0,0.0,98688000.0
Net Common Stock Issuance,-148000000.0,1033659000.0,-54085000.0,1866495000.0
Common Stock Payments,-148000000.0,-485886000.0,-54085000.0,-720000.0
Common Stock Issuance,0.0,1519545000.0,0.0,1867215000.0
Net Issuance Payments Of Debt,1064000000.0,598491000.0,606496000.0,155040000.0
Net Long Term Debt Issuance,1064000000.0,598491000.0,606496000.0,155040000.0
Long Term Debt Payments,-15953000000.0,-8663212000.0,-1790221000.0,-474851000.0
Long Term Debt Issuance,17017000000.0,9261703000.0,2396717000.0,629891000.0
Investing Cash Flow,-3871000000.0,-1596533000.0,-252181000.0,-1447790000.0
Cash Flow From Continuing Investing Activities,-3871000000.0,-1596533000.0,-252181000.0,-1447790000.0
Net Other Investing Changes,-1701000000.0,-1347710000.0,-344608000.0,-173848000.0
Net Investment Purchase And Sale,-1715000000.0,416401000.0,346231000.0,-1137072000.0
Sale Of Investment,11024000000.0,7806890000.0,5550242000.0,3353606000.0
Purchase Of Investment,-12739000000.0,-7390489000.0,-5204011000.0,-4490678000.0
Net Business Purchase And Sale,0.0,-55728000.0,-6937000.0,0.0
Purchase Of Business,0.0,-55728000.0,-6937000.0,0.0
Net Intangibles Purchase And Sale,-1000000.0,-36567000.0,-93000.0,-72000.0
Purchase Of Intangibles,-1000000.0,-36567000.0,-93000.0,-72000.0
Net PPE Purchase And Sale,-454000000.0,-572929000.0,-246774000.0,-136798000.0
Sale Of PPE,,0.0,274000.0,
Purchase Of PPE,-454000000.0,-572929000.0,-247048000.0,-136798000.0
Operating Cash Flow,2940000000.0,965043000.0,1182552000.0,451091000.0
Cash Flow From Continuing Operating Activities,2940000000.0,965043000.0,1182552000.0,451091000.0
Interest Received Cfo,123000000.0,35112000.0,51857000.0,49625000.0
Interest Paid Cfo,,,,-54309000.0
Change In Working Capital,411000000.0,-312000.0,772828000.0,354924000.0
Change In Other Current Liabilities,-82000000.0,-79007000.0,-34586000.0,45452000.0
Change In Other Current Assets,-90000000.0,-174682000.0,-113819000.0,-49390000.0
Change In Payables And Accrued Expense,1621000000.0,1497599000.0,1521920000.0,410788000.0
Change In Payable,1621000000.0,1497599000.0,1521920000.0,410788000.0
Change In Account Payable,449000000.0,379767000.0,584281000.0,143495000.0
Change In Prepaid Assets,3000000.0,-12715000.0,16204000.0,-17956000.0
Change In Inventory,114000000.0,-142382000.0,-106981000.0,-4148000.0
Change In Receivables,-1155000000.0,-1089125000.0,-509910000.0,-29822000.0
Changes In Account Receivables,-71000000.0,-26331000.0,12069000.0,-507000.0
Other Non Cash Items,-29000000.0,39484000.0,102384000.0,32385000.0
Stock Based Compensation,85000000.0,89453000.0,130305000.0,52057000.0
Provisionand Write Offof Assets,1073000000.0,,,
Asset Impairment Charge,12000000.0,443961000.0,,0.0
Deferred Tax,-97000000.0,-29481000.0,-70315000.0,16453000.0
Deferred Income Tax,-97000000.0,-29481000.0,-70315000.0,16453000.0
Depreciation Amortization Depletion,403000000.0,203942000.0,104992000.0,73320000.0
Depreciation And Amortization,403000000.0,203942000.0,104992000.0,73320000.0
Operating Gains Losses,477000000.0,99580000.0,91208000.0,44326000.0
Earnings Losses From Equity Investments,0.0,8522000.0,,
Gain Loss On Investment Securities,66000000.0,429000.0,-1935000.0,
Net Foreign Currency Exchange Gain Loss,411000000.0,90629000.0,89329000.0,44326000.0
Gain Loss On Sale Of PPE,0.0,0.0,3814000.0,
Gain Loss On Sale Of Business,,,,0.0
Net Income From Continuing Operations,482000000.0,83304000.0,-707000.0,-171999000.0
