,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,19044000000.0,39116000000.0,23632000000.0,21212000000.0
Repurchase Of Capital Stock,-27956000000.0,-44537000000.0,-6272000000.0,-4202000000.0
Repayment Of Debt,-850000000.0,-677000000.0,-604000000.0,-552000000.0
Issuance Of Debt,9921000000.0,,,
Capital Expenditure,-31431000000.0,-18567000000.0,-15115000000.0,-15102000000.0
Income Tax Paid Supplemental Data,6407000000.0,8525000000.0,4229000000.0,5182000000.0
End Cash Position,15596000000.0,16865000000.0,17954000000.0,19279000000.0
Beginning Cash Position,16865000000.0,17954000000.0,19279000000.0,10124000000.0
Effect Of Exchange Rate Changes,-638000000.0,-474000000.0,279000000.0,4000000.0
Changes In Cash,-631000000.0,-615000000.0,-1604000000.0,9151000000.0
Financing Cash Flow,-22136000000.0,-50728000000.0,-10292000000.0,-7299000000.0
Cash Flow From Continuing Financing Activities,-22136000000.0,-50728000000.0,-10292000000.0,-7299000000.0
Net Other Financing Charges,-3251000000.0,-5528000000.0,-3440000000.0,-2322000000.0
Net Common Stock Issuance,-27956000000.0,-44537000000.0,-6272000000.0,-4202000000.0
Common Stock Payments,-27956000000.0,-44537000000.0,-6272000000.0,-4202000000.0
Net Issuance Payments Of Debt,9071000000.0,-663000000.0,-580000000.0,-775000000.0
Net Short Term Debt Issuance,,14000000.0,24000000.0,-223000000.0
Net Long Term Debt Issuance,9071000000.0,-677000000.0,-604000000.0,-552000000.0
Long Term Debt Payments,-850000000.0,-677000000.0,-604000000.0,-552000000.0
Long Term Debt Issuance,9921000000.0,,,
Investing Cash Flow,-28970000000.0,-7570000000.0,-30059000000.0,-19864000000.0
Cash Flow From Continuing Investing Activities,-28970000000.0,-7570000000.0,-30059000000.0,-19864000000.0
Net Other Investing Changes,1000000.0,-284000000.0,-36000000.0,-61000000.0
Net Investment Purchase And Sale,3527000000.0,12179000000.0,-8159000000.0,-4193000000.0
Sale Of Investment,13158000000.0,42586000000.0,25771000000.0,19717000000.0
Purchase Of Investment,-9631000000.0,-30407000000.0,-33930000000.0,-23910000000.0
Net Business Purchase And Sale,-1312000000.0,-898000000.0,-6749000000.0,-508000000.0
Purchase Of Business,-1312000000.0,-898000000.0,-6749000000.0,-508000000.0
Net PPE Purchase And Sale,-31186000000.0,-18567000000.0,-15115000000.0,-15102000000.0
Sale Of PPE,245000000.0,,,
Purchase Of PPE,-31431000000.0,-18567000000.0,-15115000000.0,-15102000000.0
Operating Cash Flow,50475000000.0,57683000000.0,38747000000.0,36314000000.0
Cash Flow From Continuing Operating Activities,50475000000.0,57683000000.0,38747000000.0,36314000000.0
Change In Working Capital,5683000000.0,700000000.0,-2723000000.0,7250000000.0
Change In Other Working Capital,,187000000.0,108000000.0,123000000.0
Change In Other Current Liabilities,886000000.0,941000000.0,-527000000.0,1239000000.0
Change In Other Current Assets,-106000000.0,-349000000.0,-34000000.0,41000000.0
Change In Payables And Accrued Expense,4510000000.0,4781000000.0,-893000000.0,7761000000.0
Change In Accrued Expense,4210000000.0,3357000000.0,-1054000000.0,7300000000.0
Change In Payable,300000000.0,1424000000.0,161000000.0,461000000.0
Change In Account Payable,210000000.0,1436000000.0,-17000000.0,113000000.0
Change In Prepaid Assets,162000000.0,-1750000000.0,135000000.0,47000000.0
Change In Receivables,231000000.0,-3110000000.0,-1512000000.0,-1961000000.0
Changes In Account Receivables,231000000.0,-3110000000.0,-1512000000.0,-1961000000.0
Other Non Cash Items,1519000000.0,-127000000.0,118000000.0,39000000.0
Stock Based Compensation,11992000000.0,9164000000.0,6536000000.0,4836000000.0
Unrealized Gain Loss On Investment Securities,463000000.0,,,
Asset Impairment Charge,2218000000.0,,,
Deferred Tax,-3286000000.0,609000000.0,-1192000000.0,-37000000.0
Deferred Income Tax,-3286000000.0,609000000.0,-1192000000.0,-37000000.0
Depreciation Amortization Depletion,8686000000.0,7967000000.0,6862000000.0,5741000000.0
Depreciation And Amortization,8686000000.0,7967000000.0,6862000000.0,5741000000.0
Net Income From Continuing Operations,23200000000.0,39370000000.0,29146000000.0,18485000000.0
