,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,4581000000.0,13336000000.0,1959523000.0,-490522000.0
Repurchase Of Capital Stock,-3329000000.0,-857000000.0,0.0,0.0
Repayment Of Debt,,-140000000.0,-6215000.0,0.0
Issuance Of Debt,,,0.0,971000.0
Issuance Of Capital Stock,0.0,0.0,1852725000.0,0.0
Capital Expenditure,-400000000.0,-284000000.0,-67448000.0,-31554000.0
Interest Paid Supplemental Data,25000000.0,14000000.0,8528000.0,0.0
Income Tax Paid Supplemental Data,2729000000.0,480000000.0,572000.0,416000.0
End Cash Position,3217000000.0,6860000000.0,2635935000.0,247699000.0
Beginning Cash Position,6860000000.0,2636000000.0,247699000.0,670491000.0
Changes In Cash,-3643000000.0,4224000000.0,2388236000.0,-422792000.0
Financing Cash Flow,-3448000000.0,-873000000.0,2033193000.0,51121000.0
Cash Flow From Continuing Financing Activities,-3448000000.0,-873000000.0,2033193000.0,51121000.0
Proceeds From Stock Option Exercised,65000000.0,124000000.0,186683000.0,50150000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,-3329000000.0,-857000000.0,1852725000.0,0.0
Common Stock Payments,-3329000000.0,-857000000.0,,
Common Stock Issuance,0.0,0.0,1852725000.0,0.0
Net Issuance Payments Of Debt,-184000000.0,-140000000.0,-6215000.0,971000.0
Net Long Term Debt Issuance,-184000000.0,-140000000.0,-6215000.0,971000.0
Long Term Debt Payments,,-140000000.0,-6215000.0,0.0
Long Term Debt Issuance,,,0.0,971000.0
Investing Cash Flow,-5176000000.0,-8523000000.0,-1671928000.0,-14945000.0
Cash Flow From Continuing Investing Activities,-5176000000.0,-8523000000.0,-1671928000.0,-14945000.0
Net Other Investing Changes,-40000000.0,-30000000.0,,
Net Investment Purchase And Sale,-4736000000.0,-8209000000.0,-1604480000.0,16609000.0
Sale Of Investment,6699000000.0,4443000000.0,1351815000.0,1161835000.0
Purchase Of Investment,-11435000000.0,-12652000000.0,-2956295000.0,-1145226000.0
Net PPE Purchase And Sale,-400000000.0,-284000000.0,-67448000.0,-31554000.0
Purchase Of PPE,-400000000.0,-284000000.0,-67448000.0,-31554000.0
Operating Cash Flow,4981000000.0,13620000000.0,2026971000.0,-458968000.0
Cash Flow From Continuing Operating Activities,4981000000.0,13620000000.0,2026971000.0,-458968000.0
Change In Working Capital,-3455000000.0,990000000.0,2577054000.0,-53664000.0
Change In Other Working Capital,-4157000000.0,2506000000.0,3842307000.0,-44119000.0
Change In Other Current Liabilities,74000000.0,140000000.0,17781000.0,6478000.0
Change In Other Current Assets,21000000.0,-58000000.0,-10542000.0,-5664000.0
Change In Payables And Accrued Expense,24000000.0,2069000000.0,400267000.0,-27326000.0
Change In Accrued Expense,612000000.0,989000000.0,388392000.0,-3362000.0
Change In Payable,-588000000.0,1080000000.0,11875000.0,-23964000.0
Change In Account Payable,240000000.0,204000000.0,11875000.0,-23964000.0
Change In Tax Payable,-828000000.0,876000000.0,,
Change In Income Tax Payable,-828000000.0,876000000.0,,
Change In Prepaid Assets,-1699000000.0,-489000000.0,-241041000.0,9751000.0
Change In Inventory,492000000.0,-1394000000.0,-46527000.0,
Change In Receivables,1790000000.0,-1784000000.0,-1385191000.0,7216000.0
Changes In Account Receivables,1790000000.0,-1784000000.0,-1385191000.0,7216000.0
Other Non Cash Items,28000000.0,,62286000.0,
Stock Based Compensation,226000000.0,142000000.0,93021000.0,81122000.0
Amortization Of Securities,31000000.0,54000000.0,10185000.0,-3742000.0
Deferred Tax,-559000000.0,,,
Deferred Income Tax,-559000000.0,,,
Depreciation Amortization Depletion,348000000.0,232000000.0,31251000.0,31021000.0
Depreciation And Amortization,348000000.0,232000000.0,31251000.0,31021000.0
Operating Gains Losses,,,238000.0,316000.0
Gain Loss On Sale Of PPE,,,238000.0,316000.0
Net Income From Continuing Operations,8362000000.0,12202000000.0,-747064000.0,-514021000.0
