,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Free Cash Flow,1071500000.0,632247000.0,697781000.0,273664000.0
Repurchase Of Capital Stock,-115000000.0,0.0,-25202000.0,-364272000.0
Repayment Of Debt,-265600000.0,-708083000.0,-250000000.0,-1250000000.0
Issuance Of Debt,200000000.0,3896096000.0,0.0,950000000.0
Capital Expenditure,-217300000.0,-187121000.0,-119506000.0,-86633000.0
Interest Paid Supplemental Data,147900000.0,,,
Income Tax Paid Supplemental Data,95900000.0,,,
End Cash Position,911000000.0,613533000.0,748467000.0,647604000.0
Beginning Cash Position,613500000.0,748467000.0,647604000.0,582410000.0
Changes In Cash,297500000.0,-134934000.0,100863000.0,65194000.0
Financing Cash Flow,-662900000.0,2790828000.0,-596780000.0,-853949000.0
Cash Flow From Continuing Financing Activities,-662900000.0,2790828000.0,-596780000.0,-853949000.0
Net Other Financing Charges,-369200000.0,-290620000.0,-247639000.0,-177380000.0
Proceeds From Stock Option Exercised,91300000.0,84484000.0,86635000.0,147276000.0
Cash Dividends Paid,-204400000.0,-191049000.0,-160574000.0,-159573000.0
Common Stock Dividend Paid,-204400000.0,,-160574000.0,-159573000.0
Net Common Stock Issuance,-115000000.0,0.0,-25202000.0,-364272000.0
Common Stock Payments,-115000000.0,0.0,-25202000.0,-364272000.0
Net Issuance Payments Of Debt,-65600000.0,3188013000.0,-250000000.0,-300000000.0
Net Long Term Debt Issuance,-65600000.0,3188013000.0,-250000000.0,-300000000.0
Long Term Debt Payments,-265600000.0,-708083000.0,-250000000.0,-1250000000.0
Long Term Debt Issuance,200000000.0,3896096000.0,0.0,950000000.0
Investing Cash Flow,-328400000.0,-3745130000.0,-119644000.0,558846000.0
Cash From Discontinued Investing Activities,,,,0.0
Cash Flow From Continuing Investing Activities,-328400000.0,-3745130000.0,-119644000.0,558846000.0
Net Other Investing Changes,1200000.0,-3073000.0,-876000.0,-1677000.0
Net Investment Purchase And Sale,,0.0,0.0,18832000.0
Sale Of Investment,,0.0,0.0,18832000.0
Purchase Of Investment,,,0.0,0.0
Net Business Purchase And Sale,-112300000.0,-3554936000.0,0.0,627704000.0
Sale Of Business,,0.0,0.0,1698783000.0
Purchase Of Business,-112300000.0,-3554936000.0,0.0,-1071079000.0
Net Intangibles Purchase And Sale,-11100000.0,-17797000.0,-12708000.0,-4712000.0
Purchase Of Intangibles,-11100000.0,-17797000.0,-12708000.0,-4712000.0
Net PPE Purchase And Sale,-206200000.0,-169324000.0,-106060000.0,-81301000.0
Sale Of PPE,,,738000.0,620000.0
Purchase Of PPE,-206200000.0,-169324000.0,-106798000.0,-81921000.0
Operating Cash Flow,1288800000.0,819368000.0,817287000.0,360297000.0
Cash Flow From Continuing Operating Activities,1288800000.0,819368000.0,817287000.0,360297000.0
Change In Working Capital,-649800000.0,-662887000.0,67873000.0,-190782000.0
Change In Other Working Capital,2500000.0,29579000.0,39641000.0,20588000.0
Change In Payables And Accrued Expense,356700000.0,170305000.0,84275000.0,-181235000.0
Change In Accrued Expense,444500000.0,77148000.0,44612000.0,-182893000.0
Change In Payable,-87800000.0,93157000.0,39663000.0,1658000.0
Change In Account Payable,-87800000.0,93157000.0,39663000.0,1658000.0
Change In Prepaid Assets,-480400000.0,-161806000.0,-41634000.0,-54138000.0
Change In Inventory,-385900000.0,-291886000.0,29913000.0,12759000.0
Change In Receivables,-142700000.0,-409079000.0,-44322000.0,11244000.0
Changes In Account Receivables,-142700000.0,-409079000.0,-44322000.0,11244000.0
Other Non Cash Items,101400000.0,284993000.0,52233000.0,89037000.0
Stock Based Compensation,552400000.0,460679000.0,241539000.0,242207000.0
Asset Impairment Charge,5600000.0,6200000.0,130903000.0,17571000.0
Deferred Tax,50400000.0,-93894000.0,-39491000.0,-785158000.0
Deferred Income Tax,50400000.0,-93894000.0,-39491000.0,-785158000.0
Depreciation Amortization Depletion,1392300000.0,1245311000.0,641528000.0,524740000.0
Depreciation And Amortization,1392300000.0,1245311000.0,641528000.0,524740000.0
Amortization Cash Flow,1087400000.0,979377000.0,443616000.0,368082000.0
Amortization Of Intangibles,1087400000.0,979377000.0,443616000.0,368082000.0
Depreciation,304900000.0,265934000.0,197912000.0,156658000.0
Operating Gains Losses,,,,-1121709000.0
Gain Loss On Sale Of Business,,0.0,0.0,-1121709000.0
Net Income From Continuing Operations,-163500000.0,-421034000.0,-277298000.0,1584391000.0
