,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,59475000000.0,65149000000.0,56118000000.0,45234000000.0
Repurchase Of Capital Stock,-22245000000.0,-32696000000.0,-27385000000.0,-22968000000.0
Repayment Of Debt,-2750000000.0,-9023000000.0,-3750000000.0,-5518000000.0
Issuance Of Debt,,,,0.0
Issuance Of Capital Stock,1866000000.0,1841000000.0,1693000000.0,1343000000.0
Capital Expenditure,-28107000000.0,-23886000000.0,-20622000000.0,-15441000000.0
End Cash Position,34704000000.0,13931000000.0,14224000000.0,13576000000.0
Beginning Cash Position,13931000000.0,14224000000.0,13576000000.0,11356000000.0
Effect Of Exchange Rate Changes,-194000000.0,-141000000.0,-29000000.0,-201000000.0
Changes In Cash,20967000000.0,-152000000.0,677000000.0,2421000000.0
Financing Cash Flow,-43935000000.0,-58876000000.0,-48486000000.0,-46031000000.0
Cash Flow From Continuing Financing Activities,-43935000000.0,-58876000000.0,-48486000000.0,-46031000000.0
Net Other Financing Charges,-1006000000.0,-863000000.0,-2523000000.0,-3751000000.0
Cash Dividends Paid,-19800000000.0,-18135000000.0,-16521000000.0,-15137000000.0
Common Stock Dividend Paid,-19800000000.0,-18135000000.0,-16521000000.0,-15137000000.0
Net Common Stock Issuance,-20379000000.0,-30855000000.0,-25692000000.0,-21625000000.0
Common Stock Payments,-22245000000.0,-32696000000.0,-27385000000.0,-22968000000.0
Common Stock Issuance,1866000000.0,1841000000.0,1693000000.0,1343000000.0
Net Issuance Payments Of Debt,-2750000000.0,-9023000000.0,-3750000000.0,-5518000000.0
Net Short Term Debt Issuance,,,,0.0
Net Long Term Debt Issuance,-2750000000.0,-9023000000.0,-3750000000.0,-5518000000.0
Long Term Debt Payments,-2750000000.0,-9023000000.0,-3750000000.0,-5518000000.0
Long Term Debt Issuance,,,,0.0
Investing Cash Flow,-22680000000.0,-30311000000.0,-27577000000.0,-12223000000.0
Cash Flow From Continuing Investing Activities,-22680000000.0,-30311000000.0,-27577000000.0,-12223000000.0
Net Other Investing Changes,-3116000000.0,-2825000000.0,-922000000.0,-1241000000.0
Net Investment Purchase And Sale,10213000000.0,18438000000.0,2876000000.0,6980000000.0
Sale Of Investment,47864000000.0,44894000000.0,65800000000.0,84170000000.0
Purchase Of Investment,-37651000000.0,-26456000000.0,-62924000000.0,-77190000000.0
Net Business Purchase And Sale,-1670000000.0,-22038000000.0,-8909000000.0,-2521000000.0
Purchase Of Business,-1670000000.0,-22038000000.0,-8909000000.0,-2521000000.0
Net PPE Purchase And Sale,-28107000000.0,-23886000000.0,-20622000000.0,-15441000000.0
Purchase Of PPE,-28107000000.0,-23886000000.0,-20622000000.0,-15441000000.0
Operating Cash Flow,87582000000.0,89035000000.0,76740000000.0,60675000000.0
Cash Flow From Continuing Operating Activities,87582000000.0,89035000000.0,76740000000.0,60675000000.0
Change In Working Capital,-2388000000.0,446000000.0,-936000000.0,2148000000.0
Change In Other Working Capital,5177000000.0,5805000000.0,2324000000.0,2212000000.0
Change In Other Current Liabilities,2825000000.0,3169000000.0,5551000000.0,2694000000.0
Change In Other Current Assets,-4824000000.0,-3514000000.0,-4391000000.0,-3367000000.0
Change In Payables And Accrued Expense,-2721000000.0,2943000000.0,2798000000.0,3018000000.0
Change In Payable,-2721000000.0,2943000000.0,2798000000.0,3018000000.0
Change In Account Payable,-2721000000.0,2943000000.0,2798000000.0,3018000000.0
Change In Inventory,1242000000.0,-1123000000.0,-737000000.0,168000000.0
Change In Receivables,-4087000000.0,-6834000000.0,-6481000000.0,-2577000000.0
Changes In Account Receivables,-4087000000.0,-6834000000.0,-6481000000.0,-2577000000.0
Stock Based Compensation,9611000000.0,7502000000.0,6118000000.0,5289000000.0
Deferred Tax,-6059000000.0,-5702000000.0,-150000000.0,-3620000000.0
Deferred Income Tax,-6059000000.0,-5702000000.0,-150000000.0,-3620000000.0
Depreciation Amortization Depletion,13861000000.0,14460000000.0,11686000000.0,12796000000.0
Depreciation And Amortization,13861000000.0,14460000000.0,11686000000.0,12796000000.0
Depreciation,13861000000.0,14460000000.0,11686000000.0,12796000000.0
Operating Gains Losses,196000000.0,-409000000.0,-1249000000.0,-219000000.0
Gain Loss On Investment Securities,,,,-219000000.0
Net Income From Continuing Operations,72361000000.0,72738000000.0,61271000000.0,44281000000.0
