,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1618528000.0,-131975000.0,1929154000.0,-3140357000.0
Repurchase Of Capital Stock,0.0,-600022000.0,,
Repayment Of Debt,-700000000.0,-500000000.0,,
Issuance Of Debt,0.0,0.0,1009464000.0,4469306000.0
Issuance Of Capital Stock,35746000.0,174414000.0,235406000.0,72490000.0
Capital Expenditure,-407729000.0,-524585000.0,-497923000.0,-253035000.0
Interest Paid Supplemental Data,701693000.0,763432000.0,762904000.0,599132000.0
Income Tax Paid Supplemental Data,811720000.0,509265000.0,291582000.0,400658000.0
End Cash Position,5170582000.0,6055111000.0,8238870000.0,5043786000.0
Beginning Cash Position,6055111000.0,8238870000.0,5043786000.0,3812041000.0
Effect Of Exchange Rate Changes,-170140000.0,-86740000.0,36050000.0,469000.0
Changes In Cash,-714389000.0,-2097019000.0,3159034000.0,1231276000.0
Financing Cash Flow,-664254000.0,-1149776000.0,1237311000.0,4505662000.0
Cash Flow From Continuing Financing Activities,-664254000.0,-1149776000.0,1237311000.0,4505662000.0
Net Other Financing Charges,,-224168000.0,-7559000.0,-36134000.0
Net Common Stock Issuance,35746000.0,-425608000.0,235406000.0,72490000.0
Common Stock Payments,0.0,-600022000.0,,
Common Stock Issuance,35746000.0,174414000.0,235406000.0,72490000.0
Net Issuance Payments Of Debt,-700000000.0,-500000000.0,1009464000.0,4469306000.0
Net Long Term Debt Issuance,-700000000.0,-500000000.0,1009464000.0,4469306000.0
Long Term Debt Payments,-700000000.0,-500000000.0,,
Long Term Debt Issuance,0.0,0.0,1009464000.0,4469306000.0
Investing Cash Flow,-2076392000.0,-1339853000.0,-505354000.0,-387064000.0
Cash Flow From Continuing Investing Activities,-2076392000.0,-1339853000.0,-505354000.0,-387064000.0
Net Other Investing Changes,,-26919000.0,-7431000.0,-134029000.0
Net Investment Purchase And Sale,-911276000.0,,,0.0
Sale Of Investment,,,,0.0
Purchase Of Investment,-911276000.0,,,0.0
Net Business Purchase And Sale,-757387000.0,-788349000.0,,
Purchase Of Business,-757387000.0,-788349000.0,,
Net PPE Purchase And Sale,-407729000.0,-524585000.0,-497923000.0,-253035000.0
Purchase Of PPE,-407729000.0,-524585000.0,-497923000.0,-253035000.0
Operating Cash Flow,2026257000.0,392610000.0,2427077000.0,-2887322000.0
Cash Flow From Continuing Operating Activities,2026257000.0,392610000.0,2427077000.0,-2887322000.0
Change In Working Capital,-758087000.0,-241977000.0,-31873000.0,43043000.0
Change In Other Working Capital,-190197000.0,-197749000.0,-828000.0,41315000.0
Change In Other Current Liabilities,,,,-694011000.0
Change In Other Current Assets,-353834000.0,-369681000.0,-187623000.0,-252113000.0
Change In Payables And Accrued Expense,-214056000.0,325453000.0,156578000.0,253841000.0
Change In Accrued Expense,-55513000.0,180338000.0,198183000.0,157778000.0
Change In Payable,-158543000.0,145115000.0,-41605000.0,96063000.0
Change In Account Payable,-158543000.0,145115000.0,-41605000.0,96063000.0
Other Non Cash Items,-16126185000.0,-17092527000.0,-12243591000.0,-14382464000.0
Stock Based Compensation,575452000.0,403220000.0,415180000.0,405376000.0
Deferred Tax,-166550000.0,199548000.0,70066000.0,-94443000.0
Deferred Income Tax,-166550000.0,199548000.0,70066000.0,-94443000.0
Depreciation Amortization Depletion,14362814000.0,12438779000.0,10922622000.0,9319826000.0
Depreciation And Amortization,14362814000.0,12438779000.0,10922622000.0,9319826000.0
Amortization Cash Flow,14026132000.0,12230367000.0,10806912000.0,9216247000.0
Amortization Of Intangibles,14026132000.0,12230367000.0,10806912000.0,9216247000.0
Depreciation,336682000.0,208412000.0,115710000.0,103579000.0
Operating Gains Losses,-353111000.0,-430661000.0,533278000.0,-45576000.0
Net Foreign Currency Exchange Gain Loss,-353111000.0,-430661000.0,533278000.0,-45576000.0
Net Income From Continuing Operations,4491924000.0,5116228000.0,2761395000.0,1866916000.0
