,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2668000000.0,2145000000.0,1960000000.0,1745000000.0
Repurchase Of Capital Stock,-1426000000.0,-4015000000.0,-627000000.0,-1443000000.0
Repayment Of Debt,-917000000.0,-1021000000.0,-1809000000.0,-1750000000.0
Issuance Of Debt,1496000000.0,4000000000.0,2000000000.0,1894000000.0
Capital Expenditure,-1227000000.0,-932000000.0,-522000000.0,-628000000.0
Interest Paid Supplemental Data,323000000.0,356000000.0,336000000.0,242000000.0
Income Tax Paid Supplemental Data,558000000.0,353000000.0,148000000.0,368000000.0
End Cash Position,3845000000.0,2830000000.0,2275000000.0,1045000000.0
Beginning Cash Position,2830000000.0,2275000000.0,1045000000.0,2789000000.0
Effect Of Exchange Rate Changes,-12000000.0,-3000000.0,1000000.0,-2000000.0
Changes In Cash,1027000000.0,558000000.0,1229000000.0,-1742000000.0
Financing Cash Flow,-1619000000.0,-1585000000.0,-835000000.0,-1831000000.0
Cash Flow From Continuing Financing Activities,-1619000000.0,-1585000000.0,-835000000.0,-1831000000.0
Net Other Financing Charges,-16000000.0,-49000000.0,-51000000.0,-297000000.0
Proceeds From Stock Option Exercised,59000000.0,62000000.0,72000000.0,84000000.0
Cash Dividends Paid,-815000000.0,-562000000.0,-420000000.0,-319000000.0
Common Stock Dividend Paid,-815000000.0,-562000000.0,-420000000.0,-319000000.0
Net Common Stock Issuance,-1426000000.0,-4015000000.0,-627000000.0,-1443000000.0
Common Stock Payments,-1426000000.0,-4015000000.0,-627000000.0,-1443000000.0
Net Issuance Payments Of Debt,579000000.0,2979000000.0,191000000.0,144000000.0
Net Long Term Debt Issuance,579000000.0,2979000000.0,191000000.0,144000000.0
Long Term Debt Payments,-917000000.0,-1021000000.0,-1809000000.0,-1750000000.0
Long Term Debt Issuance,1496000000.0,4000000000.0,2000000000.0,1894000000.0
Investing Cash Flow,-1249000000.0,-934000000.0,-418000000.0,-2284000000.0
Cash Flow From Continuing Investing Activities,-1249000000.0,-934000000.0,-418000000.0,-2284000000.0
Net Other Investing Changes,,10000000.0,,
Net Investment Purchase And Sale,3000000.0,10000000.0,-27000000.0,-18000000.0
Sale Of Investment,23000000.0,18000000.0,3000000.0,1000000.0
Purchase Of Investment,-20000000.0,-8000000.0,-30000000.0,-19000000.0
Net Business Purchase And Sale,-27000000.0,-23000000.0,127000000.0,-1661000000.0
Sale Of Business,0.0,0.0,161000000.0,37000000.0
Purchase Of Business,-27000000.0,-23000000.0,-34000000.0,-1698000000.0
Net Intangibles Purchase And Sale,-159000000.0,-132000000.0,-130000000.0,-102000000.0
Purchase Of Intangibles,-159000000.0,-132000000.0,-130000000.0,-102000000.0
Net PPE Purchase And Sale,-3000000.0,-32000000.0,4000000.0,23000000.0
Sale Of PPE,2000000.0,1000000.0,4000000.0,23000000.0
Purchase Of PPE,-5000000.0,-33000000.0,,
Capital Expenditure Reported,-1063000000.0,-767000000.0,-392000000.0,-526000000.0
Operating Cash Flow,3895000000.0,3077000000.0,2482000000.0,2373000000.0
Cash Flow From Continuing Operating Activities,3895000000.0,3077000000.0,2482000000.0,2373000000.0
Change In Working Capital,-348000000.0,-457000000.0,443000000.0,-160000000.0
Change In Other Working Capital,24000000.0,-20000000.0,5000000.0,13000000.0
Change In Other Current Assets,-306000000.0,-350000000.0,7000000.0,43000000.0
Change In Payables And Accrued Expense,633000000.0,248000000.0,319000000.0,-460000000.0
Change In Payable,633000000.0,,,
Change In Account Payable,633000000.0,,,
Change In Inventory,-593000000.0,-159000000.0,163000000.0,128000000.0
Change In Receivables,-106000000.0,-176000000.0,-51000000.0,116000000.0
Other Non Cash Items,9000000.0,8000000.0,8000000.0,53000000.0
Stock Based Compensation,364000000.0,353000000.0,384000000.0,346000000.0
Unrealized Gain Loss On Investment Securities,,,-21000000.0,
Deferred Tax,-236000000.0,-20000000.0,-349000000.0,-175000000.0
Deferred Income Tax,-236000000.0,-20000000.0,-349000000.0,-175000000.0
Depreciation Amortization Depletion,1250000000.0,1262000000.0,1988000000.0,2047000000.0
Depreciation And Amortization,1250000000.0,1262000000.0,1988000000.0,2047000000.0
Amortization Cash Flow,645000000.0,,,
Amortization Of Intangibles,645000000.0,,,
Depreciation,605000000.0,,,
Operating Gains Losses,23000000.0,25000000.0,-72000000.0,-10000000.0
Earnings Losses From Equity Investments,1000000.0,2000000.0,4000000.0,-1000000.0
Gain Loss On Investment Securities,4000000.0,2000000.0,-21000000.0,
Net Foreign Currency Exchange Gain Loss,,,,15000000.0
Net Income From Continuing Operations,2833000000.0,1906000000.0,80000000.0,272000000.0
